model,strategy,kind,combo_set,combo_id,snr,metric,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y
resnet,independent_rms,bandpass,all,all,20,macro_auroc,-0.0002802838726936541,0.00015370039264766007,-0.0004946434726768745,-6.788971393713764e-05,0.0019201756143071512,0.0014739495742088352,0.0005887705248164115,0.003263548604469126,5,2000,0,0
resnet,independent_rms,bandpass,all,all,15,macro_auroc,-0.0007787344111068073,0.00038794188291869247,-0.0011390456538469046,-0.0004067352707466499,0.003085590447163322,0.0023897053627041044,0.001705479337763966,0.004479136810725155,5,2000,0,0
resnet,independent_rms,bandpass,all,all,10,macro_auroc,-0.0022215169308200666,0.000977182528044878,-0.002860193154564862,-0.0015842261342791561,0.006610790957073842,0.004339602713345465,0.00508107589158926,0.008235174097104347,5,2000,0,0
resnet,independent_rms,bandpass,all,all,5,macro_auroc,-0.007202593429320369,0.0024664097567836767,-0.008382417189491481,-0.006059514831760616,0.016325018178082008,0.007209471298379996,0.014169552168352894,0.018583971185495023,5,2000,0,0
resnet,independent_rms,bandpass,all,all,0,macro_auroc,-0.020255828515828345,0.0045443257605906956,-0.022235354601955474,-0.018475316222130278,0.042348806539520466,0.01257720111562543,0.03918926859261458,0.04575359081850218,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,-0.00019079416648857262,0.00017848475263536144,-0.00040079319298408854,1.4614144897915783e-05,0.0018792632452190317,0.0014105187590973513,0.0005368819233894862,0.003216482572466174,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,-0.0007508865085636529,0.000598953050426494,-0.0011369406191518649,-0.0003806371134802108,0.0030951366463733755,0.0021055599051948127,0.0017002849998848878,0.00450857427684978,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,-0.0023618504289007803,0.0016384747705467414,-0.003062253700724164,-0.0017000627677250066,0.006729655347110697,0.003504299108318993,0.005202556835979333,0.008418320938630628,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,-0.009383050106491254,0.005549033809132183,-0.010790240000962683,-0.008060370076233033,0.017952916349024673,0.007799204136821116,0.01584809610555203,0.02031744297026411,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA,0,macro_auroc,-0.02570743727604179,0.009845955168815385,-0.027998478485661664,-0.023551377095100377,0.04289345436957883,0.016829922002269095,0.04005605460798829,0.04610376249110202,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V3_V6,20,macro_auroc,-0.00017359335852671354,0.00018751213774503467,-0.000368561508929543,-3.54474373385334e-07,0.0018732481900234576,0.0015096736156289745,0.0005405264888239852,0.0032075597297874917,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V3_V6,15,macro_auroc,-0.0005236575587825642,0.0004863093530716573,-0.0008534015918286386,-0.00019159424214824485,0.002983230548447202,0.0022674775829683073,0.0016046090644859623,0.004394489704428029,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V3_V6,10,macro_auroc,-0.0016096625157595579,0.0013948697176998429,-0.002197951647825891,-0.0010197204966373018,0.006427148181709907,0.003910132859822894,0.004923482147234351,0.00803770159663609,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V3_V6,5,macro_auroc,-0.0061321674533979745,0.003935842698718899,-0.007234920430962673,-0.005025597168725987,0.015974117149071466,0.007509820902089594,0.013884984296855389,0.018273760581547692,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V3_V6,0,macro_auroc,-0.019085348766029697,0.00955197762205946,-0.020996398030515083,-0.0172291000492888,0.041484993676781115,0.01628322045766537,0.03867368095639794,0.04474142236842502,5,2000,0,0
resnet,independent_rms,bandpass,heldout,LA_V6,20,macro_auroc,-0.00017299310641338828,0.0001697555231454225,-0.0003665713076478239,1.2291200532265402e-05,0.001874662490291623,0.001459765770844554,0.0005365182627460446,0.003217371261250984,5,2000,0,0
