model,strategy,kind,combo_set,combo_id,snr,metric,seed,x,y,baseline_electrode_auroc,baseline_independent_rms_auroc,strategy_electrode_auroc
resnet,independent_rms,bandpass,all,all,20,macro_auroc,17,-0.00047481618991884744,0.003720307566082437,0.9051284559895324,0.9056032721794512,0.9088487635556148
resnet,independent_rms,bandpass,all,all,20,macro_auroc,29,-7.00880859572095e-05,0.0007904907858483634,0.9068192281303421,0.9068893162162993,0.9076097189161905
resnet,independent_rms,bandpass,all,all,20,macro_auroc,43,-0.00021802595094644328,0.0012970246017628417,0.9078267833180703,0.9080448092690168,0.9091238079198332
resnet,independent_rms,bandpass,all,all,20,macro_auroc,101,-0.00037196188599608604,0.0005210256708257921,0.9081192488024572,0.9084912106884533,0.908640274473283
resnet,independent_rms,bandpass,all,all,20,macro_auroc,202,-0.0002665272506496841,0.0032720294470163225,0.903544875260976,0.9038114025116257,0.9068169047079924
resnet,independent_rms,bandpass,all,all,15,macro_auroc,17,-0.001411976561300654,0.006793128203604892,0.9013074488196496,0.9027194253809503,0.9081005770232545
resnet,independent_rms,bandpass,all,all,15,macro_auroc,29,-0.000397388302561974,0.0018666047893317605,0.9045281302382614,0.9049255185408234,0.9063947350275932
resnet,independent_rms,bandpass,all,all,15,macro_auroc,43,-0.0006899832203758338,0.002418925692739826,0.9057525759207185,0.9064425591410943,0.9081715016134583
resnet,independent_rms,bandpass,all,all,15,macro_auroc,101,-0.0008282921647807528,0.0005152905760482662,0.9070852289877559,0.9079135211525367,0.9076005195638042
resnet,independent_rms,bandpass,all,all,15,macro_auroc,202,-0.0005660318065148218,0.0038340029740918657,0.9022070861710301,0.9027731179775449,0.9060410891451219
resnet,independent_rms,bandpass,all,all,10,macro_auroc,17,-0.0039235328103215394,0.013850798968615075,0.8909811703917315,0.8949047032020531,0.9048319693603466
resnet,independent_rms,bandpass,all,all,10,macro_auroc,29,-0.0016603746373567985,0.004778265333033049,0.8978707307090307,0.8995311053463875,0.9026489960420637
resnet,independent_rms,bandpass,all,all,10,macro_auroc,43,-0.0015342075232668284,0.005734118301832125,0.8995526169550351,0.9010868244783019,0.9052867352568672
