model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
resnet,17,band_0p05_5__n101__electrode__snr0,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__electrode__snr0.npz,90e2d7e0e2305583ab5251cdfdd60c6b5ff2d14ab6859710813be0b3802d6440,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,30ae6bdb0dee6427fa936a0be35bf571fbffa285c32310ad85d31916890dd723,0.7843632142559871,0.6085828079648304,0.380896748886402,0.632008266214118,0.3912010578302428,0.3942944472745797,0.239504262804985,0.2202135938218863,0.7150837086081069,0.8453028798103333,0.3676059166806577,0.6873030583873957,0.2452760189771652,0.8421182062678954,0.7976451284440296,0.0466058763931104,0.6825621890547263,0.5018592094272388,0.4448958862366683,0.7595808070800362,0.5404906857411913,0.4210526315789473,0.8149552618298979,0.6926612910148947,0.4979054458408138,0.8225996070473798,0.5102577251967976,0.4940239043824701
resnet,17,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__electrode__snr10.npz,8d0ab8d214e48b25931d4d3d94327e48340de9578af3464ff9962076d1beb277,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.8904525936383243,0.7539370876970029,0.6751467019843925,0.8754998115574739,0.7343669281913501,0.694040194040194,0.1192755028605461,0.0860907787227514,0.3749815472737856,0.852937638759613,0.3351743346385909,0.9278035217794254,0.0756139382719993,0.9211016827643738,0.8869826472979171,0.7722317842799771,0.867503392130258,0.7220013497564203,0.6431199411331862,0.894656556572636,0.7612883415760945,0.699909338168631,0.8921674236248593,0.7988840664696159,0.7063740856844305,0.8768339130994943,0.6005290333849662,0.5540983606557377
resnet,17,band_0p05_5__n101__independent_rms__snr0,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__independent_rms__snr0.npz,a7cb39782d9b1410780c0ce39e2e974a96aed2e9faa57adf2f8163e2d1abfb37,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,7ce71a8fda40b28878a1b023f392f638eeaa1451e9d116d3c965b5dabf508c36,0.8292606172433963,0.6699274526066064,0.4806105716057563,0.7070637645084623,0.4642080504576741,0.4844613259668508,0.1940079033374786,0.1699315686117205,0.574313268223597,0.817645251750946,0.4055534465307802,0.7643188137164041,0.2040923833847046,0.8782352915618469,0.8362435014785065,0.2517985611510791,0.7698857982813206,0.6022349908283231,0.5049833887043189,0.8195695276106637,0.6332468065685563,0.5722772277227722,0.8408543922984356,0.73301794600097,0.5912350597609561,0.8377580764647148,0.544894018156676,0.4827586206896552
resnet,17,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__independent_rms__snr10.npz,02f0838f96517b870a9cd5ad12e2be5449740393164e6af2a9fbff9274d411d1,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,8cf6d111d1bf1b8f7131347b683b0e3c501f0e510e8215cff799ec76723f5aad,0.8945059623500129,0.7624911222690924,0.685488062324423,0.8913131533241476,0.7670087947880077,0.7116415845009514,0.1111010015010833,0.0717133437750293,0.3523052250979152,0.8638765811920166,0.314603748616707,0.9477293790546802,0.0536500848829746,0.9260357060615144,0.8952791649385123,0.8082788671023965,0.8763218000904567,0.7337368048534817,0.6656322730799069,0.90391111496734,0.775322235088554,0.7039007092198581,0.8895641667637125,0.7984883812194284,0.6953713670613563,0.8766970238670404,0.6096290252454855,0.5542570951585977
resnet,17,band_0p05_5__n202__electrode__snr0,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n202__electrode__snr0.npz,3dd668ad5c9c4c75b69f854a683523f3a276c371cf5711de03bf49330c7cf48f,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,1eba908fa40c32f1d229a3bb74480f831bade1ba7a313ed16c0c0ecff73e02a6,0.7913927566351617,0.6136402325609129,0.3737197079450204,0.6362467228554989,0.3933973742337285,0.38946474086661,0.238606259226799,0.2200958979537881,0.712764692130621,0.846491813659668,0.3659774392401303,0.6873030583873957,0.2444967180490493,0.8429393848546861,0.7937253185793581,0.0386965376782077,0.6940682948891904,0.512186188977467,0.4461382113821138,0.7726612395456789,0.5598379545512402,0.3946666666666666,0.8193283936958968,0.6945786724599481,0.494047619047619,0.8279664701903565,0.5078730282365512,0.495049504950495
resnet,17,band_0p05_5__n202__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n202__electrode__snr10.npz,ee24f7cdad009777d27850e4ba385d05a3ba6ed7da0242a007eaf0b758cb2c6a,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,eed73cad1e10ad61ccbfd2b32ba53bd195b80ea9f8b7d45ae6abec2bdf2cfd74,0.8888620763232714,0.7497381661551135,0.6743420484053378,0.8741432089755964,0.7298776019032389,0.6928695652173913,0.1201915368437767,0.0869765214333733,0.3779577572925818,0.853764533996582,0.333503684303411,0.9279888785912882,0.0755317956209182,0.9191178195753332,0.8860183608394951,0.7668393782383419,0.8627165309814564,0.7104616583037906,0.649331352154532,0.8989959865256069,0.7582796855555595,0.707383773928897,0.88856459376577,0.7950354650388545,0.6875,0.8749154507681902,0.5988956610378676,0.5606557377049181
resnet,17,band_0p05_5__n202__independent_rms__snr0,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n202__independent_rms__snr0.npz,9ee439abc9fbe84f004c4be75811d5252c24b69eac2a2c5e3dcbddca7de0488c,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,44ca757a1ea05f4c8dd7b43b2221d53418232d277ebe931297a999f54d43a690,0.8275739045347363,0.6678178315975096,0.4888662961660658,0.7059994090571353,0.4607587315752982,0.4885285492496118,0.194929614663124,0.1687836261592163,0.5781549254486694,0.8187168836593628,0.4038744406306296,0.764967562557924,0.203581154346466,0.873155280960388,0.8244557131945385,0.25,0.7705958842152872,0.6012464764920196,0.4997211377579476,0.820221438730321,0.6435133365081406,0.586073500967118,0.8385847307946122,0.7218780073660317,0.5888,0.835312187973073,0.5479956244268179,0.5197368421052632
resnet,17,band_0p05_5__n202__independent_rms__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n202__independent_rms__snr10.npz,62c0e71921e4c3e157e65554f4dec410fc68d67923fa29d1b1698f9b171aff57,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,cac5a3505c1b5fa4820ca91768cb75ffb65be2a767152808eec2a3821f1b22bd,0.896548411693616,0.7630632230330436,0.6893400671110937,0.8935556328193798,0.7679903637901684,0.7138643067846607,0.1101083233952522,0.0714251065514532,0.3499295869797557,0.8637574911117554,0.3147012996209751,0.948100092678406,0.0531173236668109,0.9258888497851469,0.8929309610356974,0.8060836501901141,0.8766304839439167,0.7345865519085585,0.6614785992217899,0.9086914056774894,0.784357495700661,0.7149240393208222,0.8928091397849462,0.7979147707077586,0.6956521739130435,0.8787221792765806,0.6055263358125428,0.568561872909699
resnet,17,band_0p05_5__n303__electrode__snr0,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n303__electrode__snr0.npz,d072cf6119e365a16e12cde4ac29086fdb4b7afde175fe9449f4b20debb64765,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,c9766f4efd76b874a06b0d03f70a863b7e53d1c8d9e5cfbc158d97f1fa4498bb,0.7883514409065289,0.6115206660636011,0.383151240045629,0.6359890921870869,0.3920899814601598,0.3967874231032126,0.2380004525184631,0.2188379739368881,0.7110097830680314,0.845033586025238,0.3674603097100898,0.6924003707136237,0.2438192814588546,0.8426813001559805,0.7908041092428177,0.0346585117227319,0.6849400723654454,0.4877959519245867,0.4443298969072164,0.7752002926565026,0.5717100460638881,0.4453227931488801,0.8179685377120454,0.6903780425340993,0.5053892215568863,0.8209670016426708,0.5169151805526137,0.4860557768924303
resnet,17,band_0p05_5__n303__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n303__electrode__snr10.npz,dc02ee08689b24520276cef250212b100093739c137ad0bbd717f61bfb93152a,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,0cfe160e1bc95a967f9b4904d34629018289b2d40002f98e25a54647f575db23,0.8873121539157605,0.7507778734060432,0.6770461247039881,0.8743301065237656,0.7317717772644396,0.6948829141370338,0.1199074611067771,0.0838780016937846,0.3774242795950903,0.8541086316108704,0.3328130998497589,0.9284522706209454,0.0746443569660186,0.9161276867529556,0.8792919652162516,0.7667621776504298,0.8638263229308003,0.7143929227047643,0.6468401486988847,0.8990850966786536,0.7702536055449317,0.7035358114233907,0.8855573832537555,0.7938083980954873,0.7023686920700309,0.8719642799626373,0.5961424754687814,0.5657237936772047
