model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
resnet,17,clean,methodology_supplement/results/predictions/full/resnet/seed_17/clean.npz,c7242964d38e87f392fbc8298ebb835d26600ba1e4b3a83a1406855a96825c7b,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.9068922993183458,0.7807184945903615,0.7118815125857424,0.912641708063119,0.8107835303585825,0.7439512619669277,0.09915376454591751,0.05440981709100546,0.32273863708571243,0.8905133008956909,0.2607616550070465,1.0,0.0,0.9340980287369057,0.9086485024952593,0.8484848484848485,0.88623473541384,0.7463392051587087,0.6786885245901639,0.9193764165289954,0.8025813723497355,0.7306967984934086,0.9032148887853733,0.8134023735586858,0.7054871220604704,0.8915374271266145,0.632621019389418,0.5960502692998204
resnet,29,clean,methodology_supplement/results/predictions/full/resnet/seed_29/clean.npz,b9161d92e1713315ef5f4d4f8a046d80f8501ba219fb9e7800103dd605495a9a,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.907911261424449,0.7909168445498038,0.7222581554037724,0.9200948159676021,0.8222037109426057,0.7516295025728988,0.09308823943138123,0.03835402916067309,0.30638134306373344,0.8902648687362671,0.2649477339921934,1.0,0.0,0.9316023410107013,0.9004278802814867,0.8464849354375896,0.887587064676617,0.762228915075949,0.675885911840968,0.9271289998440573,0.8221024503809238,0.7457627118644068,0.8963537420907572,0.80440040408003,0.70874861572536,0.8968841595001128,0.6654245729306293,0.6344086021505376
resnet,43,clean,methodology_supplement/results/predictions/full/resnet/seed_43/clean.npz,55dcce70dc4001fda86025d9dc0b9f525cb95440eed930b6a52dc2f1eb825391,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.9087006258307154,0.7865714845148342,0.7190678235877949,0.9173186473552486,0.8219194855572088,0.755440414507772,0.09613089263439178,0.048177255919173795,0.3135549346655748,0.8826202750205994,0.27517544352493306,1.0,0.0,0.9350200080814401,0.9121042823161937,0.8455284552845529,0.8974219810040706,0.7807620263604276,0.6999125109361329,0.92575599998593,0.8112670130060953,0.7632058287795993,0.8951788798959668,0.8019638702675282,0.7124735729386892,0.8901262601861692,0.6267602306239263,0.57421875
resnet,17,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__electrode__snr10.npz,8d0ab8d214e48b25931d4d3d94327e48340de9578af3464ff9962076d1beb277,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.8904525936383243,0.7539370876970029,0.6751467019843925,0.8754998115574739,0.7343669281913501,0.694040194040194,0.11927550286054611,0.08609077872275146,0.3749815472737856,0.852937638759613,0.3351743346385909,0.9278035217794254,0.07561393827199936,0.9211016827643738,0.8869826472979171,0.7722317842799771,0.867503392130258,0.7220013497564203,0.6431199411331862,0.894656556572636,0.7612883415760945,0.699909338168631,0.8921674236248593,0.7988840664696159,0.7063740856844305,0.8768339130994943,0.6005290333849662,0.5540983606557377
resnet,29,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_29/band_0p05_5__n101__electrode__snr10.npz,3415d56fe9b187773ff75da32aa1bf88c06910c148f48c7341f7573116ef841b,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.8947776047439117,0.7714992158839786,0.6898354402151329,0.9060407786402189,0.796185533810015,0.7059993370898243,0.10167509317398071,0.05341473498948753,0.3295126264234995,0.8412562012672424,0.3608081020246393,0.9151065801668211,0.07833874225616455,0.9195783747615758,0.8775086291672747,0.7803242034656233,0.877653776571687,0.7484689012305135,0.6575931232091691,0.9123214719121281,0.7944298497536711,0.7074939564867043,0.8804849142114047,0.7895195971423763,0.6958211856171039,0.8838494862627628,0.6475691021260579,0.6079447322970639
resnet,43,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_43/band_0p05_5__n101__electrode__snr10.npz,001094e6c36df711c127472b32639c6be6aa5a0b4e4a9e9608237c8e76683263,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.8959507399178106,0.7656291896541764,0.6888106361962173,0.8868886276010264,0.763361655183878,0.7114116652578191,0.11397308111190796,0.08689548859719715,0.360718662637916,0.842600405216217,0.35195041425118284,0.9240963855421687,0.08227980136871338,0.9214770786897639,0.8892998068617727,0.7960526315789473,0.8872851650836724,0.7577955156967633,0.6647101980924431,0.9122933318637974,0.788062224773157,0.7094535993061578,0.8817313477737665,0.786052480151323,0.6920877025738799,0.8769667761780526,0.6069359207878661,0.5817490494296578
resnet,17,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n101__independent_rms__snr10.npz,02f0838f96517b870a9cd5ad12e2be5449740393164e6af2a9fbff9274d411d1,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,8cf6d111d1bf1b8f7131347b683b0e3c501f0e510e8215cff799ec76723f5aad,0.8945059623500129,0.7624911222690924,0.685488062324423,0.8913131533241476,0.7670087947880077,0.7116415845009514,0.11110100150108337,0.0717133437750293,0.35230522509791523,0.8638765811920166,0.314603748616707,0.9477293790546802,0.053650084882974625,0.9260357060615145,0.8952791649385123,0.8082788671023965,0.8763218000904567,0.7337368048534817,0.6656322730799069,0.90391111496734,0.775322235088554,0.7039007092198581,0.8895641667637125,0.7984883812194284,0.6953713670613563,0.8766970238670404,0.6096290252454855,0.5542570951585977
resnet,29,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/full/resnet/seed_29/band_0p05_5__n101__independent_rms__snr10.npz,4ea4b13f6e444d0392d9343147d6f422c6495d211904da3cdc8687124dca1244,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,8cf6d111d1bf1b8f7131347b683b0e3c501f0e510e8215cff799ec76723f5aad,0.9006929024690313,0.7798491759958252,0.7099446908123227,0.9144705589004701,0.8118786451096809,0.7308270676691729,0.09629523754119873,0.03440396465547557,0.31390664009693614,0.8579808473587036,0.32942717140715383,0.9455977757182576,0.051833074539899826,0.9240848638103556,0.8909383729420046,0.8186095138525875,0.8834995477159656,0.753003702886167,0.6733282090699462,0.9187209879032967,0.8053885411126187,0.7174447174447175,0.8867449827258259,0.7948791838369953,0.7157676348547718,0.8904141301897123,0.6550360792013397,0.6245733788395904
resnet,43,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/full/resnet/seed_43/band_0p05_5__n101__independent_rms__snr10.npz,83e3f8acbb9d68cde86562519b072c4db9a703fb967a0acc123a00bf52e2928a,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,8cf6d111d1bf1b8f7131347b683b0e3c501f0e510e8215cff799ec76723f5aad,0.9020451661683581,0.7741688402299842,0.7077662019302793,0.9031263904801416,0.7929261488532664,0.7371292192294578,0.10472419857978821,0.06596837590782591,0.3355758997116235,0.8569188117980957,0.32609982229060935,0.9482854494902687,0.05583186075091362,0.9270636999960896,0.9007797485248871,0.8302277432712215,0.8904421076436002,0.7720471534545099,0.6842105263157895,0.9146559234215484,0.7917823891834791,0.7320954907161804,0.8915815088699973,0.7955463677599149,0.7154471544715447,0.8864825909105549,0.61068854222713,0.5768500948766604
resnet,17,band_0p05_5__n202__electrode__snr10,methodology_supplement/results/predictions/full/resnet/seed_17/band_0p05_5__n202__electrode__snr10.npz,ee24f7cdad009777d27850e4ba385d05a3ba6ed7da0242a007eaf0b758cb2c6a,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,eed73cad1e10ad61ccbfd2b32ba53bd195b80ea9f8b7d45ae6abec2bdf2cfd74,0.8888620763232714,0.7497381661551135,0.6743420484053378,0.8741432089755964,0.7298776019032389,0.6928695652173913,0.1201915368437767,0.08697652143337337,0.3779577572925818,0.853764533996582,0.33350368430341104,0.9279888785912882,0.07553179562091827,0.9191178195753333,0.8860183608394951,0.7668393782383419,0.8627165309814564,0.7104616583037906,0.649331352154532,0.8989959865256069,0.7582796855555595,0.707383773928897,0.88856459376577,0.7950354650388545,0.6875,0.8749154507681902,0.5988956610378676,0.5606557377049181
