model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
tcn,17,clean,methodology_supplement/results/predictions/full/tcn/seed_17/clean.npz,196f822e71f66e0964757afe560352153da638b21e747b821f4183432115cc48,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.9169105801910709,0.8060205715522081,0.7327948473044128,0.9295096204208645,0.8464537332395936,0.7652711050102952,0.08811666816473007,0.03709768780375091,0.29405517543710274,0.9076570272445679,0.22858224946747405,1.0,0.0,0.9431092688903662,0.92196220262966,0.8586692569208354,0.9079206241519675,0.7888237205012771,0.707855251544572,0.9347936455080862,0.827212478749724,0.7785108388312912,0.9085427099103296,0.8296322143259666,0.7383966244725738,0.8901866524946049,0.6624722415544128,0.580542264752791
tcn,29,clean,methodology_supplement/results/predictions/full/tcn/seed_29/clean.npz,0b62b391bb210948c2bb21459d8e734b91dc2edb976950266b289945f87a59a9,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.9219772719022071,0.8136212596748911,0.7510542480339528,0.9308746644039233,0.8506477919540046,0.7777589421935921,0.08808387070894241,0.047133573125426396,0.2936414600632997,0.9094663262367249,0.2239050206961541,1.0,0.0,0.9439847582302515,0.9261039534160665,0.8560497369679579,0.9152238805970149,0.8104611767574181,0.72,0.931706447705824,0.8166296406490624,0.776595744680851,0.917702631885408,0.8434399475857869,0.7532751091703057,0.9012686410925371,0.6714715799661215,0.6493506493506493
tcn,43,clean,methodology_supplement/results/predictions/full/tcn/seed_43/clean.npz,85be4a1e5f09ff8517f69d2770a380ed0af8c891acc3451546762f2b616c4715,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,0.9176941537037129,0.8072311717247397,0.7379050915344101,0.9255910861669572,0.8356939777644596,0.7672054657557074,0.09245044738054276,0.051406610487814405,0.31019947270983894,0.9137043952941895,0.216380888542378,1.0,0.0,0.9425548647227762,0.9229043702482864,0.8583690987124464,0.9057100859339665,0.7837135411043085,0.7162714636140638,0.9282334967410306,0.8169464150381452,0.7645985401459854,0.912030297736889,0.8320715403013748,0.7399577167019028,0.8999420233839018,0.6805199919315831,0.6103286384976526
tcn,17,band_0p05_5__n101__electrode__snr0,methodology_supplement/results/predictions/full/tcn/seed_17/band_0p05_5__n101__electrode__snr0.npz,bf668f7bb167ec2fdd1062eff83c011bd89c67f3b94d692e7e95d17c7bb1f65e,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,30ae6bdb0dee6427fa936a0be35bf571fbffa285c32310ad85d31916890dd723,0.8486528755674583,0.6906530813557934,0.392824377747769,0.6381071449810877,0.4246745811395121,0.3990862671324913,0.23284168541431427,0.2469407633136858,0.7067116245581062,0.8016995191574097,0.42542496818870573,0.5924003707136237,0.30942243337631226,0.8795118115025831,0.8376523496093484,0.042682926829268296,0.822619855269109,0.6463278968728638,0.4701691896705254,0.8399851326744654,0.6544629293716526,0.5609492988133765,0.8276634253328674,0.6954790356181674,0.38482596793116935,0.8734841530582665,0.619343195306935,0.5054945054945055
tcn,29,band_0p05_5__n101__electrode__snr0,methodology_supplement/results/predictions/full/tcn/seed_29/band_0p05_5__n101__electrode__snr0.npz,16906ab23acc34cb3c308047b2cf91870f9115b6c250932f4a9c40979867e4d7,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,30ae6bdb0dee6427fa936a0be35bf571fbffa285c32310ad85d31916890dd723,0.8416685069953698,0.6747084490807733,0.3782425994301731,0.5956072202147957,0.46457950764072936,0.40040753948038715,0.2523633539676666,0.2948576351032143,0.8061567961539399,0.7830697894096375,0.444133953080225,0.5682113067655237,0.3474072217941284,0.8775635761675725,0.8373828500601038,0.008273009307135471,0.8089190411578471,0.6429406477598673,0.41421012849584277,0.8257427507131744,0.6275723085539054,0.5699067909454061,0.8538840204184618,0.7350417580504934,0.4243219597550306,0.8422331465197925,0.5306046809794965,0.4745011086474501
tcn,43,band_0p05_5__n101__electrode__snr0,methodology_supplement/results/predictions/full/tcn/seed_43/band_0p05_5__n101__electrode__snr0.npz,df440b0283bd253d01f95800d51b1b01b05b2dfcc751f7ffc31dbc812c734f87,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,30ae6bdb0dee6427fa936a0be35bf571fbffa285c32310ad85d31916890dd723,0.8549297669289541,0.6955545875991767,0.39474177421129797,0.6920510347859171,0.4651449707639701,0.3994825355756792,0.21188578009605408,0.23673895840551198,0.6113264967965456,0.8008648753166199,0.4286109813317916,0.5759962928637627,0.29314854741096497,0.8836472494862204,0.8396005994167074,0.03268641470888662,0.8299983039348711,0.639873526951866,0.4420113544201135,0.8561656604645218,0.6697998082510973,0.610655737704918,0.8427213132254182,0.7278456123090667,0.3877068557919622,0.8621163075337392,0.6006533910671459,0.5006485084306096
tcn,17,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/tcn/seed_17/band_0p05_5__n101__electrode__snr10.npz,622e8ed5c18d0033241945f889124edc639f2a246455cf3e92f229529e5cea2c,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.9107487700884805,0.7951744696970703,0.7114714551248466,0.9210428502541108,0.8294349434505406,0.7338009352037408,0.09335777163505554,0.04009547440146992,0.3032846191701666,0.8748813271522522,0.2967130875564525,0.9329008341056534,0.060012515634298325,0.9334784516656022,0.9079906769800997,0.8149755832881173,0.9000316598824062,0.7733532288638925,0.7012578616352201,0.9246948856634661,0.8047579737049988,0.7520143240823635,0.9040155176429485,0.8213868014818074,0.7057761732851986,0.8915233355879796,0.6683836674545527,0.5833333333333334
tcn,29,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/tcn/seed_29/band_0p05_5__n101__electrode__snr10.npz,9b42308a3c5e98b1f1fc8ea2310b8b13546d69bf2af5d23faa0c22b0cac7dffe,e95999147596689babf082839394d52f32c1e6b8b8204a588e76311861f895f9,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.91596780876036,0.8059478435508514,0.7176075475851621,0.9190562997124639,0.8300555080737265,0.7363934426229508,0.09512356668710709,0.05755533846535402,0.30748188219324013,0.8742319345474243,0.2978304221593059,0.921501390176089,0.0731319710612297,0.9385797520822743,0.9200291521942943,0.8195819581958196,0.9095940750791498,0.7980077215911568,0.6789869952087612,0.9230697978723779,0.8049406243250393,0.7281399046104928,0.9117112592678857,0.8340732015676082,0.7410281280310378,0.8968841595001127,0.6726885180761576,0.6203007518796992
tcn,43,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/full/tcn/seed_43/band_0p05_5__n101__electrode__snr10.npz,f30df91681d65dcc09ff9cf0c5297bb67db1d2829e4cb733c5ea6608b683acb6,c7477dff0207ea4b9f85d3d8896a531d71c253bc3616e0bc8daa8bd7370add0b,16ff2d05bbaf9ccedc31037b1d77843e10cda79cce4a13cf268f9bf2b4f34ee1,0.9129420636406662,0.7985123956809798,0.7172163919704913,0.9241082208231142,0.8327507408641597,0.7364492048036352,0.091358482837677,0.03505072338554913,0.2982886287861815,0.8820204734802246,0.2828824665282207,0.9324374420759963,0.054865509271621704,0.9352528925907098,0.9117203268309821,0.8247863247863247,0.9011827227498869,0.7712178705327924,0.681334279630944,0.923753366546407,0.8086324353149859,0.7445887445887446,0.9069426652692053,0.8241298936564853,0.7188081936685289,0.8975786710471221,0.676861452069653,0.6165644171779141
tcn,17,band_0p05_5__n101__independent_rms__snr0,methodology_supplement/results/predictions/full/tcn/seed_17/band_0p05_5__n101__independent_rms__snr0.npz,d86529196581053b3b9162b8e3cedb1ba5ca3d07891af153774e5cb01d727b52,6ab54c8261689377c6c10f99db394501b9049ed832793c6ff2ebd827b5d95eec,7ce71a8fda40b28878a1b023f392f638eeaa1451e9d116d3c965b5dabf508c36,0.867560632142715,0.7244512360466021,0.4963992419165292,0.751517616151889,0.5402248011573528,0.4863603209336251,0.17617745697498322,0.18339392040667157,0.5303317612220412,0.7950999736785889,0.43354301355310504,0.6851714550509731,0.2408088594675064,0.895307985418649,0.858395042993972,0.3009623797025372,0.8544702623247398,0.6997616469858596,0.5605726872246696,0.8656793418042693,0.7102499040611858,0.6483011937557392,0.8488916142618687,0.7321815686754494,0.4263913824057451,0.8734539569040487,0.621668017516544,0.5457685664939551
