matrix_id,electrode,other_electrode,gram,cosine
standard,RA,RA,4.166666666666666,1.0000000000000002
standard,RA,LA,-1.083333333333333,-0.26
standard,RA,LL,-1.083333333333333,-0.26
standard,RA,V1,-0.3333333333333333,-0.16329931618554522
standard,RA,V2,-0.3333333333333333,-0.16329931618554522
standard,RA,V3,-0.3333333333333333,-0.16329931618554522
standard,RA,V4,-0.3333333333333333,-0.16329931618554522
standard,RA,V5,-0.3333333333333333,-0.16329931618554522
standard,RA,V6,-0.3333333333333333,-0.16329931618554522
standard,LA,RA,-1.083333333333333,-0.26
standard,LA,LA,4.166666666666666,1.0000000000000002
standard,LA,LL,-1.083333333333333,-0.26
standard,LA,V1,-0.3333333333333333,-0.16329931618554522
standard,LA,V2,-0.3333333333333333,-0.16329931618554522
standard,LA,V3,-0.3333333333333333,-0.16329931618554522
standard,LA,V4,-0.3333333333333333,-0.16329931618554522
standard,LA,V5,-0.3333333333333333,-0.16329931618554522
standard,LA,V6,-0.3333333333333333,-0.16329931618554522
standard,LL,RA,-1.083333333333333,-0.26
standard,LL,LA,-1.083333333333333,-0.26
standard,LL,LL,4.166666666666666,1.0000000000000002
standard,LL,V1,-0.3333333333333333,-0.16329931618554522
standard,LL,V2,-0.3333333333333333,-0.16329931618554522
standard,LL,V3,-0.3333333333333333,-0.16329931618554522
standard,LL,V4,-0.3333333333333333,-0.16329931618554522
standard,LL,V5,-0.3333333333333333,-0.16329931618554522
standard,LL,V6,-0.3333333333333333,-0.16329931618554522
standard,V1,RA,-0.3333333333333333,-0.16329931618554522
standard,V1,LA,-0.3333333333333333,-0.16329931618554522
standard,V1,LL,-0.3333333333333333,-0.16329931618554522
standard,V1,V1,1.0,1.0
standard,V1,V2,0.0,0.0
standard,V1,V3,0.0,0.0
standard,V1,V4,0.0,0.0
standard,V1,V5,0.0,0.0
standard,V1,V6,0.0,0.0
standard,V2,RA,-0.3333333333333333,-0.16329931618554522
standard,V2,LA,-0.3333333333333333,-0.16329931618554522
standard,V2,LL,-0.3333333333333333,-0.16329931618554522
standard,V2,V1,0.0,0.0
standard,V2,V2,1.0,1.0
standard,V2,V3,0.0,0.0
standard,V2,V4,0.0,0.0
standard,V2,V5,0.0,0.0
standard,V2,V6,0.0,0.0
standard,V3,RA,-0.3333333333333333,-0.16329931618554522
standard,V3,LA,-0.3333333333333333,-0.16329931618554522
standard,V3,LL,-0.3333333333333333,-0.16329931618554522
standard,V3,V1,0.0,0.0
standard,V3,V2,0.0,0.0
standard,V3,V3,1.0,1.0
standard,V3,V4,0.0,0.0
standard,V3,V5,0.0,0.0
standard,V3,V6,0.0,0.0
standard,V4,RA,-0.3333333333333333,-0.16329931618554522
standard,V4,LA,-0.3333333333333333,-0.16329931618554522
standard,V4,LL,-0.3333333333333333,-0.16329931618554522
standard,V4,V1,0.0,0.0
standard,V4,V2,0.0,0.0
standard,V4,V3,0.0,0.0
standard,V4,V4,1.0,1.0
standard,V4,V5,0.0,0.0
standard,V4,V6,0.0,0.0
standard,V5,RA,-0.3333333333333333,-0.16329931618554522
standard,V5,LA,-0.3333333333333333,-0.16329931618554522
standard,V5,LL,-0.3333333333333333,-0.16329931618554522
standard,V5,V1,0.0,0.0
standard,V5,V2,0.0,0.0
standard,V5,V3,0.0,0.0
standard,V5,V4,0.0,0.0
standard,V5,V5,1.0,1.0
standard,V5,V6,0.0,0.0
standard,V6,RA,-0.3333333333333333,-0.16329931618554522
standard,V6,LA,-0.3333333333333333,-0.16329931618554522
standard,V6,LL,-0.3333333333333333,-0.16329931618554522
standard,V6,V1,0.0,0.0
standard,V6,V2,0.0,0.0
standard,V6,V3,0.0,0.0
standard,V6,V4,0.0,0.0
standard,V6,V5,0.0,0.0
standard,V6,V6,1.0,1.0
limb_only,RA,RA,4.166666666666666,1.0000000000000002
limb_only,RA,LA,-1.083333333333333,-0.26
