matrix_id,electrode,affected_leads,propagation_l2
standard,RA,11,2.0412414523193148
standard,LA,11,2.0412414523193148
standard,LL,11,2.0412414523193148
standard,V1,1,1.0
standard,V2,1,1.0
standard,V3,1,1.0
standard,V4,1,1.0
standard,V5,1,1.0
standard,V6,1,1.0
limb_only,RA,11,2.0412414523193148
limb_only,LA,11,2.0412414523193148
limb_only,LL,11,2.0412414523193148
limb_only,V1,0,0.0
limb_only,V2,0,0.0
limb_only,V3,0,0.0
limb_only,V4,0,0.0
limb_only,V5,0,0.0
limb_only,V6,0,0.0
precordial_only,RA,0,0.0
precordial_only,LA,0,0.0
precordial_only,LL,0,0.0
precordial_only,V1,1,1.0
precordial_only,V2,1,1.0
precordial_only,V3,1,1.0
precordial_only,V4,1,1.0
precordial_only,V5,1,1.0
precordial_only,V6,1,1.0
random_00,RA,11,2.0412414523193148
random_00,LA,11,2.0412414523193148
random_00,LL,11,2.0412414523193148
random_00,V1,1,1.0
random_00,V2,1,1.0
random_00,V3,1,1.0
random_00,V4,1,1.0
random_00,V5,1,1.0
random_00,V6,1,1.0
random_01,RA,11,2.0412414523193148
random_01,LA,11,2.0412414523193148
random_01,LL,11,2.0412414523193148
random_01,V1,1,1.0
random_01,V2,1,1.0
random_01,V3,1,1.0
random_01,V4,1,1.0
random_01,V5,1,1.0
random_01,V6,1,1.0
random_02,RA,11,2.0412414523193148
random_02,LA,11,2.0412414523193148
random_02,LL,11,2.0412414523193148
random_02,V1,1,1.0
random_02,V2,1,1.0
random_02,V3,1,1.0
random_02,V4,1,1.0
random_02,V5,1,1.0
random_02,V6,1,1.0
random_03,RA,11,2.0412414523193148
random_03,LA,11,2.0412414523193148
random_03,LL,11,2.0412414523193148
random_03,V1,1,1.0
random_03,V2,1,1.0
random_03,V3,1,1.0
random_03,V4,1,1.0
random_03,V5,1,1.0
random_03,V6,1,1.0
random_04,RA,11,2.0412414523193148
random_04,LA,11,2.0412414523193148
random_04,LL,11,2.0412414523193148
random_04,V1,1,1.0
random_04,V2,1,1.0
random_04,V3,1,1.0
random_04,V4,1,1.0
random_04,V5,1,1.0
random_04,V6,1,1.0
