matrix_id,lead,contributing_electrodes,row_squared_gain
standard,I,2,2.0
standard,II,2,2.0
standard,III,2,2.0
standard,aVR,3,1.5
standard,aVL,3,1.5
standard,aVF,3,1.5
standard,V1,4,1.3333333333333335
standard,V2,4,1.3333333333333333
standard,V3,4,1.3333333333333333
standard,V4,4,1.3333333333333333
standard,V5,4,1.3333333333333333
standard,V6,4,1.3333333333333333
limb_only,I,2,2.0
limb_only,II,2,2.0
limb_only,III,2,2.0
limb_only,aVR,3,1.5
limb_only,aVL,3,1.5
limb_only,aVF,3,1.5
limb_only,V1,3,0.3333333333333333
limb_only,V2,3,0.3333333333333333
limb_only,V3,3,0.3333333333333333
limb_only,V4,3,0.3333333333333333
limb_only,V5,3,0.3333333333333333
limb_only,V6,3,0.3333333333333333
precordial_only,I,0,0.0
precordial_only,II,0,0.0
precordial_only,III,0,0.0
precordial_only,aVR,0,0.0
precordial_only,aVL,0,0.0
precordial_only,aVF,0,0.0
precordial_only,V1,1,1.0
precordial_only,V2,1,1.0
precordial_only,V3,1,1.0
precordial_only,V4,1,1.0
precordial_only,V5,1,1.0
precordial_only,V6,1,1.0
random_00,I,2,2.0
random_00,II,2,2.0
random_00,III,2,2.0
random_00,aVR,3,1.5
random_00,aVL,3,1.5
random_00,aVF,3,1.5
random_00,V1,4,1.3333333333333333
random_00,V2,4,1.3333333333333333
random_00,V3,4,1.3333333333333333
random_00,V4,4,1.3333333333333333
random_00,V5,4,1.3333333333333335
random_00,V6,4,1.3333333333333333
random_01,I,2,2.0
random_01,II,2,2.0
random_01,III,2,2.0
random_01,aVR,3,1.5
random_01,aVL,3,1.5
random_01,aVF,3,1.5
random_01,V1,4,1.3333333333333333
random_01,V2,4,1.3333333333333333
random_01,V3,4,1.3333333333333335
random_01,V4,4,1.3333333333333333
random_01,V5,4,1.3333333333333333
random_01,V6,4,1.3333333333333333
random_02,I,2,2.0
random_02,II,2,2.0
random_02,III,2,2.0
random_02,aVR,3,1.5
random_02,aVL,3,1.5
random_02,aVF,3,1.5
random_02,V1,4,1.3333333333333333
random_02,V2,4,1.3333333333333333
random_02,V3,4,1.3333333333333333
random_02,V4,4,1.3333333333333333
random_02,V5,4,1.3333333333333335
random_02,V6,4,1.3333333333333333
random_03,I,2,2.0
random_03,II,2,2.0
random_03,III,2,2.0
random_03,aVR,3,1.5
random_03,aVL,3,1.5
random_03,aVF,3,1.5
random_03,V1,4,1.3333333333333333
random_03,V2,4,1.3333333333333333
random_03,V3,4,1.3333333333333333
random_03,V4,4,1.3333333333333333
random_03,V5,4,1.3333333333333333
random_03,V6,4,1.3333333333333335
random_04,I,2,2.0
random_04,II,2,2.0
random_04,III,2,2.0
random_04,aVR,3,1.5
random_04,aVL,3,1.5
random_04,aVF,3,1.5
random_04,V1,4,1.3333333333333333
random_04,V2,4,1.3333333333333335
random_04,V3,4,1.3333333333333333
random_04,V4,4,1.3333333333333333
random_04,V5,4,1.3333333333333333
random_04,V6,4,1.3333333333333333
