analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,noise_seed,value,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,101,0.22021359728116718,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,202,0.2200958964183925,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,303,0.21883797684770076,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,404,0.2215428934297177,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,505,0.2205615503370426,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,8128,0.2199063650124551,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,101,0.1730874396144656,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,202,0.17313684395536708,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,303,0.16872118478467443,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,404,0.17369529669960349,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,505,0.17349841022966536,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,8128,0.17193947245769955,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,101,0.23869689072727407,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,202,0.23741234925043836,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,303,0.23790832616756508,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,404,0.23905776077219876,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,505,0.23672056166586158,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,8128,0.2379709611635852,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,101,-0.16580378192271522,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,202,-0.16568608105994054,1
