analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,0.22019304655441266,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,0.17234644129024593,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,0.2379611416244872,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,-0.16578323119596064,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,-0.13399241372284612,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,-0.18978388469240368,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,0.17051247480081702,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,0.14853938961660518,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,0.1925265750830212,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,-0.11610265944236509,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,-0.11018536204920541,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,-0.14434931815093768,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,0.04968057175359559,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,0.023807051673640736,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,0.04543456654146596,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,0.7890218731941734,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,0.8178835009263038,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,0.8240519105782077,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,0.11787042612417248,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,0.0900277604981451,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,0.08464871525250779,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,0.8272040621921227,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,0.8503639782668068,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,0.845438285364737,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,0.07968823712622303,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,29,0.05754728315764233,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,43,0.06326234046597841,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,structure_effect,17,-0.03818218899794945,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,structure_effect,29,-0.03248047734050278,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,structure_effect,43,-0.021386374786529383,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_absolute,17,0.3802081305339943,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_absolute,29,0.417010822344101,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_absolute,43,0.4146374413979031,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_drop,17,0.33167338205174807,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_drop,29,0.3052473330596714,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_drop,43,0.30443038218989177,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_absolute,17,0.4828189304742327,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_absolute,29,0.49487069328800776,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_absolute,43,0.513214787482574,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_drop,17,0.22906258211150962,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_drop,29,0.2273874621157647,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_drop,43,0.2058530361052209,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,17,-0.10261079994023843,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,29,-0.07785987094390669,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,43,-0.0985773460846708,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,17,0.08569988921381676,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,29,0.05360752659397703,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,43,0.08635509750262294,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,17,-0.03129007385536479,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,29,-0.01525349902657725,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,43,-0.03817784057053941,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,17,0.0710599337756191,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,29,0.03489711289588038,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,43,0.06578179352753472,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,17,-0.01665011841716713,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,29,0.003456914671519408,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,43,-0.01760453659545119,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,17,0.014639955438197657,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,29,0.018710413698096656,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,43,0.02057330397508822,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,17,0.8888531277911697,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,29,0.8951221207681219,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,43,0.8964870892240177,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,17,0.018039171527176174,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,29,0.012789140656327191,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,43,0.012213536606697717,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,17,0.8952676249208261,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,29,0.9003610166379832,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,43,0.9006068413980355,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,17,0.01162467439751974,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,29,0.007550244786465839,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,43,0.00809378443267994,6,1
