analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,0.21016687648971524,0.03393693105766557,3,0.20381582473430088,0.2191115181628019,2000,0,0.0009723478447717802,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,-0.16318650987040348,0.027986233749268556,3,-0.17087345736641193,-0.15084023796009502,2000,0,0.0009723478447717812,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,0.17052614650014777,0.021993595920193277,3,0.16523688929617356,0.17981422313304302,2000,0,0.0007632248955563256,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,-0.12354577988083608,0.0182577108512119,3,-0.13140794018310165,-0.1120820096602128,2000,0,0.000763224895556321,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,0.039640729989567434,0.013875740226184092,3,0.03700045281672853,0.04107877655824835,2000,0,0.0013045374280325611,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,0.8103190948995617,0.018700028307057998,3,0.8001469273990933,0.8195970744215537,2000,0,0.0008878573745926018,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,0.09751563395827512,0.017831761130811242,3,0.09117456223474824,0.10389609631316583,2000,0,0.0008878573745926091,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,0.8410021086078888,0.01220062196406814,3,0.8311227904327042,0.8501179201521072,2000,0,0.0014323158197818854,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,0.06683262024994792,0.011494156513705929,3,0.06162137515671362,0.07196887353074151,2000,0,0.0014323158197818984,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,structure_effect,-0.0306830137083272,0.008540960156087865,3,-0.03348479752970483,-0.027968388251623233,2000,0,0.0013719621935144935,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_absolute,0.40395213142533276,0.02059712159562242,3,0.3890180172786456,0.41728312320840566,2000,0,0.0013930202056975122,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_drop,0.3137836991004371,0.015498303754112215,3,0.30099029932763527,0.3262217066784565,2000,0,0.0013930202056975345,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_absolute,0.4969681370816048,0.0153060930242945,3,0.48210398236612884,0.5107160247048089,2000,0,0.0020871300613859983,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_drop,0.22076769344416505,0.012943599167296049,3,0.20841867889862511,0.2324897762690363,2000,0,0.0020871300613860026,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,-0.09301600565627198,0.013279627331584698,3,-0.09943247269087867,-0.08650791965712873,2000,0,0.0027294717793623783,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,0.07522083777013891,0.018720543247289407,3,0.07353649881310813,0.0828587151231427,2000,0,0.0007259557674447609,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,-0.02824047115082715,0.011762500427107317,3,-0.03422086711468823,-0.021244568965458104,2000,0,0.0007259557674447615,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,0.057246280066344725,0.019534038139351357,3,0.05703489903247133,0.0649377732721101,2000,0,0.0005865756349343512,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,-0.01026591344703297,0.011893894954692454,3,-0.015456333868815715,-0.0057205644378847805,2000,0,0.0005865756349343523,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,0.017974557703794178,0.003034348241108544,3,0.015046516579140789,0.019185622475251938,2000,0,0.0007256319135599952,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,0.8934874459277697,0.0040710518499293274,3,0.8849948034089471,0.9012416858630641,2000,0,0.00048603236013508295,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,0.014347282930067026,0.0032101964216517767,3,0.01228489459925948,0.01633653177716319,2000,0,0.00048603236013509244,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,0.898745160985615,0.0030141417127590086,3,0.8904534483419373,0.906435219714782,2000,0,0.0005599162310898419,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,0.00908956787222184,0.002212223464686069,3,0.007710180482363565,0.010514537803048394,2000,0,0.0005599162310898128,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,-0.0052577150578451875,0.0011474882240069151,3,-0.006362651609091029,-0.004209215368712987,2000,0,0.0006982810297051052,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,0.6836690613344629,0.008963388131122525,3,0.6698403402838785,0.6968882993026521,2000,0,0.0018185793381155183,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,0.03406676919130685,0.0047353948713713175,3,0.02756999060153501,0.04019636476106147,2000,0,0.001818579338115494,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,0.7000698788122711,0.010224182583879854,3,0.6861471718107863,0.7133379197846584,2000,0,0.0014300964849034712,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,0.017665951713498593,0.005302900937347607,3,0.012784152057938163,0.022446755840180764,2000,0,0.001430096484903491,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,-0.016400817477808263,0.0020426427360212738,3,-0.019385194590878382,-0.01327333470056604,2000,0,0.002238171502178053,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,0.15899486500310822,0.01774445626130735,3,0.15464881008671238,0.16732470324591217,2000,0,0.0007087845300843818,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_drop,-0.1120144983837965,0.010430762606185078,3,-0.11908512221325142,-0.10177941101631444,2000,0,0.0007087845300843818,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_absolute,0.13520205853454823,0.008092419002474305,3,0.131082914655906,0.14360747627103523,2000,0,0.0004979458397658959,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_drop,-0.08822169191523647,0.0061401685773206,3,-0.0953577202281063,-0.07805551554020027,2000,0,0.0004979458397659072,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,structure_effect,0.023792806468560024,0.015895492290708784,3,0.02218441679022906,0.025074935716824977,2000,0,0.0007434952985929373,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_absolute,0.8141237062588832,0.01680885331517261,3,0.8038160975752842,0.8229977632043085,2000,0,0.0013369638875810196,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_drop,0.09371102259895363,0.015908107243193612,3,0.08762692716221544,0.10003672298060953,2000,0,0.001336963887581001,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_absolute,0.8331074411113447,0.011664025752565796,3,0.8233885266347212,0.8423030240141286,2000,0,0.001487799601738465,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_drop,0.07472728774649207,0.01075835832919304,3,0.06931239427880322,0.08033305299765472,2000,0,0.0014877996017384986,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,structure_effect,-0.018983734852461544,0.005576598461208795,3,-0.021111281997940094,-0.017021494625242568,2000,0,0.0025576718247443788,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_absolute,0.4859870989649789,0.02525468698965348,3,0.4709458256048846,0.4989731033854741,2000,0,0.002587646263514071,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_drop,0.23174873156079098,0.0245424033540531,3,0.21984365691116567,0.2436346390725739,2000,0,0.0025876462635140577,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_absolute,0.5454774834764683,0.027999675963113698,3,0.5296490318095488,0.5591138666553763,2000,0,0.0027048729581747952,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_drop,0.17225834704930157,0.02882861341112622,3,0.1613815624194432,0.1829787749658044,2000,0,0.002704872958174801,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,structure_effect,-0.059490384511489414,0.008483914052009952,3,-0.0642372216449692,-0.055012219962084115,2000,0,0.002438378089529611,
