scope,source_id,noise_seed,condition,family,band_id,n_records,achieved_snr_0,achieved_snr_0_min,achieved_snr_0_max,achieved_snr_0_n_defined,max_snr_abs_error_db,max_snr_abs_error_db_min,max_snr_abs_error_db_max,max_snr_abs_error_db_n_defined,max_scaled_noise_snr_abs_error_db,max_scaled_noise_snr_abs_error_db_min,max_scaled_noise_snr_abs_error_db_max,max_scaled_noise_snr_abs_error_db_n_defined,max_lead_rms_relative_error,max_lead_rms_relative_error_min,max_lead_rms_relative_error_max,max_lead_rms_relative_error_n_defined,max_scaled_lead_rms_relative_error,max_scaled_lead_rms_relative_error_min,max_scaled_lead_rms_relative_error_max,max_scaled_lead_rms_relative_error_n_defined,effective_cross_lead_correlation,effective_cross_lead_correlation_min,effective_cross_lead_correlation_max,effective_cross_lead_correlation_n_defined,active_lead_count,active_lead_count_min,active_lead_count_max,active_lead_count_n_defined,power_fraction_0_5,power_fraction_0_5_min,power_fraction_0_5_max,power_fraction_0_5_n_defined,power_fraction_5_15,power_fraction_5_15_min,power_fraction_5_15_max,power_fraction_5_15_n_defined,power_fraction_15_40,power_fraction_15_40_min,power_fraction_15_40_max,power_fraction_15_40_n_defined,power_fraction_40_50,power_fraction_40_50_min,power_fraction_40_50_max,power_fraction_40_50_n_defined,crop_mean_removed_rms,crop_mean_removed_rms_min,crop_mean_removed_rms_max,crop_mean_removed_rms_n_defined,crop_to_long_source_power_ratio,crop_to_long_source_power_ratio_min,crop_to_long_source_power_ratio_max,crop_to_long_source_power_ratio_n_defined,crop_demeaning_retained_power_fraction,crop_demeaning_retained_power_fraction_min,crop_demeaning_retained_power_fraction_max,crop_demeaning_retained_power_fraction_n_defined,source_fft_df_hz,source_fft_df_hz_min,source_fft_df_hz_max,source_fft_df_hz_n_defined,source_lowest_retained_hz,source_lowest_retained_hz_min,source_lowest_retained_hz_max,source_lowest_retained_hz_n_defined
source_seed_condition,standard,8128,electrode,standard,legacy_0p5_40,2158,-2.0337038990222916e-10,-1.863353236536758e-08,1.8147491475622117e-08,2158,1.4748874092454802e-07,9.55205248232005e-08,2.229017006527556e-07,2158,1.49481664378245e-07,1.3348261518331128e-07,1.6683840087239332e-07,2158,2.8281767069034793e-08,9.74739042761369e-09,1.0952940027377482e-07,2158,6.762049425941092e-09,3.747693365989642e-09,1.3777855832420788e-08,2158,0.197724302537776,0.17962727982283885,0.21489270424311083,2158,12.0,12.0,12.0,2158,0.1139543823645615,0.08620252410239064,0.14410835424175025,2158,0.2518159476907652,0.21506462786120986,0.2898340906236624,2158,0.6316322167564755,0.5929030726448123,0.6701021166956603,2158,0.0025974531881977,0.0003380591326029581,0.009860489649576183,2158,7.644180281722025e-18,2.482534153247273e-18,1.4776118912695144e-17,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999998,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
overall,__overall__,,electrode,all,all,155376,-2.964405319218495e-11,-2.7364123203725336e-08,3.298125092794067e-08,155376,6.587009301687287e-08,1.5476910056411645e-08,2.30046278915097e-07,155376,6.596216675964219e-08,2.673055732316243e-08,1.6683840087239332e-07,155376,1.2427682377452655e-08,2.3711467624211875e-09,1.4745453047228282e-07,155376,5.512391510585629e-09,1.3243016700281153e-09,1.3866101932779676e-08,155376,0.23289821011532472,0.01100974282362381,0.4081935621916015,155376,11.5,6.0,12.0,155376,0.1673537490880709,5.130842081915257e-06,0.99589743607514,155376,0.27326883856975903,0.00017780854354934153,0.9965805479218006,155376,0.5572082291194091,2.406114273421826e-05,0.998609104987597,155376,0.002169183222758607,3.096150605624116e-06,0.013613495114313074,155376,0.0022481894022576944,6.148136713008272e-19,0.04611734433854607,155376,1.000038203383622,0.7879725591463159,1.2679546774878152,155376,0.9997710477613188,0.9854062243629461,1.0000000000000002,155376,0.07000000000019362,0.01,0.1,155376,2.045833333332834,0.05,15.0,155376
source_seed_condition,standard,8128,independent_rms,standard,legacy_0p5_40,2158,7.591374655364357e-11,-1.8934579972488137e-08,1.9041879160179294e-08,2158,1.4715294574501617e-07,9.227417052670717e-08,2.1669427496817661e-07,2158,1.4923894979703434e-07,1.3357287897974857e-07,1.663895474735e-07,2158,2.8281767069034793e-08,9.74739042761369e-09,1.0952940027377482e-07,2158,6.762049425941092e-09,3.747693365989642e-09,1.3777855832420788e-08,2158,0.02827880161098271,0.01937846620996385,0.037013739153042076,2158,12.0,12.0,12.0,2158,0.11373342028081986,0.09803320496244344,0.12841273559714575,2158,0.25242525366542923,0.23008823509297036,0.27415887059095495,2158,0.6312946850210088,0.6046867161282364,0.6571800525844901,2158,0.002546641032742086,0.000832602955282477,0.005841402425856094,2158,5.3594084876894726e-18,2.6459668429208405e-18,8.961913909027147e-18,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999997,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
overall,__overall__,,independent_rms,all,all,155376,1.086916636310299e-11,-3.319651414309625e-08,2.967984501153332e-08,155376,6.580717511547902e-08,1.2913627500665825e-08,2.3123837067373643e-07,155376,6.595128661991431e-08,2.9904203557862274e-08,1.6810699676739205e-07,155376,1.2427682377452655e-08,2.3711467624211875e-09,1.4745453047228282e-07,155376,5.512391510585629e-09,1.3243016700281153e-09,1.3866101932779676e-08,155376,0.03557293042245969,0.011899106941520474,0.11034789882923719,155376,11.5,6.0,12.0,155376,0.16736279012097166,1.2473054690538775e-05,0.9941686377247748,155376,0.2732717783333567,0.00035802984542726205,0.9953865131810948,155376,0.5572075365339921,6.33034710786086e-05,0.9979266727201064,155376,0.002157895011674744,1.0233720599320428e-05,0.008481900472954215,155376,0.001855140987117384,2.11525895502192e-18,0.029191320932157698,155376,0.9998889847997949,0.8643244386565285,1.1589344665748353,155376,0.9997721314454044,0.991292243025569,1.0000000000000002,155376,0.07000000000019362,0.01,0.1,155376,2.045833333332834,0.05,15.0,155376
source_seed_condition,limb_only,8128,electrode,limb_only,legacy_0p5_40,2158,-2.022036001564378e-10,-2.101173652335941e-08,2.1320553130249556e-08,2158,5.841125694712535e-08,2.575400870341582e-08,9.319543536889796e-08,2158,5.841241426253866e-08,3.64567558364115e-08,8.133103257534913e-08,2158,1.4856640262677836e-08,5.312018239819389e-09,5.13204571794351e-08,2158,5.355028889489662e-09,2.2159499086080153e-09,1.106603015141095e-08,2158,0.3683129738425466,0.35248861949989524,0.40065190337733875,2158,12.0,12.0,12.0,2158,0.11400573915151732,0.08212407504903191,0.15283331432045208,2158,0.2516349228132298,0.20569336524788126,0.3025945126819786,2158,0.6317278537653125,0.5777653260568372,0.6775263224930725,2158,0.0026314842699389648,0.00012161789471053474,0.012756833298502452,2158,6.170138739683679e-18,1.3167575825743384e-18,1.3236664760052858e-17,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999996,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
source_seed_condition,limb_only,8128,independent_rms,limb_only,legacy_0p5_40,2158,9.395984393110616e-11,-2.4298532437447192e-08,1.97138447154071e-08,2158,5.8357663208472305e-08,2.5229457634168284e-08,8.876703994076252e-08,2158,5.8345490278729533e-08,4.0982424565072506e-08,7.655945566398259e-08,2158,1.4856640262677836e-08,5.312018239819389e-09,5.13204571794351e-08,2158,5.355028889489662e-09,2.2159499086080153e-09,1.106603015141095e-08,2158,0.028278801604531858,0.01937846557894875,0.03701373940403691,2158,12.0,12.0,12.0,2158,0.1137212136136445,0.09614850812296291,0.13236738164756476,2158,0.25252054153742365,0.2255841036148059,0.2797294598115462,2158,0.6312178566342859,0.6011083836853766,0.6613718196364521,2158,0.0025403882146455567,0.0005690443253526256,0.007123726963315478,2158,5.3594084876894726e-18,2.6459668429208405e-18,8.961913909027147e-18,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999997,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
source_seed_condition,precordial_only,8128,electrode,precordial_only,legacy_0p5_40,2158,5.163511741594627e-11,-2.7315973368689747e-08,2.7749750350280632e-08,2158,5.8354248459605564e-08,2.062764359322955e-08,1.0381792137081902e-07,2158,5.836176951248296e-08,3.568754003424601e-08,8.659375794195512e-08,2158,8.275802942256441e-09,2.8578933225214804e-09,2.0762228685151995e-08,2158,4.724232176007398e-09,1.4206865789870638e-09,1.0861079466763156e-08,2158,0.02853998951774361,0.013330253934259342,0.04783805646949756,2158,6.0,6.0,6.0,2158,0.11383950715518436,0.09342075151277544,0.13879381196001436,2158,0.25249220987157683,0.2187518428003383,0.2829345693126438,2158,0.6311360864645367,0.599538558479888,0.6628506095761335,2158,0.0025321965087021,0.00038673009402075034,0.00761868915463448,2158,3.715505349489304e-18,1.076401158743041e-18,7.454219611166888e-18,2158,1.0,1.0,1.0,2158,1.0,1.0,1.0000000000000002,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
source_seed_condition,precordial_only,8128,independent_rms,precordial_only,legacy_0p5_40,2158,3.2745361553501744e-10,-2.6487407292891544e-08,2.967984501153332e-08,2158,5.834368378967583e-08,1.4939571357786008e-08,1.016433621714441e-07,2158,5.825424259956101e-08,3.1730051475165055e-08,8.81433432908807e-08,2158,8.275802942256441e-09,2.8578933225214804e-09,2.0762228685151995e-08,2158,4.724232176007398e-09,1.4206865789870638e-09,1.0861079466763156e-08,2158,0.028371082726538863,0.013444800369298198,0.050906546443853354,2158,6.0,6.0,6.0,2158,0.11375492301522111,0.09391664333032608,0.13304985934603109,2158,0.2522399808310942,0.22082752045209617,0.2834199683431077,2158,0.6314461281493207,0.5931540352589136,0.6607289836612534,2158,0.0025589680043631856,0.0003998480730602656,0.007132208803634972,2158,5.3594084876894726e-18,2.6459668429208405e-18,8.961913909027147e-18,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999997,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
source_seed_condition,random_00,8128,electrode,randomized,legacy_0p5_40,2158,4.17738656015121e-11,-1.8871430023738564e-08,1.6988366008204054e-08,2158,5.834787755250846e-08,2.4024494393870555e-08,8.863774603184993e-08,2158,5.8284802177495825e-08,4.1317676391372515e-08,7.501097698536796e-08,2158,1.088023080120602e-08,3.903147181701509e-09,2.9905242529876124e-08,2158,5.4887780002991035e-09,2.331454316331021e-09,1.1489721459412224e-08,2158,0.25042586229010094,0.23300542320276038,0.2690425510907809,2158,12.0,12.0,12.0,2158,0.11393281780711949,0.08945044114750757,0.14050972074926987,2158,0.25179683688651117,0.21784593062048993,0.28990460190905115,2158,0.6316847348805971,0.5936607401447673,0.6663168062202991,2158,0.0025856104257719384,0.00041486237966309496,0.009487360501780631,2158,7.664346774009478e-18,3.1086244689504384e-18,1.3545934204581304e-17,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999997,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
source_seed_condition,random_00,8128,independent_rms,randomized,legacy_0p5_40,2158,8.541809034544632e-11,-1.8764639435302262e-08,1.77738763008357e-08,2158,5.833326943838737e-08,2.7801714708175496e-08,8.678566842945656e-08,2158,5.8261294814412645e-08,4.2924199306071387e-08,7.682291247590456e-08,2158,1.088023080120602e-08,3.903147181701509e-09,2.9905242529876124e-08,2158,5.4887780002991035e-09,2.331454316331021e-09,1.1489721459412224e-08,2158,0.028278801615348584,0.019378466112227363,0.03701373907144328,2158,12.0,12.0,12.0,2158,0.11373716235855434,0.09796361921839616,0.12861958015661748,2158,0.25242906831927975,0.2297543855763399,0.2746658808811444,2158,0.6312866839050525,0.6048237877717311,0.6574191069548586,2158,0.0025470854171129307,0.0008297441798298427,0.005761549632419698,2158,5.3594084876894726e-18,2.6459668429208405e-18,8.961913909027147e-18,2158,1.0,1.0,1.0,2158,1.0,0.9999999999999997,1.0,2158,0.0999999999999963,0.1,0.1,2158,0.5,0.5,0.5,2158
