model,strategy,seed,x,y,clean_auroc,joint_unseen_auroc,retention,baseline_clean_auroc,baseline_joint_unseen_auroc,baseline_retention
resnet,clean_only,17,0.0,0.0,0.9068922993183458,0.8812671416521964,0.9717439902330388,0.9068922993183458,0.8812671416521964,0.9717439902330388
resnet,clean_only,29,0.0,0.0,0.907911261424449,0.8908365251558794,0.9811933864078723,0.907911261424449,0.8908365251558794,0.9811933864078723
resnet,clean_only,43,0.0,0.0,0.9087007471381179,0.8931434166870024,0.9828795887963172,0.9087007471381179,0.8931434166870024,0.9828795887963172
resnet,clean_only,101,0.0,0.0,0.9083074602853323,0.8949566559364777,0.9853014480959499,0.9083074602853323,0.8949566559364777,0.9853014480959499
resnet,clean_only,202,0.0,0.0,0.9039460500763337,0.8871668431618107,0.9814378226288091,0.9039460500763337,0.8871668431618107,0.9814378226288091
resnet,independent_rms,17,-0.002041316854133335,0.017080689439400665,0.9089336161724791,0.8987759918562526,0.9888246796724395,0.9068922993183458,0.8812671416521964,0.9717439902330388
resnet,independent_rms,29,-0.00018834291855007734,0.006768616175123143,0.9080996043429991,0.8971679036525232,0.9879620025829955,0.907911261424449,0.8908365251558794,0.9811933864078723
resnet,independent_rms,43,-0.0007272387651385825,0.007178571348718021,0.9094279859032565,0.9003865985087731,0.9900581601450352,0.9087007471381179,0.8931434166870024,0.9828795887963172
resnet,independent_rms,101,-0.0008761159063805923,0.005240910588741432,0.9091835761917129,0.9005848440393125,0.9905423586846913,0.9083074602853323,0.8949566559364777,0.9853014480959499
resnet,independent_rms,202,-0.002987569762405995,0.008749240365859667,0.9069336198387397,0.8980339373602352,0.9901870629946687,0.9039460500763337,0.8871668431618107,0.9814378226288091
resnet,electrode,17,-0.0027798824550232526,0.01788155997906249,0.9096721817733691,0.9002348334011026,0.9896255502121013,0.9068922993183458,0.8812671416521964,0.9717439902330388
resnet,electrode,29,-0.0008719053950970723,0.008972584865760691,0.9087831668195461,0.899846167051994,0.990165971273633,0.907911261424449,0.8908365251558794,0.9811933864078723
resnet,electrode,43,-0.0013273722815679845,0.00962969971517047,0.9100281194196859,0.903211361331672,0.9925092885114877,0.9087007471381179,0.8931434166870024,0.9828795887963172
resnet,electrode,101,-0.00033868199726794224,0.006575907820585258,0.9086461422826002,0.9012655330720172,0.9918773559165351,0.9083074602853323,0.8949566559364777,0.9853014480959499
resnet,electrode,202,-0.00552418630365159,0.008818223628112465,0.9094702363799853,0.9006084004669823,0.9902560462569215,0.9039460500763337,0.8871668431618107,0.9814378226288091
resnet,mixed,17,0.0006680414820119385,0.021935642756034324,0.9062242578363339,0.9004965879335971,0.9936796329890731,0.9068922993183458,0.8812671416521964,0.9717439902330388
resnet,mixed,29,-0.000575119831628057,0.007782931258389025,0.9084863812560771,0.8984715159855713,0.9889763176662614,0.907911261424449,0.8908365251558794,0.9811933864078723
resnet,mixed,43,0.00017552768693551712,0.008524620864570065,0.9085252194511824,0.900715727147975,0.9914042096608873,0.9087007471381179,0.8931434166870024,0.9828795887963172
resnet,mixed,101,-0.0018936321265293765,0.004326529626088038,0.9102010924118616,0.90076046640493,0.9896279777220379,0.9083074602853323,0.8949566559364777,0.9853014480959499
resnet,mixed,202,-0.0032157850800940135,0.010195404703802535,0.9071618351564277,0.8995718183101346,0.9916332273326116,0.9039460500763337,0.8871668431618107,0.9814378226288091
tcn,clean_only,17,0.0,0.0,0.9169105801910709,0.9104554615235029,0.9929599256372243,0.9169105801910709,0.9104554615235029,0.9929599256372243
tcn,clean_only,29,0.0,0.0,0.9219772719022071,0.9124867498838438,0.9897063384222343,0.9219772719022071,0.9124867498838438,0.9897063384222343
tcn,clean_only,43,0.0,0.0,0.9176941537037129,0.9112497590135916,0.9929776225934258,0.9176941537037129,0.9112497590135916,0.9929776225934258
tcn,clean_only,101,0.0,0.0,0.9149481267713714,0.9055335649915051,0.9897102780962264,0.9149481267713714,0.9055335649915051,0.9897102780962264
tcn,clean_only,202,0.0,0.0,0.9170272113756426,0.909699025676778,0.9920087587271663,0.9170272113756426,0.909699025676778,0.9920087587271663
tcn,independent_rms,17,0.0004096091975960281,0.001959552089820682,0.9165009709934748,0.9118446673981525,0.994919477727045,0.9169105801910709,0.9104554615235029,0.9929599256372243
tcn,independent_rms,29,0.00016924098353710004,0.003383579241190815,0.92180803091867,0.9154382615274992,0.9930899176634251,0.9219772719022071,0.9124867498838438,0.9897063384222343
tcn,independent_rms,43,0.000836977977530351,0.0007335505485380756,0.9168571757261825,0.9110912196954862,0.9937111731419639,0.9176941537037129,0.9112497590135916,0.9929776225934258
tcn,independent_rms,101,0.00047536377198298396,0.004479197125598855,0.9144727629993884,0.9091591963520087,0.9941894752218252,0.9149481267713714,0.9055335649915051,0.9897102780962264
tcn,independent_rms,202,-0.00033164698650889335,0.002084536421521732,0.9173588583621515,0.9119402903440639,0.994093295148688,0.9170272113756426,0.909699025676778,0.9920087587271663
tcn,electrode,17,0.0005845928272625311,0.002470369481792578,0.9163259873638083,0.9121386480277757,0.9954302951190169,0.9169105801910709,0.9104554615235029,0.9929599256372243
tcn,electrode,29,0.0009574333807119695,0.00462860452341507,0.9210198385214952,0.9158022085890765,0.9943349429456494,0.9219772719022071,0.9124867498838438,0.9897063384222343
tcn,electrode,43,0.001295591994282086,0.0018186256389045585,0.9163985617094308,0.9116298510750402,0.9947962482323304,0.9176941537037129,0.9112497590135916,0.9929776225934258
tcn,electrode,101,0.001075926439155439,0.005645484367347131,0.913872200332216,0.9096279607569318,0.9953557624635735,0.9149481267713714,0.9055335649915051,0.9897102780962264
tcn,electrode,202,0.00018646801151589454,0.003769331277078458,0.9168407433641267,0.9129699242661978,0.9957780900042448,0.9170272113756426,0.909699025676778,0.9920087587271663
tcn,mixed,17,0.0003688370388836848,0.0023223330211380455,0.9165417431521872,0.9122177362801768,0.9952822586583624,0.9169105801910709,0.9104554615235029,0.9929599256372243
tcn,mixed,29,0.00021733061989304137,0.003937893152985761,0.9217599412823141,0.9159014485532786,0.9936442315752201,0.9219772719022071,0.9124867498838438,0.9897063384222343
tcn,mixed,43,0.00034874939779627745,0.0019056536016626158,0.9173454043059166,0.9126516012393732,0.9948832761950884,0.9176941537037129,0.9112497590135916,0.9929776225934258
tcn,mixed,101,0.001613256509756078,0.005059773946175294,0.9133348702616153,0.908558176423282,0.9947700520424017,0.9149481267713714,0.9055335649915051,0.9897102780962264
tcn,mixed,202,0.0001340057618455237,0.0034383095596083324,0.9168932056137971,0.9127186534613125,0.9954470682867747,0.9170272113756426,0.909699025676778,0.9920087587271663
