analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,17,-0.00047481618991884744,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,29,-7.00880859572095e-05,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,43,-0.00021802595094644328,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,101,-0.00037196188599608604,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,202,-0.0002665272506496841,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,17,-0.0018761498885437877,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,29,-0.0017784214529318332,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,43,0.0008045296170102745,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,101,-0.001789540994285077,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,202,0.001496666070479269,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,17,0.0013418745237456023,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,29,-0.0017806800343954307,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,43,0.00019533757237170934,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,101,0.000964060047004188,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,202,-0.0005059419283660604,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,17,-0.001411976561300654,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,29,-0.000397388302561974,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,43,-0.0006899832203758338,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,101,-0.0008282921647807528,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,202,-0.0005660318065148218,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,17,-0.0037420819571842845,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,29,-0.0017317092577140425,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,43,-0.0029953485693146042,5
