analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,-0.0002802838726936541,0.00015370039264766007,5,-0.0004946434726768745,-6.788971393713764e-05,2000,0,0.00017008337610769232,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,-0.0006285833296542309,0.0016429295829654734,5,-0.001619925009636194,0.00035034375027498946,2000,0,0.0011294153487879154,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,20,ece,structure_effect,4.2930036072001686e-05,0.0012435613634512413,5,-0.0006146584259039211,0.0006531314641301577,2000,0,0.0006256237531311764,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,-0.0007787344111068073,0.00038794188291869247,5,-0.0011390456538469046,-0.0004067352707466499,2000,0,0.00026079520923253145,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,-0.002311886389714579,0.0012725145715424637,5,-0.0036255468462276204,-0.0010888691594098943,2000,0,0.0018378069070208473,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,15,ece,structure_effect,-0.0003005406864062046,0.0022578774976787347,5,-0.0009008301839363075,0.0009276204767248721,2000,0,0.0003600415749500649,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,-0.0022215169308200666,0.000977182528044878,5,-0.002860193154564862,-0.0015842261342791561,2000,0,0.0003308157501714958,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,-0.005580907604491458,0.0026967048999321616,5,-0.007380571855982165,-0.0038505933220183736,2000,0,0.002664453387352278,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,10,ece,structure_effect,0.005814185376402911,0.0024724674986435404,5,0.00365901310449451,0.0065563982152023375,2000,0,0.0002973019703034824,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,-0.007202593429320369,0.0024664097567836767,5,-0.008382417189491481,-0.006059514831760616,2000,0,0.0005027483455463776,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,-0.024618474802297553,0.004394254793487531,5,-0.0275729421003393,-0.021608374032208555,2000,0,0.0022786211884003624,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,0.018851863476466238,0.004061586179879298,5,0.017452617531369924,0.01972123954267747,2000,0,0.0006650563078387765,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,-0.020255828515828345,0.0045443257605906956,5,-0.022235354601955474,-0.018475316222130278,2000,0,0.0010854995247819561,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,-0.06455890558370712,0.016515885031476593,5,-0.06849555007722799,-0.06058888152801943,2000,0,0.0035681864825906663,
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,0.02631035452531206,0.01336314215651865,5,0.02452365110249586,0.027241564542605273,2000,0,0.0005173380380688289,
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,-5.6749197010974586e-05,0.00011669959955114093,5,-0.00025084788666768725,0.0001342105065182791,2000,0,0.00018061166148079937,
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,0.0005517384628348943,0.0007402651724850027,5,-0.00035579595657623587,0.0014755276546435687,2000,0,0.0011032329007679541,
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,-0.0005525918075608441,0.0007833770425072246,5,-0.0011990925928095453,0.0001374930673118357,2000,0,0.0007890753094737137,
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,-0.0003473712619493696,0.00021412132064734413,5,-0.0006879008903006945,-2.3655740585074636e-05,2000,0,0.0003085408489287083,
