model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
resnet,17,band_0p05_5__n101__electrode__snr0,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__electrode__snr0.npz,141ff1f899ea902f3904fb841d2ca78d3e58d004896ae0337bdaf6272a770179,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,546327a4011814163584bcbbf376cf71e965cf349571bc5b9d8cf1190d4edfb0,0.7808618681072219,0.6186894061156115,0.3375764975764975,0.5922610880074306,0.3527270857334108,0.3223443223443223,0.2469067126512527,0.2601956161409616,0.7374638122618481,0.8403732776641846,0.3782377637772534,0.646,0.2672731280326843,0.8346045764753112,0.819669132194389,0.0727272727272727,0.7098214285714286,0.3861870727206684,0.3376623376623376,0.7082699137493658,0.5395849004228628,0.358974358974359,0.7227245328511152,0.6233964767176452,0.4,0.9288888888888888,0.7246094485224919,0.5185185185185185
resnet,17,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__electrode__snr10.npz,3b43a6cd4e53c2317c0201ae5a87529c9573168caccd4af7fe9681bbba4bdfe4,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bbfb3cb0e392dc680f6437ee861a7ce19914b0e58f74ee554c7334558f79488c,0.9005714325113419,0.7736979593365033,0.6520114942528735,0.8920436554009837,0.7602329649995031,0.6791044776119403,0.1133477762341499,0.1245379174239933,0.3466506766750168,0.8529544472694397,0.3312038889735882,0.912,0.0800210535526275,0.9064632677639504,0.9016068452966196,0.75,0.8943452380952381,0.6416629519000209,0.5416666666666666,0.9162861491628614,0.8074917705974982,0.75,0.8324291742013261,0.7549028320629809,0.6666666666666666,0.9533333333333334,0.7628253968253967,0.5517241379310345
resnet,17,band_0p05_5__n101__independent_rms__snr0,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__independent_rms__snr0.npz,e3128141e5715e18e89e4994d977afa0a721d0bec5da12f2811a82452c1fb03f,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,776ebe08c2f401332e0cb15cf25d64909817955d25018cc5a5609c9dbeb99e2b,0.8582179417519722,0.7150190422088096,0.4868997668997668,0.7201452365371218,0.4611150576019335,0.4714828897338403,0.1903865337371826,0.2157448910251259,0.563660660899797,0.8192717432975769,0.4035066407788625,0.758,0.2153130173683166,0.8699317543155359,0.8535572307997839,0.3384615384615385,0.8363095238095238,0.624858027473467,0.4242424242424242,0.8472856418061898,0.6851327195384045,0.6,0.7986738999397226,0.6846717004105685,0.5384615384615384,0.9388888888888888,0.7268755328218244,0.5333333333333333
resnet,17,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__independent_rms__snr10.npz,0f75feac7a0dd02053c33b8fc1e461c59d53a7c1e82ee0420b75857f93f6ec68,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,116133b63cce38a2441d5e7001185b224476cd18f75ea688748a71d45fc586b4,0.9078143549779776,0.7912147735565652,0.6773599271602901,0.914420214899411,0.7986834404572667,0.7116104868913857,0.1007007285952568,0.1035423071160912,0.3136013465375886,0.8668903708457947,0.3039861319607803,0.934,0.0577785074710845,0.9076676033721396,0.9003048945413925,0.8080808080808081,0.8988095238095237,0.6477756162595892,0.5777777777777777,0.9269406392694064,0.845549431746661,0.7241379310344828,0.8523206751054853,0.7641214144126729,0.6842105263157895,0.9533333333333334,0.7983225108225107,0.5925925925925926
resnet,17,band_0p05_5__n202__electrode__snr0,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n202__electrode__snr0.npz,08c9e2a547a987962ddc799e41df3e8ee6b0692bf1d6f025a03b75eca6250519,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,d58adf688a25e539d118dd65c205797a76d450e5e4c3ecfaa805ae7899d5242b,0.8173220141222901,0.626739519741486,0.327032967032967,0.6156087057482426,0.3579055886667098,0.3233082706766917,0.2461147904396057,0.2615037790164352,0.7344723718019148,0.8435611724853516,0.3731877059098633,0.64,0.2700054347515106,0.8490566037735849,0.8354903567848424,0.0,0.7686011904761905,0.4368118016555516,0.358974358974359,0.802130898021309,0.6354665175708905,0.3428571428571428,0.7679324894514767,0.6073698653029918,0.4533333333333333,0.8988888888888888,0.6185590573931534,0.48
resnet,17,band_0p05_5__n202__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n202__electrode__snr10.npz,02c80bd6670591c135617ab3a2cb4e08e48153c95de0cb15c538c874ae62647a,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,1245d05072c0761590e96916b3c16a73dd16295efbc0a64bcd8906b51f27073e,0.8998019710722888,0.7738970809437345,0.6673115203528219,0.8966245171096241,0.7694868516146243,0.6893939393939394,0.1113753691315651,0.1270668307058513,0.341243974582696,0.8558846712112427,0.3256845346729874,0.912,0.0787896141409874,0.9100762745885188,0.9048068646164134,0.7446808510638298,0.8898809523809523,0.6008458230594013,0.5490196078431373,0.9330289193302892,0.8485667896825055,0.7857142857142857,0.8215792646172393,0.7583810067254322,0.6857142857142857,0.9444444444444444,0.7568849206349206,0.5714285714285714
resnet,17,band_0p05_5__n202__independent_rms__snr0,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n202__independent_rms__snr0.npz,83da89093111a5f2dafc47eff6c7f8663a7ad0ba2b4a678e85fb556d980b3083,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,7af5bd826b7d7b77ee00ed575381feb3ff4537ae17c871e20993e3df0630d22b,0.8456314875943551,0.7103592638569622,0.4922895603224193,0.7065293111819467,0.4605046683618194,0.4806201550387597,0.191926971077919,0.2153892761021853,0.5694601818627752,0.8157700300216675,0.4071905256541816,0.772,0.2119366526603698,0.8707346447209956,0.8834862025073855,0.34375,0.8214285714285715,0.5263569822581875,0.4406779661016949,0.8366311516996449,0.7039236906945978,0.6153846153846154,0.7649186256781192,0.700366233379172,0.5283018867924528,0.9344444444444444,0.7376632104454686,0.5333333333333333
resnet,17,band_0p05_5__n202__independent_rms__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n202__independent_rms__snr10.npz,abc83b41c671e6329560cd1ebd3af4854f4fb3f70ec1de932b20eac919eb3039,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,b2643e33e38d0ac8ae053ca0e21c2919c9935253c9cd1d69d4b44a3b0a877df9,0.9097108581620584,0.7953886125524899,0.6821217804644915,0.9201410145447636,0.8121333555875844,0.7196969696969697,0.0978663936257362,0.1105543395206332,0.3039517135032318,0.8685643672943115,0.3018498417772007,0.952,0.0516689047217369,0.927739863508631,0.9270399316455414,0.8235294117647058,0.9159226190476192,0.6465490948418671,0.6086956521739131,0.9401319127346524,0.8643828511240823,0.7272727272727273,0.812537673297167,0.7441970703768446,0.6111111111111112,0.9522222222222222,0.7947741147741147,0.64
resnet,17,band_0p05_5__n303__electrode__snr0,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n303__electrode__snr0.npz,8fd0fe2d3b0ecd641e7011f3bb441ac9cb631331832e68727f45b687c9425da2,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,03fb766fe3b7854b6d30848106a0668ed0b989b92bed4be48de810a678789c38,0.7926199996125977,0.6406840877460065,0.3409680718711373,0.6130966202951172,0.3600973101153314,0.3149606299212598,0.2484591603279113,0.2670720801874995,0.7399994918206513,0.8466581106185913,0.3679924518065083,0.66,0.2653637826442718,0.8305901244480127,0.812376618769808,0.037037037037037,0.697172619047619,0.4137104130309263,0.3380281690140845,0.7711821410451547,0.5841872365537832,0.3529411764705882,0.7197106690777577,0.6304255576549023,0.4054054054054054,0.9444444444444444,0.7627206127206125,0.5714285714285714
resnet,17,band_0p05_5__n303__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n303__electrode__snr10.npz,bd5f1b662d5f155c510c870b8058127c331d0f32491acf41ef76e6529271b779,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,4c4de0ad489034c7c89c57dd91e093f85d57f30b73ec0d4a752c880bdc12c576,0.8905073359892443,0.7698042142082201,0.6739073666968405,0.8874416837305524,0.7545769363895557,0.6923076923076923,0.1146126985549926,0.1231428752802312,0.3540033065154834,0.8567061424255371,0.3266724875312479,0.92,0.0768513083457946,0.8964271376957046,0.8926089208559035,0.7578947368421053,0.875,0.589891721491228,0.5416666666666666,0.9208523592085236,0.8394935485506065,0.7272727272727273,0.8047016274864376,0.7388268394433222,0.7027027027027027,0.9555555555555556,0.7882000407000407,0.64
