model,seed,case_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,macro_ap,macro_f1,micro_auroc,micro_ap,micro_f1,brier,ece,mean_loss,mean_confidence,mean_entropy,clean_agreement,probability_shift,auroc_NORM,ap_NORM,f1_NORM,auroc_MI,ap_MI,f1_MI,auroc_STTC,ap_STTC,f1_STTC,auroc_CD,ap_CD,f1_CD,auroc_HYP,ap_HYP,f1_HYP
resnet,17,clean,methodology_supplement/results/predictions/smoke/resnet/seed_17/clean.npz,229b4b856329d7292eef84dcfbbf29a5ace7788f4d05a0131150fab8e2754c24,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,9c604de59a1c0b07521073e8a8e70d7770c114e8a100ef08a04440d5be5e257c,0.916201496336007,0.8072853763325817,0.7350810129956109,0.933588060205611,0.8454973848364049,0.7686567164179104,0.087183378636837,0.09298737882450228,0.27880015635105365,0.8928477764129639,0.24990187145273787,1.0,0.0,0.9221196306704136,0.9168119497097846,0.8596491228070176,0.90625,0.6641379395446824,0.5909090909090909,0.9492643328259767,0.8786885066811243,0.7547169811320755,0.8444846292947559,0.7768149407537723,0.7428571428571429,0.9588888888888889,0.7999735449735449,0.7272727272727273
resnet,29,clean,methodology_supplement/results/predictions/smoke/resnet/seed_29/clean.npz,b2b6228adc9c7d37ab8195157e9a5fa56f3e0148053e2b77fc4a635e296ff14a,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,9c604de59a1c0b07521073e8a8e70d7770c114e8a100ef08a04440d5be5e257c,0.9262692268465857,0.8348988690549891,0.7531837615428947,0.945261869076017,0.8618062277070356,0.7878787878787878,0.07600507140159607,0.0837259169258177,0.2552114786453221,0.9071402549743652,0.23231262434484712,1.0,0.0,0.923323966278603,0.9108937200499655,0.8771929824561403,0.8973214285714285,0.6209677372466968,0.5789473684210527,0.9670218163368849,0.9183240174841296,0.7857142857142857,0.8625678119349005,0.8054199816052654,0.7058823529411765,0.9811111111111112,0.9188888888888888,0.8181818181818182
resnet,43,clean,methodology_supplement/results/predictions/smoke/resnet/seed_43/clean.npz,8836480248ee8546fa8c8172b7ad12f8fbef77ed1a2a763ee959235af6aa618b,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,9c604de59a1c0b07521073e8a8e70d7770c114e8a100ef08a04440d5be5e257c,0.9264435214120974,0.8149407107159791,0.737078017767673,0.9389711004623081,0.8586238625610645,0.7790262172284644,0.08382784575223923,0.07957066646590828,0.27043070302461264,0.8832418322563171,0.2644616133227588,1.0,0.0,0.9293456443195502,0.9262583409060096,0.8620689655172413,0.9069940476190477,0.6464145608497512,0.6153846153846154,0.9528158295281584,0.8774903001580421,0.7857142857142857,0.8830620855937312,0.7954638725896139,0.7222222222222222,0.96,0.829076479076479,0.7
resnet,17,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__electrode__snr10.npz,3b43a6cd4e53c2317c0201ae5a87529c9573168caccd4af7fe9681bbba4bdfe4,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,bbfb3cb0e392dc680f6437ee861a7ce19914b0e58f74ee554c7334558f79488c,0.9005714325113419,0.7736979593365033,0.6520114942528735,0.8920436554009837,0.7602329649995031,0.6791044776119403,0.11334777623414993,0.12453791742399337,0.3466506766750168,0.8529544472694397,0.33120388897358827,0.912,0.08002105355262756,0.9064632677639503,0.9016068452966197,0.75,0.8943452380952381,0.6416629519000209,0.5416666666666666,0.9162861491628614,0.8074917705974982,0.75,0.8324291742013261,0.7549028320629809,0.6666666666666666,0.9533333333333334,0.7628253968253967,0.5517241379310345
resnet,29,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_29/band_0p05_5__n101__electrode__snr10.npz,49d19086c6e44a9bd1b0dd675a86dca4daba64ec88ae311d01684106c5696ce9,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,bbfb3cb0e392dc680f6437ee861a7ce19914b0e58f74ee554c7334558f79488c,0.9247862641556331,0.8360564896124281,0.7217232833161538,0.9392877498891727,0.8482353366836702,0.7509293680297398,0.08609703183174133,0.10151058106683195,0.2800971612524792,0.8523414134979248,0.3420315617727293,0.934,0.08036743104457855,0.9108791649939784,0.8930139010669891,0.8316831683168316,0.9144345238095238,0.705430776677631,0.6382978723404256,0.9553526128868595,0.9007900764744274,0.7796610169491526,0.864376130198915,0.7828406231360221,0.6666666666666666,0.9788888888888889,0.8982070707070706,0.6923076923076923
resnet,43,band_0p05_5__n101__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_43/band_0p05_5__n101__electrode__snr10.npz,5b12e6c1c46e3d91c0aeb8810aee23e9a5e18ca7d604021600e271b3c5e43d9a,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,bbfb3cb0e392dc680f6437ee861a7ce19914b0e58f74ee554c7334558f79488c,0.9174749702139924,0.7934781617955912,0.7324557957906223,0.9109581811656922,0.7916015460729932,0.7675276752767528,0.10276761651039124,0.1255876827202737,0.3258468281221863,0.842134416103363,0.345517434529658,0.932,0.08280561864376068,0.9024488157366519,0.8805895804465489,0.8653846153846154,0.9092261904761905,0.6416588589170483,0.6382978723404256,0.9472349061390157,0.8804293877038076,0.8070175438596491,0.8740204942736588,0.7767909039884731,0.631578947368421,0.9544444444444444,0.7879220779220779,0.72
resnet,17,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n101__independent_rms__snr10.npz,0f75feac7a0dd02053c33b8fc1e461c59d53a7c1e82ee0420b75857f93f6ec68,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,116133b63cce38a2441d5e7001185b224476cd18f75ea688748a71d45fc586b4,0.9078143549779776,0.7912147735565652,0.6773599271602901,0.914420214899411,0.7986834404572667,0.7116104868913857,0.1007007285952568,0.10354230711609126,0.31360134653758864,0.8668903708457947,0.30398613196078034,0.934,0.057778507471084595,0.9076676033721397,0.9003048945413925,0.8080808080808081,0.8988095238095237,0.6477756162595892,0.5777777777777777,0.9269406392694064,0.845549431746661,0.7241379310344828,0.8523206751054853,0.7641214144126729,0.6842105263157895,0.9533333333333334,0.7983225108225107,0.5925925925925926
resnet,29,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_29/band_0p05_5__n101__independent_rms__snr10.npz,888122fca27e570111c3f0a4fff1fccc89f066e8c252386d13e9d25e6213d722,d88f9588b099e1dd5dddb32a3258f043ae873f62694eb9af5bcc9755ac8d2f5a,116133b63cce38a2441d5e7001185b224476cd18f75ea688748a71d45fc586b4,0.9265730376140004,0.828592150335283,0.7512314877357585,0.9443541407190054,0.8540914197400965,0.7765567765567766,0.08060004562139511,0.08604358147084713,0.264147139575571,0.8717685341835022,0.30369350093752834,0.946,0.054257385432720184,0.9124849458048977,0.8992754247171866,0.8440366972477065,0.9047619047619049,0.6235409562798127,0.5777777777777777,0.9665144596651446,0.9221421124924285,0.8275862068965517,0.8679927667269439,0.7899467026314317,0.7567567567567568,0.981111111111111,0.9080555555555555,0.75
resnet,43,band_0p05_5__n101__independent_rms__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_43/band_0p05_5__n101__independent_rms__snr10.npz,eb86a951bee7b0694805d1f72cc8c29f0f18fa04b93107543db732fb0aca0a3a,d2486cf1fdf7bdb8e580e1e920522c530883a8da5246b52e2bdfa2a2d90b6cbd,116133b63cce38a2441d5e7001185b224476cd18f75ea688748a71d45fc586b4,0.9232018081199838,0.8060230126777965,0.742751896772404,0.926051803846235,0.8327533562461803,0.7765567765567766,0.09266772866249084,0.09811741644889119,0.295636763353517,0.8542148470878601,0.31862188993621804,0.944,0.05873003229498863,0.9213167402649538,0.9207195963853265,0.8807339449541285,0.9122023809523809,0.6306083013008369,0.5882352941176471,0.943683409436834,0.8729688310479198,0.8148148148148148,0.8854731766124171,0.7974085727157261,0.7027027027027027,0.9533333333333333,0.8084097619391736,0.7272727272727273
resnet,17,band_0p05_5__n202__electrode__snr10,methodology_supplement/results/predictions/smoke/resnet/seed_17/band_0p05_5__n202__electrode__snr10.npz,02c80bd6670591c135617ab3a2cb4e08e48153c95de0cb15c538c874ae62647a,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,1245d05072c0761590e96916b3c16a73dd16295efbc0a64bcd8906b51f27073e,0.8998019710722888,0.7738970809437345,0.6673115203528219,0.8966245171096241,0.7694868516146243,0.6893939393939394,0.1113753691315651,0.12706683070585137,0.34124397458269606,0.8558846712112427,0.32568453467298747,0.912,0.0787896141409874,0.9100762745885187,0.9048068646164134,0.7446808510638298,0.8898809523809523,0.6008458230594013,0.5490196078431373,0.9330289193302892,0.8485667896825055,0.7857142857142857,0.8215792646172393,0.7583810067254322,0.6857142857142857,0.9444444444444444,0.7568849206349206,0.5714285714285714
