model,seed,case_id,n_records,old_prediction_path,old_prediction_sha256,probabilities_max_abs,fixed_threshold_label_agreement,passed,macro_auroc,macro_ap,macro_f1
resnet,17,clean,100,phase1_ecg_robustness/results/metrics/full/resnet/seed_17/clean_100_clean_all.npz,2c408c0870f4cce08c172deb1197cc05636dabcf55a05c9ca8acae92bf8777b2,2.086162567138672e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__electrode__snr0,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_0_electrode.npz,382375aadd10384a8fb072f0b08e815d5b58f793e9bf3d200832ccb25faa3985,2.384185791015625e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__electrode__snr10,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_10_electrode.npz,348252a472926e807e660ffe635dada950d522fe903c5bb0549aaf6f09d6dd7f,2.086162567138672e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__electrode__snr20,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_20_electrode.npz,941225f26108624314005d9fdf30bcb2c120871543d04aef64c8017231120339,2.384185791015625e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__independent_rms__snr0,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_0_independent_rms.npz,05c757e5954529cec32d22f85062ac7ca572a2155f9c9b5c65651e1e68e8d106,1.7881393432617188e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__independent_rms__snr10,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_10_independent_rms.npz,073ff7589f8c31f0db38b1211c5b10e0be8b7f7dc83dac081c5d11ba9ff51f16,1.7881393432617188e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n101__independent_rms__snr20,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise101_20_independent_rms.npz,4462edacc3093a9e09e3de7d344d69ee1291e7d0dd99fe1806a18bdc5fedaf9c,2.384185791015625e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n202__electrode__snr0,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise202_0_electrode.npz,0eb1d88b567c68bc19e0542a9690a595bf7a3b0b465dadaac9bc229dc5239bfe,1.7881393432617188e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n202__electrode__snr10,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise202_10_electrode.npz,99e73d89743677b42f64b7fec0ed3f92e42015904a7942fc3733ce229f06f8f2,2.384185791015625e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n202__electrode__snr20,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise202_20_electrode.npz,70a5e88ee4690a45c2444a0b7a4073593695732f51fb7a5c5424d6f36dc474be,2.086162567138672e-07,1.0,True,0.0,0.0,0.0
resnet,17,standard__n202__independent_rms__snr0,100,phase1_ecg_robustness/results/metrics/full_noise_repeats/resnet_17_noise202_0_independent_rms.npz,76cd77a3cfb0818467058edb54d527fceb7d9b956e4bf502069fb992ea306867,1.7881393432617188e-07,1.0,True,0.0,0.0,0.0
