analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,noise_seed,value,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,101,0.26019561653153506,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,202,0.2615037853103131,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,303,0.2670720869465731,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,404,0.2603474309984595,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,505,0.2638421621063899,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,8128,0.27347194438753647,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,101,0.20948894534015564,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,202,0.21806405624398031,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,303,0.21581551621021208,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,404,0.21608381604531315,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,505,0.216596755204082,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,8128,0.2167359666870907,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,101,0.29209511773828795,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,202,0.2834073075132969,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,303,0.2903228607752576,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,404,0.2920445462404438,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,505,0.28590045673693065,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,8128,0.2890659829582946,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,101,-0.1672082345097506,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,202,-0.16851640328852863,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,303,-0.1740847049247886,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,404,-0.167360048976675,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,505,-0.17085478008460542,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,8128,-0.180484562365752,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,101,-0.1257630304717236,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,202,-0.13433814137554828,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,303,-0.13208960134178005,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,404,-0.13235790117688112,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,505,-0.13287084033564997,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,8128,-0.13301005181865866,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,101,-0.21252445287896152,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,202,-0.20383664265397047,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,303,-0.21075219591593117,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,404,-0.21247388138111736,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,505,-0.20632979187760422,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,8128,-0.20949531809896818,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,101,0.21574489327026822,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,202,0.21538928206251876,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,303,0.21614292943221516,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,404,0.2202824793550244,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,505,0.2169300396462786,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,8128,0.22425718053802848,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,101,0.18745359181880486,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,202,0.1915901756724197,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,303,0.20105129042454065,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,404,0.18690493453119417,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,505,0.19260693145514232,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,8128,0.19941372188553214,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,101,0.2340051915981278,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,202,0.23190851172981117,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,303,0.2454809854122111,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,404,0.24237205736588158,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,505,0.23667380232425875,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,8128,0.23907468004595922,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,101,-0.12275751124848375,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,202,-0.12240190004073428,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,303,-0.1231555474104307,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,404,-0.12729509733323993,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,505,-0.12394265762449413,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,8128,-0.131269798516244,1
