analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,17,0.2644055043801345,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,29,0.21546417595513898,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,43,0.28880604532708526,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,17,-0.17141812235835005,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,29,-0.13173826108670694,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,43,-0.2092353804677588,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,17,0.21812446738405558,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,29,0.1931701076312723,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,0.23825253807937494,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,-0.1251370853622711,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,-0.10944419276284027,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,-0.1586818732200485,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,0.046281036996078904,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,0.022294068323866673,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,0.050553507247710315,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,0.8006493891443291,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,0.8428291758757855,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,0.8446774317439102,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,0.1155521071916779,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,0.08344005097080011,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,0.08176608966818748,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,0.8431978215698979,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,0.8781493926862595,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,0.8692388220433279,6,1
