source_id,matrix_id,family,band_id,noise_seed,condition,ecg_id,achieved_snr_0,max_snr_abs_error_db,max_scaled_noise_snr_abs_error_db,max_lead_rms_relative_error,max_scaled_lead_rms_relative_error,effective_cross_lead_correlation,active_lead_count,power_fraction_0_5,power_fraction_5_15,power_fraction_15_40,power_fraction_40_50,crop_mean_removed_rms,crop_to_long_source_power_ratio,crop_demeaning_retained_power_fraction,source_fft_df_hz,source_lowest_retained_hz
standard,standard,standard,legacy_0p5_40,8128,electrode,9,5.59390934072071e-10,1.5735093938928912e-07,1.4857264574175133e-07,2.6800944171813336e-08,7.007968423373528e-09,0.19434483325261717,12,0.11512633268876943,0.259685379608628,0.6236015174839643,0.0015867702186385115,8.476560669509804e-18,1.0,1.0,0.1,0.5
standard,standard,standard,legacy_0p5_40,8128,independent_rms,9,-4.6786526445108685e-09,1.390335242490437e-07,1.4792411207054101e-07,2.6800944171813336e-08,7.007968423373528e-09,0.029405915944354575,12,0.11344256219791768,0.2513565375321022,0.6322851404769015,0.0029157597930788265,3.1584495453635756e-18,1.0,1.0,0.1,0.5
limb_only,limb_only,limb_only,legacy_0p5_40,8128,electrode,9,4.6371055549461366e-09,6.349104353375878e-08,5.4938247728841816e-08,1.3040065530518763e-08,5.397037996116062e-09,0.3660277332347219,12,0.11233709818174346,0.2631537659977289,0.6231609067996092,0.001348229020918623,5.232594695946357e-18,1.0,1.0,0.1,0.5
limb_only,limb_only,limb_only,legacy_0p5_40,8128,independent_rms,9,-4.948565974043365e-09,5.964734128838245e-08,5.9386653816773105e-08,1.3040065530518763e-08,5.397037996116062e-09,0.029405915720933363,12,0.11258609944919176,0.25436169472847103,0.6300269602252608,0.0030252455970764284,3.1584495453635756e-18,1.0,1.0,0.1,0.5
precordial_only,precordial_only,precordial_only,legacy_0p5_40,8128,electrode,9,-4.038652130340067e-09,4.654959262495595e-08,5.506576883362868e-08,1.0339728159918186e-08,5.802919516318603e-09,0.04026783503385765,6,0.11732874714807134,0.2640022164953316,0.6170784402722189,0.0015905960843779084,4.85122153061407e-18,1.0,1.0,0.1,0.5
precordial_only,precordial_only,precordial_only,legacy_0p5_40,8128,independent_rms,9,2.6138963874860127e-10,5.006745240621058e-08,6.138093588958782e-08,1.0339728159918186e-08,5.802919516318603e-09,0.03570156069418736,6,0.11553831924066983,0.24488747947468703,0.6369349496571832,0.002639251627459884,3.1584495453635756e-18,1.0,1.0,0.1,0.5
random_00,random_00,randomized,legacy_0p5_40,8128,electrode,9,1.4840709422330823e-08,5.938992408971444e-08,6.537196739486717e-08,8.336465360673695e-09,3.923734242962684e-09,0.24848409216768796,12,0.11282736078473657,0.2609707860014444,0.6245654040878643,0.0016364491259547702,9.111948763821682e-18,1.0,1.0,0.1,0.5
random_00,random_00,randomized,legacy_0p5_40,8128,independent_rms,9,-1.5994195535715342e-09,6.242596484185015e-08,6.277331543458331e-08,8.336465360673695e-09,3.923734242962684e-09,0.02940591607463919,12,0.11339861701987292,0.25101875405831586,0.6326789127714717,0.0029037161503392963,3.1584495453635756e-18,1.0,1.0,0.1,0.5
random_01,random_01,randomized,legacy_0p5_40,8128,electrode,9,9.580614584843667e-09,7.257573031438369e-08,6.62799024553351e-08,4.895735030325575e-09,4.990012058816885e-09,0.2658271429455369,12,0.1162333913396869,0.2567854402140777,0.6262193958924835,0.0007617725537519006,6.568167990716596e-18,1.0,1.0,0.1,0.5
random_01,random_01,randomized,legacy_0p5_40,8128,independent_rms,9,4.68448392765452e-09,7.141797198073618e-08,7.133641233281196e-08,4.895735030325575e-09,4.990012058816885e-09,0.029405916064338993,12,0.11332814729925317,0.2515680686451958,0.6322351707271676,0.0028686133283834375,3.1584495453635756e-18,1.0,1.0,0.1,0.5
random_02,random_02,randomized,legacy_0p5_40,8128,electrode,9,-5.294536775299219e-09,3.80881441941483e-08,6.401575092240819e-08,7.811343560841296e-09,5.687465571329769e-09,0.2989773952046013,12,0.11381830108528977,0.26984983971239174,0.6143399509583732,0.0019919082439450774,6.078238702769965e-18,1.0,1.0,0.1,0.5
