scope,source_id,noise_seed,condition,family,band_id,n_records,achieved_snr_0,achieved_snr_0_min,achieved_snr_0_max,achieved_snr_0_n_defined,max_snr_abs_error_db,max_snr_abs_error_db_min,max_snr_abs_error_db_max,max_snr_abs_error_db_n_defined,max_scaled_noise_snr_abs_error_db,max_scaled_noise_snr_abs_error_db_min,max_scaled_noise_snr_abs_error_db_max,max_scaled_noise_snr_abs_error_db_n_defined,max_lead_rms_relative_error,max_lead_rms_relative_error_min,max_lead_rms_relative_error_max,max_lead_rms_relative_error_n_defined,max_scaled_lead_rms_relative_error,max_scaled_lead_rms_relative_error_min,max_scaled_lead_rms_relative_error_max,max_scaled_lead_rms_relative_error_n_defined,effective_cross_lead_correlation,effective_cross_lead_correlation_min,effective_cross_lead_correlation_max,effective_cross_lead_correlation_n_defined,active_lead_count,active_lead_count_min,active_lead_count_max,active_lead_count_n_defined,power_fraction_0_5,power_fraction_0_5_min,power_fraction_0_5_max,power_fraction_0_5_n_defined,power_fraction_5_15,power_fraction_5_15_min,power_fraction_5_15_max,power_fraction_5_15_n_defined,power_fraction_15_40,power_fraction_15_40_min,power_fraction_15_40_max,power_fraction_15_40_n_defined,power_fraction_40_50,power_fraction_40_50_min,power_fraction_40_50_max,power_fraction_40_50_n_defined,crop_mean_removed_rms,crop_mean_removed_rms_min,crop_mean_removed_rms_max,crop_mean_removed_rms_n_defined,crop_to_long_source_power_ratio,crop_to_long_source_power_ratio_min,crop_to_long_source_power_ratio_max,crop_to_long_source_power_ratio_n_defined,crop_demeaning_retained_power_fraction,crop_demeaning_retained_power_fraction_min,crop_demeaning_retained_power_fraction_max,crop_demeaning_retained_power_fraction_n_defined,source_fft_df_hz,source_fft_df_hz_min,source_fft_df_hz_max,source_fft_df_hz_n_defined,source_lowest_retained_hz,source_lowest_retained_hz_min,source_lowest_retained_hz_max,source_lowest_retained_hz_n_defined
source_seed_condition,standard,8128,electrode,standard,legacy_0p5_40,100,9.81422207102659e-10,-1.5081153920055724e-08,1.200880464017393e-08,100,1.437111070767827e-07,1.0606545242097809e-07,1.8211902386155998e-07,100,1.4888641281629588e-07,1.380771017522875e-07,1.5897713012691383e-07,100,2.815964308343747e-08,1.3044846014198387e-08,5.751047675572946e-08,100,6.6194152934549e-09,4.466238825599895e-09,1.0434926583685803e-08,100,0.1975703852703991,0.18465848931365553,0.20901729908624272,100,12.0,12.0,12.0,100,0.11369327545583702,0.10034564343113973,0.1375951910563339,100,0.2523306190093539,0.22235461924650235,0.2807632007040501,100,0.6313318413606714,0.5982535181379203,0.6625851019725276,100,0.0026442641741375927,0.00036543710526566053,0.00833681548288053,100,7.610358683939482e-18,3.550399960757109e-18,1.2727114331433543e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
overall,__overall__,,electrode,all,all,7200,7.375961454539396e-11,-2.3571424702021422e-08,2.6559507002597604e-08,7200,6.612243943148065e-08,2.4264751985469957e-08,2.0663453881297755e-07,7200,6.599468240479448e-08,3.929925540546719e-08,1.6385014234288064e-07,7200,1.2417640776673716e-08,3.080782169339887e-09,6.5470156984229e-08,7200,5.524510827523855e-09,1.6444169505504532e-09,1.1994309472837553e-08,7200,0.23304040625122524,0.013535862345056698,0.3966861644626575,7200,11.5,6.0,12.0,7200,0.16741123626107468,1.0784739954772123e-05,0.9953417357704408,7200,0.2732406830761063,0.00027350866724884157,0.9963984787784465,7200,0.5571714352663748,4.238923751489604e-05,0.9982443899694085,7200,0.002176645396444441,5.449150847850696e-06,0.010384297706278512,7200,0.0022287659014358766,9.678699938266252e-19,0.041952375636936524,7200,1.0001553649358292,0.7879725591463159,1.1729151290234563,7200,0.99977862951193,0.9882230321851002,1.0000000000000002,7200,0.07000000000000403,0.01,0.1,7200,2.0458333333333125,0.05,15.0,7200
source_seed_condition,standard,8128,independent_rms,standard,legacy_0p5_40,100,4.962434851088813e-10,-1.127783239767939e-08,1.1766941668949749e-08,100,1.443968715797439e-07,1.069723900570807e-07,1.965923956959159e-07,100,1.4901636930630956e-07,1.378413401198486e-07,1.6007488667924008e-07,100,2.815964308343747e-08,1.3044846014198387e-08,5.751047675572946e-08,100,6.6194152934549e-09,4.466238825599895e-09,1.0434926583685803e-08,100,0.027719003941358462,0.01937846620996385,0.036041940259613714,100,12.0,12.0,12.0,100,0.11379414026515375,0.10422796974706579,0.12503420077438598,100,0.25190405993722786,0.23701502803168903,0.269432126500631,100,0.6317040449173205,0.6115768476904767,0.6473127334820997,100,0.002597754880297832,0.001198802412006531,0.005069258690650159,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
overall,__overall__,,independent_rms,all,all,7200,-9.264164039675451e-11,-2.4392907309817946e-08,2.256245067984627e-08,7200,6.565400674427322e-08,1.644050584559409e-08,2.087432520170296e-07,7200,6.573952602950684e-08,3.56646587817977e-08,1.6255637191875394e-07,7200,1.2417640776673716e-08,3.080782169339887e-09,6.5470156984229e-08,7200,5.524510827523855e-09,1.6444169505504532e-09,1.1994309472837553e-08,7200,0.03540013128327557,0.014421168133795733,0.10815810178483119,7200,11.5,6.0,12.0,7200,0.16720037117887157,2.2248050740182524e-05,0.9935918440558204,7200,0.27343878314262965,0.0004529940283955996,0.9947708620327901,7200,0.5571555013072272,0.0001038771144339034,0.9974483663320636,7200,0.00220534437127225,1.789413834696583e-05,0.007686457464916456,7200,0.0018405026165155154,2.642859423360307e-18,0.028172294354501696,7200,0.9999923695224127,0.8861681773387009,1.11330906574216,7200,0.9997728477500774,0.9920044993767342,1.0,7200,0.07000000000000403,0.01,0.1,7200,2.0458333333333125,0.05,15.0,7200
source_seed_condition,limb_only,8128,electrode,limb_only,legacy_0p5_40,100,-3.34344108293099e-10,-1.7329832021094707e-08,1.668275231301617e-08,100,5.80280728890159e-08,3.59352991807782e-08,8.649743676869548e-08,100,5.764183969247938e-08,4.337685588495788e-08,7.146846847660981e-08,100,1.4074856696103145e-08,6.328990588400847e-09,3.38587456733527e-08,100,5.2659602540800315e-09,3.1034875395775946e-09,9.76226834615784e-09,100,0.36811520480867604,0.35446314075347596,0.3943952998582114,100,12.0,12.0,12.0,100,0.1135792320949733,0.09501789350123988,0.14097278427469115,100,0.25245378876808644,0.2139992684581262,0.2847202436937934,100,0.6313526186764513,0.5948017608483099,0.6670199908127561,100,0.0026143604604892384,0.00019723273355067342,0.00927318164306453,100,6.105984788461767e-18,2.4289961274084988e-18,1.203555498185307e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,limb_only,8128,independent_rms,limb_only,legacy_0p5_40,100,2.9866629186712126e-10,-1.8542779989265553e-08,1.2174757682085967e-08,100,5.906749660056221e-08,3.345421006883953e-08,7.741818031092862e-08,100,5.874902011981931e-08,4.5661703751420646e-08,7.502202592490903e-08,100,1.4074856696103145e-08,6.328990588400847e-09,3.38587456733527e-08,100,5.2659602540800315e-09,3.1034875395775946e-09,9.76226834615784e-09,100,0.02771900390469029,0.01937846557894875,0.03604193969451355,100,12.0,12.0,12.0,100,0.1137549713181774,0.1031533717084934,0.1244155540273948,100,0.2522704740000501,0.23419807057698339,0.2687312979386972,100,0.6314012034959693,0.611554736510907,0.6492697034232627,100,0.002573351185802994,0.0007878781704938692,0.006186077676352596,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,precordial_only,8128,electrode,precordial_only,legacy_0p5_40,100,6.945157154847434e-12,-1.9824370233648425e-08,2.6559507002597604e-08,100,5.85760836280258e-08,3.0725839650358466e-08,9.057680827595505e-08,100,5.769790114129592e-08,4.331713832073092e-08,7.538613644442194e-08,100,7.918090366694404e-09,3.080782169339887e-09,1.5819760585248718e-08,100,4.589941539702942e-09,2.133320395251276e-09,8.434101039789097e-09,100,0.028530993464136754,0.013535862345056698,0.04118343771025855,100,6.0,6.0,6.0,100,0.11331750018121728,0.09898661882252567,0.12706459297237743,100,0.2524102108435693,0.2250520168147225,0.2702560126566887,100,0.6315546947504953,0.6071432336410323,0.657275334045799,100,0.0027175942247180894,0.000804106592378489,0.0059717169366112,100,3.869848224565109e-18,1.500513412242058e-18,7.454219611166888e-18,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,precordial_only,8128,independent_rms,precordial_only,legacy_0p5_40,100,-7.045985019896681e-10,-1.776321235824431e-08,1.8259843339624377e-08,100,5.5796670572760834e-08,1.644050584559409e-08,8.825448638560829e-08,100,5.66292045256489e-08,3.9635150272943065e-08,7.120721967623922e-08,100,7.918090366694404e-09,3.080782169339887e-09,1.5819760585248718e-08,100,4.589941539702942e-09,2.133320395251276e-09,8.434101039789097e-09,100,0.027607671996010462,0.015734379171191994,0.050906546443853354,100,6.0,6.0,6.0,100,0.11382155537781256,0.09668552006030345,0.12994154790965468,100,0.25123618520247404,0.23065198382238675,0.27527055442553267,100,0.6322912794943293,0.6115261523158042,0.6532216281993247,100,0.0026509799253840475,0.0009277810059959152,0.00648919526894405,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_00,8128,electrode,randomized,legacy_0p5_40,100,4.0435755988016024e-11,-1.2383947827635645e-08,1.6880761528268288e-08,100,6.039807018964893e-08,3.3751327066511294e-08,7.825338776967783e-08,100,5.882725787387244e-08,4.1317676391372515e-08,7.25681381652521e-08,100,1.0757442837867722e-08,6.007699646759961e-09,2.7550374209940817e-08,100,5.458060231820149e-09,3.2110316716746305e-09,9.068338157549707e-09,100,0.25043109697669513,0.2381726113482243,0.2648021304061293,100,12.0,12.0,12.0,100,0.11349409856273639,0.09988524897196166,0.1322678491188613,100,0.2521381746963681,0.22179052244606304,0.27497504542032253,100,0.6317171049460745,0.6032309717064952,0.6642939568056582,100,0.0026506217948210026,0.00042841426827199897,0.008440458784467862,100,7.354043237692513e-18,3.8400451581805236e-18,1.2669520891110436e-17,100,1.0,1.0,1.0,100,1.0,1.0,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
source_seed_condition,random_00,8128,independent_rms,randomized,legacy_0p5_40,100,5.919282077354946e-10,-1.0945880988690955e-08,1.268054936550074e-08,100,5.7813387215333024e-08,3.650361435347804e-08,7.351794195642469e-08,100,5.742050369406115e-08,4.526799557424965e-08,6.672872210344849e-08,100,1.0757442837867722e-08,6.007699646759961e-09,2.7550374209940817e-08,100,5.458060231820149e-09,3.2110316716746305e-09,9.068338157549707e-09,100,0.027719003954277514,0.019378466112227363,0.03604193998451081,100,12.0,12.0,12.0,100,0.11379602619279704,0.10393050152768873,0.1253085608210869,100,0.2518928919036973,0.23744307300173945,0.269664804393965,100,0.6317149558925425,0.6113840769248889,0.6468294521034293,100,0.00259612601096276,0.0011830487873789647,0.004978576701434021,100,5.427737696290924e-18,2.732291720472657e-18,8.882709334673362e-18,100,1.0,1.0,1.0,100,1.0,0.9999999999999999,1.0,100,0.09999999999999981,0.1,0.1,100,0.5,0.5,0.5,100
