architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,17,LA,20001,heldout,absolute macro-AUROC,fraction,0.8914957894419338,0.8913485128367702,0.8995155743466997,0.8985765259093981,0.0001472766051635599,0.0009390484373016372,-0.0007917718321380773
resnet,5,17,LA,20002,heldout,absolute macro-AUROC,fraction,0.8898893909407036,0.8915816845132462,0.8982582486691028,0.8988285950870566,-0.0016922935725425248,-0.0005703464179538376,-0.0011219471545886872
resnet,5,17,LA,20003,heldout,absolute macro-AUROC,fraction,0.891831481033275,0.8902185655691118,0.8987502355287971,0.8991359403356881,0.0016129154641632004,-0.0003857048068910407,0.001998620271054241
resnet,5,17,LA,20004,heldout,absolute macro-AUROC,fraction,0.89145846032677,0.8885638268388438,0.8975754678010182,0.8982763750877514,0.0028946334879261792,-0.0007009072867332211,0.0035955407746594004
resnet,5,17,LA,20005,heldout,absolute macro-AUROC,fraction,0.8917715630290253,0.8912049992937829,0.8975898197577393,0.8992449709241951,0.0005665637352423314,-0.0016551511664557594,0.002221714901698091
resnet,5,17,LA_V3_V6,20001,heldout,absolute macro-AUROC,fraction,0.8942674099997177,0.8942463329612901,0.8996501662336568,0.8984229135615796,2.1077038427574912e-05,0.0012272526720772392,-0.0012061756336496643
resnet,5,17,LA_V3_V6,20002,heldout,absolute macro-AUROC,fraction,0.8936203520500114,0.8953824906028727,0.8984980908644395,0.8995997580796182,-0.0017621385528612254,-0.001101667215178681,-0.0006604713376825444
resnet,5,17,LA_V3_V6,20003,heldout,absolute macro-AUROC,fraction,0.8944675616890942,0.8947672843365282,0.8989543659421366,0.8999469333366552,-0.00029972264743394206,-0.0009925673945185842,0.0006928447470846422
resnet,5,17,LA_V3_V6,20004,heldout,absolute macro-AUROC,fraction,0.8934788497380104,0.8929979350712347,0.896571700897329,0.897171566674729,0.00048091466677568917,-0.0005998657774000105,0.0010807804441756996
resnet,5,17,LA_V3_V6,20005,heldout,absolute macro-AUROC,fraction,0.8949332881417853,0.895391469425719,0.8981018267157955,0.9002233220149378,-0.0004581812839337118,-0.0021214952991422953,0.0016633140152085835
resnet,5,17,LA_V6,20001,heldout,absolute macro-AUROC,fraction,0.8928734461114949,0.8937284766058327,0.8994187931945842,0.8994211141908737,-0.0008550304943377718,-2.3209962894954472e-06,-0.0008527094980482763
resnet,5,17,LA_V6,20002,heldout,absolute macro-AUROC,fraction,0.8916669626135526,0.8934528544282376,0.898497440661213,0.8991759860240383,-0.0017858918146850256,-0.0006785453628253002,-0.0011073464518597254
resnet,5,17,LA_V6,20003,heldout,absolute macro-AUROC,fraction,0.8938324592442809,0.8936750128725336,0.8987484860935911,0.8995251719300654,0.00015744637174730514,-0.0007766858364742779,0.000934132208221583
resnet,5,17,LA_V6,20004,heldout,absolute macro-AUROC,fraction,0.8929155234693418,0.8913816352579449,0.8968324081033054,0.8974750981679487,0.0015338882113968832,-0.0006426900646432365,0.0021765782760401198
resnet,5,17,LA_V6,20005,heldout,absolute macro-AUROC,fraction,0.8927962104151757,0.8931814240149478,0.8975384316507077,0.899944970937584,-0.00038521359977217173,-0.002406539286876286,0.002021325687104114
