architecture,snr_db,train_seed,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,17,fraction,0.8918722092237071,0.8900920945196273,0.8979185184216361,0.8986880608168386,0.0017801147040801312,-0.0007695423952022451,0.0025496570992823765
resnet,5,29,fraction,0.8929510422968869,0.8880882788202521,0.8954223613549911,0.8952044858992534,0.004862763476634415,0.00021787545573750177,0.004644888020896913
resnet,5,43,fraction,0.8970782183398304,0.8929363944042751,0.9002595024037358,0.8984300508777747,0.004141823935555393,0.0018294515259610366,0.0023123724095943567
resnet,5,101,fraction,0.8950398345972417,0.8935908959152796,0.899012318583513,0.8984176591473992,0.0014489386819619642,0.0005946594361138957,0.0008542792458480686
resnet,5,202,fraction,0.8932397200200779,0.8902581760849422,0.8991565224456957,0.8967350776141579,0.002981543935136164,0.0024214448315380064,0.0005600991035981573
resnet,15,17,fraction,0.9085974575784982,0.9074598891928776,0.908805949851394,0.9083495456124828,0.001137568385620651,0.0004564042389110812,0.0006811641467095697
resnet,15,29,fraction,0.9067412918071023,0.9062475284847943,0.9069596772715595,0.9070271593917596,0.0004937633223081383,-6.748212020023514e-05,0.0005612454425083735
resnet,15,43,fraction,0.909344504323513,0.9078368026132699,0.9093009515022742,0.9082445527954691,0.0015077017102434742,0.0010563987068046665,0.0004513030034388077
resnet,15,101,fraction,0.9074912315467927,0.9075787921633455,0.9076651440583882,0.9078342242468849,-8.756061655249559e-05,-0.0001690801884967752,8.15195719442796e-05
resnet,15,202,fraction,0.9079770809138863,0.9058096986355286,0.908494619935968,0.9062758598105062,0.0021673822783576124,0.0022187601254620225,-5.137784710441018e-05
tcn,5,17,fraction,0.9084074593760388,0.9077207625713625,0.9101008915090444,0.9109720711506116,0.0006866968046763188,-0.0008711796415670947,0.0015578764462434137
tcn,5,29,fraction,0.9112342110477201,0.9096831016320392,0.9146352390955924,0.9157672781654028,0.001551109415680616,-0.0011320390698106087,0.0026831484854912247
tcn,5,43,fraction,0.9075230210777832,0.9060382714129588,0.9112799927210851,0.9118078364849426,0.001484749664824061,-0.000527843763857403,0.002012593428681464
tcn,5,101,fraction,0.905695351388008,0.903993100527506,0.9092497230051946,0.9102370217042993,0.0017022508605018683,-0.0009872986991043998,0.002689549559606268
tcn,5,202,fraction,0.9093479499040699,0.9068078509153752,0.9125929007256108,0.9131307263967323,0.00254009898869487,-0.0005378256711215657,0.0030779246598164355
tcn,15,17,fraction,0.9158698366795133,0.9159685722249421,0.9159263734650138,0.9161260508493121,-9.873554542887631e-05,-0.00019967738429841565,0.00010094183886953934
tcn,15,29,fraction,0.9203702061304325,0.9211934214229593,0.9206986908674566,0.9216248674374414,-0.0008232152925269176,-0.0009261765699843582,0.00010296127745744065
tcn,15,43,fraction,0.9157366810722977,0.9161441679780132,0.9161404085907618,0.9166279406780029,-0.00040748690571565274,-0.0004875320872408384,8.00451815251857e-05
tcn,15,101,fraction,0.9135605701258551,0.9143252921765098,0.9136971764251319,0.9143853784986794,-0.0007647220506547936,-0.0006882020735475524,-7.651997710724112e-05
tcn,15,202,fraction,0.9165918986283255,0.9170727297727516,0.9168238222104539,0.9172924845702235,-0.0004808311444259883,-0.00046866235976956495,-1.2168784656423348e-05
