model,strategy,group_id,kind,combo_set,combo_id,condition,snr,seed,outcome,n_cases,n_noise_seeds,metric,value,recomputed_value,absolute_error,passed
resnet,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,17,absolute,50,5,macro_auroc,0.908805949851394,0.9088059498513938,1.1102230246251565e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,17,absolute,50,5,macro_auroc,0.8979185184216363,0.8979185184216361,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,17,absolute,50,5,macro_auroc,0.9085974575784981,0.9085974575784981,0.0,True
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,absolute,100,5,macro_auroc,0.9002348334011026,0.9002348334011028,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,17,absolute,50,5,macro_auroc,0.891872209223707,0.8918722092237071,1.1102230246251565e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,29,absolute,50,5,macro_auroc,0.9069596772715596,0.9069596772715598,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,29,absolute,50,5,macro_auroc,0.895422361354991,0.895422361354991,0.0,True
resnet,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,29,absolute,50,5,macro_auroc,0.9067412918071023,0.9067412918071023,0.0,True
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,absolute,100,5,macro_auroc,0.8998461670519943,0.8998461670519943,0.0,True
resnet,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,29,absolute,50,5,macro_auroc,0.8929510422968865,0.8929510422968865,0.0,True
resnet,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,43,absolute,50,5,macro_auroc,0.9093009515022742,0.909300951502274,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,43,absolute,50,5,macro_auroc,0.9002595024037359,0.9002595024037359,0.0,True
resnet,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,43,absolute,50,5,macro_auroc,0.9093445043235131,0.9093445043235132,1.1102230246251565e-16,True
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,absolute,100,5,macro_auroc,0.903211361331672,0.903211361331672,0.0,True
resnet,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,43,absolute,50,5,macro_auroc,0.8970782183398307,0.8970782183398305,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,101,absolute,50,5,macro_auroc,0.9076651440583884,0.9076651440583884,0.0,True
resnet,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,101,absolute,50,5,macro_auroc,0.8990123185835133,0.899012318583513,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,101,absolute,50,5,macro_auroc,0.9074912315467927,0.9074912315467927,0.0,True
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,absolute,100,5,macro_auroc,0.9012655330720171,0.9012655330720172,1.1102230246251565e-16,True
resnet,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,101,absolute,50,5,macro_auroc,0.8950398345972416,0.8950398345972418,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,202,absolute,50,5,macro_auroc,0.9084946199359684,0.9084946199359685,1.1102230246251565e-16,True
resnet,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,202,absolute,50,5,macro_auroc,0.8991565224456959,0.8991565224456957,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,202,absolute,50,5,macro_auroc,0.9079770809138862,0.9079770809138863,1.1102230246251565e-16,True
resnet,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,absolute,100,5,macro_auroc,0.900608400466982,0.9006084004669822,2.220446049250313e-16,True
resnet,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,202,absolute,50,5,macro_auroc,0.8932397200200782,0.8932397200200782,0.0,True
resnet,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,17,absolute,50,5,macro_auroc,0.9083495456124829,0.9083495456124828,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,17,absolute,50,5,macro_auroc,0.8986880608168384,0.8986880608168384,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,17,absolute,50,5,macro_auroc,0.9074598891928776,0.9074598891928776,0.0,True
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,absolute,100,5,macro_auroc,0.8987759918562523,0.8987759918562523,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,17,absolute,50,5,macro_auroc,0.890092094519627,0.890092094519627,0.0,True
resnet,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,29,absolute,50,5,macro_auroc,0.9070271593917599,0.90702715939176,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,29,absolute,50,5,macro_auroc,0.8952044858992535,0.8952044858992535,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,29,absolute,50,5,macro_auroc,0.9062475284847941,0.9062475284847942,1.1102230246251565e-16,True
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,absolute,100,5,macro_auroc,0.8971679036525231,0.8971679036525231,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,29,absolute,50,5,macro_auroc,0.888088278820252,0.888088278820252,0.0,True
resnet,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,43,absolute,50,5,macro_auroc,0.9082445527954693,0.9082445527954693,0.0,True
resnet,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,43,absolute,50,5,macro_auroc,0.8984300508777748,0.8984300508777747,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,43,absolute,50,5,macro_auroc,0.9078368026132696,0.9078368026132698,2.220446049250313e-16,True
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,absolute,100,5,macro_auroc,0.9003865985087723,0.9003865985087723,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,43,absolute,50,5,macro_auroc,0.8929363944042751,0.8929363944042751,0.0,True
resnet,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,101,absolute,50,5,macro_auroc,0.907834224246885,0.9078342242468851,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,101,absolute,50,5,macro_auroc,0.8984176591473991,0.8984176591473991,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,101,absolute,50,5,macro_auroc,0.9075787921633451,0.907578792163345,1.1102230246251565e-16,True
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,absolute,100,5,macro_auroc,0.9005848440393126,0.9005848440393126,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,101,absolute,50,5,macro_auroc,0.8935908959152796,0.8935908959152797,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,202,absolute,50,5,macro_auroc,0.9062758598105064,0.9062758598105063,1.1102230246251565e-16,True
resnet,independent_rms,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,202,absolute,50,5,macro_auroc,0.8967350776141579,0.8967350776141579,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,202,absolute,50,5,macro_auroc,0.9058096986355285,0.9058096986355285,0.0,True
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,absolute,100,5,macro_auroc,0.8980339373602352,0.8980339373602352,0.0,True
resnet,independent_rms,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,202,absolute,50,5,macro_auroc,0.890258176084942,0.8902581760849421,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,17,absolute,50,5,macro_auroc,0.9159263734650139,0.9159263734650138,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,17,absolute,50,5,macro_auroc,0.9101008915090447,0.9101008915090446,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,17,absolute,50,5,macro_auroc,0.9158698366795136,0.9158698366795133,3.3306690738754696e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,absolute,100,5,macro_auroc,0.9121386480277762,0.9121386480277762,0.0,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,17,absolute,50,5,macro_auroc,0.908407459376039,0.908407459376039,0.0,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,29,absolute,50,5,macro_auroc,0.9206986908674567,0.9206986908674567,0.0,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,29,absolute,50,5,macro_auroc,0.9146352390955922,0.9146352390955923,1.1102230246251565e-16,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,29,absolute,50,5,macro_auroc,0.9203702061304325,0.9203702061304326,1.1102230246251565e-16,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,absolute,100,5,macro_auroc,0.9158022085890762,0.9158022085890762,0.0,True
tcn,electrode,bandpass__heldout__electrode__s5,bandpass,heldout,aggregate,electrode,5,29,absolute,50,5,macro_auroc,0.91123421104772,0.9112342110477197,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s15,bandpass,heldout,aggregate,independent_rms,15,43,absolute,50,5,macro_auroc,0.9161404085907623,0.9161404085907621,2.220446049250313e-16,True
tcn,electrode,bandpass__heldout__independent_rms__s5,bandpass,heldout,aggregate,independent_rms,5,43,absolute,50,5,macro_auroc,0.911279992721085,0.911279992721085,0.0,True
tcn,electrode,bandpass__heldout__electrode__s15,bandpass,heldout,aggregate,electrode,15,43,absolute,50,5,macro_auroc,0.9157366810722976,0.9157366810722976,0.0,True
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,absolute,100,5,macro_auroc,0.9116298510750402,0.9116298510750401,1.1102230246251565e-16,True
