architecture,snr_db,train_seed,train_strategy,test_structure,combo_id,noise_seed,case_id,prediction_path,prediction_sha256,checkpoint_path,checkpoint_sha256,clean_input_sha256,noisy_input_sha256,config_sha256,matrix_sha256,record_identity_path,diagnostics_path,cohort_path,patient_draws_path,n_records,n_patients,class_order,unit,recomputed_macro_auroc,original_macro_auroc,absolute_error,passed
resnet,15,17,electrode,electrode,LA_V3_V6,20001,bandpass_n20001_cLA_V3_V6_electrode_s15,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V3_V6_electrode_s15.npz,2303f48d4f1e518df3c99a15e7dbb65933447cb9fcb70bf505350618aa20388a,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,a3b3e3045e1d44c8acb0e618df0cc6ac0b586b13a161c87f56d3b667ec2b0bb6,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V3_V6_electrode_s15.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.9100533023155719,0.9100533023155719,0.0,True
resnet,5,17,electrode,electrode,LA_V3_V6,20001,bandpass_n20001_cLA_V3_V6_electrode_s5,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V3_V6_electrode_s5.npz,5f8a73257829fd633a74822c445b26e27f286d0ffa80c3bfd00b4251992c6fa0,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,7c8d847c152e6d4b77fdb2e4c2773e8c4c26212062ac872529d6f7ecee436a13,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V3_V6_electrode_s5.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.8942674099997177,0.8942674099997177,0.0,True
resnet,15,17,electrode,independent_rms,LA_V3_V6,20001,bandpass_n20001_cLA_V3_V6_independent_rms_s15,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V3_V6_independent_rms_s15.npz,1fc4f956526d6e66a5a8397119e1a3f9afafa4d15b7c68ff93dbb93af3bd2d6e,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,01e8eadd19e97ae06899f14d2f6388a558070ba929d35a9c8c0d823b440cbee4,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V3_V6_independent_rms_s15.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.9086275132551638,0.9086275132551638,0.0,True
resnet,5,17,electrode,independent_rms,LA_V3_V6,20001,bandpass_n20001_cLA_V3_V6_independent_rms_s5,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V3_V6_independent_rms_s5.npz,e14858cc79a2506331d9dd6cf377c904d1b8e33a2f42d3d99679f2e864780024,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,0cad877c704b72d5dbf6bcbf43ea2a9b0f1a32285af0c32b52982b8520b027f8,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V3_V6_independent_rms_s5.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.8996501662336568,0.8996501662336568,0.0,True
resnet,15,17,electrode,electrode,LA_V6,20001,bandpass_n20001_cLA_V6_electrode_s15,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V6_electrode_s15.npz,3c342a3992b3c0624ced941b23a63c0c24b1a9fdd0f4dafe9cfd9d8aa5c9e1b5,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,ee064181053c5d75ba6c5d8a78216702a986e78e12107a7d339241959fb8109d,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V6_electrode_s15.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.9100218576426787,0.9100218576426787,0.0,True
resnet,5,17,electrode,electrode,LA_V6,20001,bandpass_n20001_cLA_V6_electrode_s5,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V6_electrode_s5.npz,87dd10d73bbbb6d1f882bb7d0d5acd218ba206dc533b679a48a7f5a7d0af43dd,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,7073f0277fd8d28100e44c13f84bb735e076034b227bad135d69de305ed0bbc2,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V6_electrode_s5.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.8928734461114949,0.8928734461114949,0.0,True
resnet,15,17,electrode,independent_rms,LA_V6,20001,bandpass_n20001_cLA_V6_independent_rms_s15,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V6_independent_rms_s15.npz,1f3a2d920d0ecb25a24ff0e2c7196b3af0d4725da6f7b668633fdb2c187fe9f3,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,40a030aac5d241b9bf98eda00f7879647cf771f4c47d9659787fa0a2d3dbab9c,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V6_independent_rms_s15.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.9087510835481872,0.9087510835481872,0.0,True
resnet,5,17,electrode,independent_rms,LA_V6,20001,bandpass_n20001_cLA_V6_independent_rms_s5,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_V6_independent_rms_s5.npz,9af42f59cf8bdcf061ac086726c0ba0ccf6743c135cdd2290cca8714cfc85407,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,8fbee5ed1a07ec1c98f117322d29f2a997eb3e0306c655b28c15e4a827e4ff3c,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_V6_independent_rms_s5.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.8994187931945842,0.8994187931945842,0.0,True
resnet,15,17,electrode,electrode,LA,20001,bandpass_n20001_cLA_electrode_s15,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_electrode_s15.npz,780963198b109d1e3a46767fcb684477c559221be7dc4d4e4469aa4301789b4e,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,135c5b29489e5a523378c28cd046cb5859aab2f71a5c172d911d9ead044b15f6,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_electrode_s15.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.9097479776570665,0.9097479776570665,0.0,True
resnet,5,17,electrode,electrode,LA,20001,bandpass_n20001_cLA_electrode_s5,phase2/results/predictions/full/electrode/resnet/seed_17/bandpass_n20001_cLA_electrode_s5.npz,ceb6e4d79112c5f7a2677be57624f554444f037719a17393f3ab54f5c4190c8d,phase2/results/checkpoints/full/electrode/resnet/seed_17/best.pt,378032a6627c7bd70fc8bddcd8e5c8f47c1c897410ba9ea567349bdbbd6f2da8,3f667437db6e65e4f2852bcbf00ca26043dcee6236fb9a13ef612457494e63d4,8f76632d9a1317a3f46c07eeda9e4bed9886c9caeed239def5a9bbcb9f4a3b81,980993c490b41e9793164c1d9bbfa54f728606fff281e07486e7af2fc41ddda7,4f852acd9c5a4f7b35a207f5078d70f842de3077d648716950a66502951bfe9d,overnight_supplements_v2/did/record_input_identity.parquet,phase2/results/test_inputs/full/diagnostics/bandpass_n20001_cLA_electrode_s5.npz,phase2/results/tables/full/patient_bootstrap/cohort.npz,phase2/results/tables/full/patient_bootstrap/patient_draws.npy,2158,1877,"[""NORM"", ""MI"", ""STTC"", ""CD"", ""HYP""]",fraction,0.8914957894419338,0.8914957894419338,0.0,True
