model,condition,mode,snr_db,macro_auroc,seed_sd,n_train_seeds,n_noise_bases,unit
resnet,E,,0.0,0.8150564958682706,0.016392509753884902,3,6,fraction
resnet,E,,5.0,0.8753797867149392,0.0097618020469435,3,6,fraction
resnet,E,,10.0,0.896304160999223,0.004682443220830467,3,6,fraction
resnet,I,,0.0,0.8341864595836661,0.013597836398764693,3,6,fraction
resnet,I,,5.0,0.8826874399359564,0.007082526998615311,3,6,fraction
resnet,I,,10.0,0.898710535728401,0.0034568723030563523,3,6,fraction
resnet,S_00,S_00,0.0,0.8359065587502981,0.015587305394011226,3,6,fraction
resnet,S_00,S_00,5.0,0.8832923226876409,0.007289293649669004,3,6,fraction
resnet,S_00,S_00,10.0,0.8986827148569313,0.0038116381977442893,3,6,fraction
resnet,S_01,S_01,0.0,0.8169802038573047,0.012890707371771839,3,6,fraction
resnet,S_01,S_01,5.0,0.8757624347691603,0.007389291210972895,3,6,fraction
resnet,S_01,S_01,10.0,0.8963284979145594,0.0038574636235969915,3,6,fraction
resnet,S_02,S_02,0.0,0.8202315743185457,0.01498393888853796,3,6,fraction
resnet,S_02,S_02,5.0,0.877254915846791,0.009363564014672277,3,6,fraction
resnet,S_02,S_02,10.0,0.8968304220583732,0.004667406454020948,3,6,fraction
resnet,S_03,S_03,0.0,0.8432735320155795,0.010744042349772175,3,6,fraction
resnet,S_03,S_03,5.0,0.8863322922090088,0.00501300150267308,3,6,fraction
resnet,S_03,S_03,10.0,0.9001295419391632,0.003026164551003746,3,6,fraction
resnet,S_04,S_04,0.0,0.8395322367753307,0.014850508439878741,3,6,fraction
resnet,S_04,S_04,5.0,0.8845528499449121,0.006317214099235176,3,6,fraction
resnet,S_04,S_04,10.0,0.8993579094806368,0.0031929160663354793,3,6,fraction
tcn,E,,0.0,0.8787060039611595,0.008999797295456849,3,6,fraction
tcn,E,,5.0,0.906763138684481,0.0010028591288789497,3,6,fraction
tcn,E,,10.0,0.9156772739520783,0.0022563109074679147,3,6,fraction
tcn,I,,0.0,0.8911901319541696,0.00620165883522401,3,6,fraction
tcn,I,,5.0,0.910047299817993,0.001850787951376261,3,6,fraction
tcn,I,,10.0,0.9162911587345816,0.0026548146485787347,3,6,fraction
tcn,S_00,S_00,0.0,0.8945286472857426,0.0060507283433718405,3,6,fraction
tcn,S_00,S_00,5.0,0.9107817109552737,0.0039056941227935404,3,6,fraction
tcn,S_00,S_00,10.0,0.9164262311405086,0.0032856099909414106,3,6,fraction
tcn,S_01,S_01,0.0,0.8868055428455541,0.010811733510645986,3,6,fraction
tcn,S_01,S_01,5.0,0.9085354384350115,0.001315818227696177,3,6,fraction
tcn,S_01,S_01,10.0,0.9158816731182307,0.002304247268756149,3,6,fraction
tcn,S_02,S_02,0.0,0.8842103405893885,0.009723022510579724,3,6,fraction
tcn,S_02,S_02,5.0,0.9080748151414654,0.0013313931291150352,3,6,fraction
tcn,S_02,S_02,10.0,0.9160446168779423,0.0022941113066536505,3,6,fraction
tcn,S_03,S_03,0.0,0.8980713756417759,0.005979293479009195,3,6,fraction
tcn,S_03,S_03,5.0,0.9123016117911682,0.0035148127667391804,3,6,fraction
tcn,S_03,S_03,10.0,0.9170541095865358,0.0031175511473415405,3,6,fraction
tcn,S_04,S_04,0.0,0.8958505406011131,0.005003529753723569,3,6,fraction
tcn,S_04,S_04,5.0,0.9118510258603724,0.0023293509650493815,3,6,fraction
tcn,S_04,S_04,10.0,0.9169914040321236,0.0026664361934033566,3,6,fraction
