model,train_seed,condition,mode,snr_db,macro_auroc,n_sources
resnet,17,E,,0.0,0.7982514819952993,6
resnet,17,E,,5.0,0.8641546970720132,6
resnet,17,E,,10.0,0.8909950892597833,6
resnet,17,I,,0.0,0.8200008967215409,6
resnet,17,I,,5.0,0.8746548833844495,6
resnet,17,I,,10.0,0.8948391697883827,6
resnet,17,S_00,S_00,0.0,0.8208504800664196,6
resnet,17,S_00,S_00,5.0,0.8750996982240874,6
resnet,17,S_00,S_00,10.0,0.8943724305896236,6
resnet,17,S_01,S_01,0.0,0.8068189529047074,6
resnet,17,S_01,S_01,5.0,0.8677382370399234,6
resnet,17,S_01,S_01,10.0,0.8921384895617187,6
resnet,17,S_02,S_02,0.0,0.8041181326107738,6
resnet,17,S_02,S_02,5.0,0.8665012037989023,6
resnet,17,S_02,S_02,10.0,0.8914800784691089,6
resnet,17,S_03,S_03,0.0,0.8319412542821915,6
resnet,17,S_03,S_03,5.0,0.8805822944201355,6
resnet,17,S_03,S_03,10.0,0.8967722515580268,6
resnet,17,S_04,S_04,0.0,0.8237050597235118,6
resnet,17,S_04,S_04,5.0,0.8773026392828953,6
resnet,17,S_04,S_04,10.0,0.8957251775097727,6
resnet,29,E,,0.0,0.8159152631765517,6
resnet,29,E,,5.0,0.8801030615633813,6
resnet,29,E,,10.0,0.8980723603270963,6
resnet,29,I,,0.0,0.835450132211396,6
resnet,29,I,,5.0,0.8853730360102636,6
resnet,29,I,,10.0,0.8998039833165316,6
resnet,29,S_00,S_00,0.0,0.8348935231923892,6
resnet,29,S_00,S_00,5.0,0.8857169650325997,6
resnet,29,S_00,S_00,10.0,0.9000667066150075,6
resnet,29,S_01,S_01,0.0,0.8126410591212571,6
resnet,29,S_01,S_01,5.0,0.8772624005357635,6
resnet,29,S_01,S_01,10.0,0.8971147247570843,6
resnet,29,S_02,S_02,0.0,0.8228306242531546,6
resnet,29,S_02,S_02,5.0,0.8816598722101822,6
resnet,29,S_02,S_02,10.0,0.8989443001556849,6
resnet,29,S_03,S_03,0.0,0.8445671364863293,6
resnet,29,S_03,S_03,5.0,0.8886299453346321,6
resnet,29,S_03,S_03,10.0,0.9009690668390117,6
resnet,29,S_04,S_04,0.0,0.8417306743101736,6
resnet,29,S_04,S_04,5.0,0.8874829531227876,6
resnet,29,S_04,S_04,10.0,0.9006291545367701,6
resnet,43,E,,0.0,0.8310027424329607,6
resnet,43,E,,5.0,0.8818816015094232,6
resnet,43,E,,10.0,0.8998450334107896,6
resnet,43,I,,0.0,0.8471083498180613,6
resnet,43,I,,5.0,0.8880344004131565,6
resnet,43,I,,10.0,0.9014884540802887,6
resnet,43,S_00,S_00,0.0,0.8519756729920854,6
resnet,43,S_00,S_00,5.0,0.8890603048062355,6
resnet,43,S_00,S_00,10.0,0.9016090073661626,6
resnet,43,S_01,S_01,0.0,0.8314805995459497,6
resnet,43,S_01,S_01,5.0,0.882286666731794,6
resnet,43,S_01,S_01,10.0,0.8997322794248751,6
resnet,43,S_02,S_02,0.0,0.8337459660917085,6
resnet,43,S_02,S_02,5.0,0.8836036715312888,6
resnet,43,S_02,S_02,10.0,0.9000668875503255,6
resnet,43,S_03,S_03,0.0,0.8533122052782178,6
resnet,43,S_03,S_03,5.0,0.8897846368722587,6
resnet,43,S_03,S_03,10.0,0.9026473074204513,6
resnet,43,S_04,S_04,0.0,0.853160976292307,6
resnet,43,S_04,S_04,5.0,0.8888729574290535,6
resnet,43,S_04,S_04,10.0,0.9017193963953676,6
tcn,17,E,,0.0,0.8829147178492475,6
tcn,17,E,,5.0,0.9064809476719721,6
tcn,17,E,,10.0,0.9137541956329859,6
tcn,17,I,,0.0,0.8911948546241139,6
tcn,17,I,,5.0,0.9079154531384077,6
tcn,17,I,,10.0,0.9139190743156407,6
tcn,17,S_00,S_00,0.0,0.8886881709794329,6
tcn,17,S_00,S_00,5.0,0.9063050699295562,6
tcn,17,S_00,S_00,10.0,0.9132044147246662,6
tcn,17,S_01,S_01,0.0,0.8913510469617548,6
tcn,17,S_01,S_01,5.0,0.9081222662206891,6
tcn,17,S_01,S_01,10.0,0.9138650566933144,6
tcn,17,S_02,S_02,0.0,0.8877118256942064,6
tcn,17,S_02,S_02,5.0,0.9075239584424658,6
tcn,17,S_02,S_02,10.0,0.9140452919915226,6
tcn,17,S_03,S_03,0.0,0.8930734326323465,6
tcn,17,S_03,S_03,5.0,0.9082954020684469,6
tcn,17,S_03,S_03,10.0,0.9141410236139151,6
tcn,17,S_04,S_04,0.0,0.8931783371673387,6
tcn,17,S_04,S_04,5.0,0.9091715034001989,6
tcn,17,S_04,S_04,10.0,0.9146118493202883,6
tcn,29,E,,0.0,0.8683729535050521,6
tcn,29,E,,5.0,0.90593160753743,6
tcn,29,E,,10.0,0.9181610700692818,6
tcn,29,I,,0.0,0.8849861131326215,6
tcn,29,I,,5.0,0.9109834605205761,6
tcn,29,I,,10.0,0.9191588526471022,6
tcn,29,S_00,S_00,0.0,0.8941280510750876,6
tcn,29,S_00,S_00,5.0,0.9134935401016034,6
tcn,29,S_00,S_00,10.0,0.9197721198236889,6
tcn,29,S_01,S_01,0.0,0.8744631643915826,6
tcn,29,S_01,S_01,5.0,0.907475792277017,6
tcn,29,S_01,S_01,10.0,0.9183931443696299,6
tcn,29,S_02,S_02,0.0,0.8732215317735891,6
tcn,29,S_02,S_02,5.0,0.9071072530094528,6
tcn,29,S_02,S_02,10.0,0.9185492616088298,6
tcn,29,S_03,S_03,0.0,0.8964451350593375,6
tcn,29,S_03,S_03,5.0,0.9148674079785798,6
tcn,29,S_03,S_03,10.0,0.9203422018469256,6
tcn,29,S_04,S_04,0.0,0.8927504495130391,6
tcn,29,S_04,S_04,5.0,0.9133932604404246,6
tcn,29,S_04,S_04,10.0,0.9198732722554382,6
tcn,43,E,,0.0,0.8848303405291787,6
tcn,43,E,,5.0,0.907876860844041,6
tcn,43,E,,10.0,0.915116556153967,6
tcn,43,I,,0.0,0.8973894281057734,6
tcn,43,I,,5.0,0.9112429857949952,6
tcn,43,I,,10.0,0.9157955492410016,6
tcn,43,S_00,S_00,0.0,0.9007697198027071,6
tcn,43,S_00,S_00,5.0,0.9125465228346612,6
tcn,43,S_00,S_00,10.0,0.9163021588731707,6
tcn,43,S_01,S_01,0.0,0.8946024171833251,6
tcn,43,S_01,S_01,5.0,0.9100082568073286,6
tcn,43,S_01,S_01,10.0,0.9153868182917476,6
