model,train_seed,case_id,condition,mode,snr_db,noise_seed,source_prediction_id,prediction_path,prediction_sha256,checkpoint_sha256,input_sha256,macro_auroc,original_macro_auroc,unit,n_records,n_patients,aggregation_weight,source_status,auroc_NORM,n_positive_NORM,n_negative_NORM,auroc_MI,n_positive_MI,n_negative_MI,auroc_STTC,n_positive_STTC,n_negative_STTC,auroc_CD,n_positive_CD,n_negative_CD,auroc_HYP,n_positive_HYP,n_negative_HYP
resnet,17,E__snr_0__noise_101,E,,0.0,101.0,e4be91965cfcb2a30b9f2971d722bba562597f137f2e74f0c3cb246e6a702530,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr0.npz,e4be91965cfcb2a30b9f2971d722bba562597f137f2e74f0c3cb246e6a702530,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,e372ac625f7d1fdca9a8dbef6073c43da2445cc0f77fffa03ae2ab075bb8f2b5,0.7985149450840853,0.7985149450840854,fraction,2158,1877,1,original_probabilities_verified,0.8659549785581147,963,1195,0.6855427408412483,550,1608,0.7759290026580621,521,1637,0.8238046368541594,496,1662,0.8413433665088415,262,1896
resnet,17,E__snr_0__noise_202,E,,0.0,202.0,5a0ae714ffe945896bf40bbfc75a258c7ed6135325040bd27358acdd94b2b527,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr0.npz,5a0ae714ffe945896bf40bbfc75a258c7ed6135325040bd27358acdd94b2b527,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,ebb2e60939c20fbdc7021b503b4154d20dc64e8743aade8ff0162325fc376218,0.7991294749440382,0.7991294749440382,fraction,2158,1877,1,original_probabilities_verified,0.8616961465434464,963,1195,0.6956399819086386,550,1608,0.7819111079323279,521,1637,0.809828810993362,496,1662,0.8465713273424164,262,1896
resnet,17,E__snr_0__noise_303,E,,0.0,303.0,f01c8de20b42636c3926d928e0e0ac8e282095d4402f46eb6e196a2ec98de86e,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr0.npz,f01c8de20b42636c3926d928e0e0ac8e282095d4402f46eb6e196a2ec98de86e,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,b857ed34aea876a9ea653fb6930a38eb9b517ecf2c81adc409178a704a80ef37,0.8000748752917957,0.8000748752917957,fraction,2158,1877,1,original_probabilities_verified,0.8702285830976246,963,1195,0.700736092265943,550,1608,0.7750425911356503,521,1637,0.8216417258646792,496,1662,0.8327253840950817,262,1896
resnet,17,E__snr_0__noise_404,E,,0.0,404.0,13ecd8476d3021aefbeb1b4a5447d520b1339b99b4465bb3bc98f42bce49bad5,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr0.npz,13ecd8476d3021aefbeb1b4a5447d520b1339b99b4465bb3bc98f42bce49bad5,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,0cbfd65142656d2a4539e8a5e14d4477612faf9c6c24ff0f5d758e573cb0c418,0.7969469424330928,0.7969469424330928,fraction,2158,1877,1,original_probabilities_verified,0.8605864692362171,963,1195,0.6929409769335142,550,1608,0.7701004951476004,521,1637,0.8222676720624199,496,1662,0.838839098785712,262,1896
resnet,17,E__snr_0__noise_505,E,,0.0,505.0,f2ac80c0b1611384c7dc48f287ffcccf0a0b26f41a0c265a852e82c1142e71d3,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n505__electrode__snr0.npz,f2ac80c0b1611384c7dc48f287ffcccf0a0b26f41a0c265a852e82c1142e71d3,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,42b6424cc834cef160a7cb3f74c5dfcc17f21eeab757205a60a26c8986fbff79,0.7957601564642574,0.7957601564642574,fraction,2158,1877,1,original_probabilities_verified,0.8667483500393209,963,1195,0.6773009950248756,550,1608,0.7727268996584502,521,1637,0.8191391541477427,496,1662,0.842885383450897,262,1896
resnet,17,E__snr_0__noise_8128,E,,0.0,8128.0,4979fdb0a07d7abeda7d5534c4a9959f6b5743c95ec8f6cac7cfeba04fee92e2,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__electrode__snr0.npz,4979fdb0a07d7abeda7d5534c4a9959f6b5743c95ec8f6cac7cfeba04fee92e2,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,b7f3d1fc39ef41f0c7e5fde19c9fdb33643f418220b5beae2b4a25b68357b149,0.7990824977545261,0.7990824977545261,fraction,2158,1877,1,original_probabilities_verified,0.8666119214275473,963,1195,0.6923846675712347,550,1608,0.7823003786009003,521,1637,0.8163272485540157,496,1662,0.8377882726189326,262,1896
resnet,17,E__snr_10__noise_101,E,,10.0,101.0,c440664ee314ec752ac7229cee85915998bc97bf2ad37a09b645bbf1ee6b7db3,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr10.npz,c440664ee314ec752ac7229cee85915998bc97bf2ad37a09b645bbf1ee6b7db3,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,e1c5a093c971f8dd322ef87c4a61793f2d978a2d00dc936ce1086c33dc58d528,0.8914425509793175,0.8914425509793175,fraction,2158,1877,1,original_probabilities_verified,0.9256255512541439,963,1195,0.8670171867933062,550,1608,0.8996150675888785,521,1637,0.8898079946430651,496,1662,0.8751469546171933,262,1896
resnet,17,E__snr_10__noise_202,E,,10.0,202.0,bad4ff9052b75e87e847cea908c19b7f70b2296a4a20b2611f9cb6bc77abfe03,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr10.npz,bad4ff9052b75e87e847cea908c19b7f70b2296a4a20b2611f9cb6bc77abfe03,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,3d70887ac00be71d38641e553b5714375d65d43e8ab541234506fbea4dc34e40,0.8917487241838689,0.8917487241838687,fraction,2158,1877,1,original_probabilities_verified,0.9238345998600955,963,1195,0.8698394391677974,550,1608,0.9008110196429262,521,1637,0.8875977737665464,496,1662,0.8766607884819789,262,1896
resnet,17,E__snr_10__noise_303,E,,10.0,303.0,5756f174b7f1e4069d1610e8cfaefccbc7de565a5480cd1810ad0be34ddacbeb,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr10.npz,5756f174b7f1e4069d1610e8cfaefccbc7de565a5480cd1810ad0be34ddacbeb,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,d27221228a6175077197c5969fe2e636abdf77f352110f583ed6244c3f94b2e2,0.8896601076575357,0.8896601076575358,fraction,2158,1877,1,original_probabilities_verified,0.9232019882080493,963,1195,0.8651243781094528,550,1608,0.8964493121516937,521,1637,0.8892475544427623,496,1662,0.8742773053757207,262,1896
resnet,17,E__snr_10__noise_404,E,,10.0,404.0,6ff063ed929aab6be0f30fc52491c232ac7dbd17744989cd5dfc63430f4ad33d,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr10.npz,6ff063ed929aab6be0f30fc52491c232ac7dbd17744989cd5dfc63430f4ad33d,ae1af3b6f26199f28384c78976613cac3bbf3b73d74995a9807710c0bc2f274f,fc7501548d880b83095d2309ef6e16796d4f009b3847b4e6d2f1d864bc9dfca1,0.8900499221381202,0.8900499221381203,fraction,2158,1877,1,original_probabilities_verified,0.9218550815313026,963,1195,0.8652894617819991,550,1608,0.898290140313316,521,1637,0.8910429040021738,496,1662,0.8737720230618096,262,1896
