condition,mode,snr_db,noise_seed,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd,class_name,true_label,stratum
E,,0,101,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8145232170751177e-05,-1.3893036879269125e-05,-7.3189388417777915e-06,-4.687069167519237e-06,-2.7831730014634216e-06,-1.0105892480894891e-06,-2.0488118038362557e-07,-5.618852970722665e-06,3.995583475985969e-06,NORM,0,negative
E,,0,101,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.3890057761131884e-05,-7.320366891430323e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.016969937015453e-06,-2.070217314319409e-07,-5.618894634753687e-06,3.995402106894146e-06,NORM,0,negative
E,,0,101,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.613959091857506e-16,5.183666409363905e-16,5.668259763005558e-16,6.091591387765715e-16,6.61763215863873e-16,7.649279436380523e-16,9.080648344970835e-16,6.198356792162969e-16,7.487863730267435e-17,NORM,0,negative
E,,0,202,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8154619148964783e-05,-1.3888330118205436e-05,-7.321647941145412e-06,-4.68374168402094e-06,-2.780364513086611e-06,-1.0149674366473147e-06,-2.1080281235813494e-07,-5.6188970929336655e-06,3.995268631023926e-06,NORM,0,negative
E,,0,202,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.38900577614694e-05,-7.320366891430323e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.0169699374976167e-06,-2.070217314319409e-07,-5.618894634762564e-06,3.995402106895637e-06,NORM,0,negative
E,,0,202,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.611720196231616e-16,5.161008058393499e-16,5.651488088132327e-16,6.080796862565923e-16,6.668390964639258e-16,7.596956916803277e-16,9.359276680999297e-16,6.201870629861609e-16,7.440765990474424e-17,NORM,0,negative
E,,0,303,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815736261764077e-05,-1.3891905293972341e-05,-7.320754248918914e-06,-4.687817776221677e-06,-2.7816320353287513e-06,-1.010779139109051e-06,-1.9935178573921554e-07,-5.61877421681944e-06,3.995360582235296e-06,NORM,0,negative
E,,0,303,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.38900577614694e-05,-7.320366891189241e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.016969937015453e-06,-2.070217314319409e-07,-5.6188946347589325e-06,3.995402106895138e-06,NORM,0,negative
E,,0,303,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.510720781465344e-16,5.203164955214842e-16,5.677956422850461e-16,6.100401722958303e-16,6.661616882585513e-16,7.644405317049575e-16,9.149671039389114e-16,6.213974386428417e-16,7.493316583090845e-17,NORM,0,negative
E,,0,404,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.81643771218102e-05,-1.3896050917696441e-05,-7.324979760363721e-06,-4.68584560629413e-06,-2.782274988540676e-06,-1.0192104967195082e-06,-2.0109307915830552e-07,-5.618899769655646e-06,3.99557114148451e-06,NORM,0,negative
E,,0,404,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.38900577614694e-05,-7.320366891430323e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.0169699373529676e-06,-2.070217314319409e-07,-5.618894634752073e-06,3.99540210689575e-06,NORM,0,negative
E,,0,404,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.627893466790326e-16,5.209797333750956e-16,5.678687832028667e-16,6.117727366234974e-16,6.625494393159844e-16,7.660379284853441e-16,8.94204828755989e-16,6.212039367779694e-16,7.45639401197097e-17,NORM,0,negative
E,,0,505,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815956169341477e-05,-1.3886552310806831e-05,-7.318847353233964e-06,-4.678899423665239e-06,-2.7863456495420835e-06,-1.0187202952979253e-06,-2.1493984585967718e-07,-5.618940692842913e-06,3.995377441504661e-06,NORM,0,negative
E,,0,505,delta_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.815556499013749e-05,-1.38900577614694e-05,-7.320366891430323e-06,-4.6882929664516665e-06,-2.781787525755403e-06,-1.016969937015453e-06,-2.070217314319409e-07,-5.618894634759336e-06,3.995402106893774e-06,NORM,0,negative
E,,0,505,q_noise,1195,1195,1039,1,1195,0,0,0,0,fraction,4.6585870718519675e-16,5.17079670075893e-16,5.659771764085545e-16,6.085642031814135e-16,6.651498140349831e-16,7.610676362061489e-16,9.672573704302628e-16,6.21043078205561e-16,7.553854251719052e-17,NORM,0,negative
E,,0,8128,snr_p_db,1195,1195,1039,1,1195,0,0,0,0,dB,-2.8154047419129497e-05,-1.389027703933951e-05,-7.323484967071731e-06,-4.676526876600573e-06,-2.7823684726679666e-06,-1.0229849918517658e-06,-2.0960535240045527e-07,-5.6193090197071145e-06,3.9955151994798356e-06,NORM,0,negative
