condition,mode,snr_db,noise_seed,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd
E,,0,101,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1705377664814644e-05,-1.3306010298393471e-05,-7.556927973683881e-06,-5.1982251483702235e-06,-3.3953441966286604e-06,-1.3452163112944238e-06,-1.1723075358121818e-07,-5.93334480964493e-06,3.863619369510943e-06
E,,0,101,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313992626e-05,-7.558975571244441e-06,-5.200119276138702e-06,-3.3961333953701933e-06,-1.3439958190678502e-06,-1.0837244799367052e-07,-5.933388757770453e-06,3.8636230323334195e-06
E,,0,101,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.7627676132268e-08,-9.12505386997351e-09,-3.690866223808799e-09,1.0275294886990226e-10,3.764045897981757e-09,8.848486228673045e-09,1.8536439457029172e-08,4.393904287275446e-11,5.4916981382506275e-09
E,,0,101,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,101,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.612627863965421e-16,5.227103077073967e-16,5.69853350374672e-16,6.115981119072021e-16,6.569066924256378e-16,7.495359137115725e-16,9.22829228890115e-16,6.187195400921171e-16,6.898305807119978e-17
E,,0,202,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.1718712414097856e-05,-1.330691233827726e-05,-7.562950436776248e-06,-5.204723997622262e-06,-3.3958195284729814e-06,-1.3406519541545572e-06,-1.1263817186571368e-07,-5.933366878292335e-06,3.863498441807292e-06
E,,0,202,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313992626e-05,-7.558975571244441e-06,-5.200119276138702e-06,-3.3961333953701933e-06,-1.3439958190678502e-06,-1.0837244799367052e-07,-5.933388757781178e-06,3.863623032334898e-06
E,,0,202,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.6825721639188196e-08,-8.94717279560546e-09,-3.626332706447093e-09,-1.1507223225786282e-10,3.713957282920902e-09,9.056378065004485e-09,1.8848780300464095e-08,2.1870681742759396e-11,5.38555121325103e-09
E,,0,202,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,202,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.611720196231616e-16,5.214350721180062e-16,5.688073825045054e-16,6.0918180270727985e-16,6.58996856474585e-16,7.439082811796734e-16,9.359276680999297e-16,6.182218684112695e-16,6.859911559306985e-17
E,,0,303,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170857596195683e-05,-1.3300724025095328e-05,-7.561087259570032e-06,-5.204456815671509e-06,-3.391808025657995e-06,-1.3454162731427993e-06,-1.1554115489962713e-07,-5.933305808771013e-06,3.8636117582847185e-06
E,,0,303,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313992626e-05,-7.558975571244441e-06,-5.200119276138702e-06,-3.3961333953701933e-06,-1.3439958194053651e-06,-1.0837244751150677e-07,-5.933388757777379e-06,3.863623032332425e-06
E,,0,303,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-2.0396969081553673e-08,-8.924720383263687e-09,-3.7031362059627345e-09,1.8916777963603346e-10,3.793829392842205e-09,8.92452610115571e-09,2.0284947403966542e-08,8.294003714070866e-11,5.593217763855338e-09
E,,0,303,q_clean,2158,2158,1877,1,2158,0,0,0,0,fraction,2.4953678499437863e-08,3.094664264734455e-07,7.81988307767661e-07,1.1973709964185677e-06,1.7405169328016194e-06,3.06380336100274e-06,1.1905967552934596e-05,1.3662119222710647e-06,8.896300041519708e-07
E,,0,303,q_noise,2158,2158,1877,1,2158,0,0,0,0,fraction,4.510720781465344e-16,5.230107417183994e-16,5.704426943267686e-16,6.108001409275272e-16,6.609428551862306e-16,7.450262518873109e-16,9.149671039389114e-16,6.194579017761644e-16,6.942216403038896e-17
E,,0,404,snr_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.168863612402317e-05,-1.330091971240487e-05,-7.557852827173885e-06,-5.201014661772436e-06,-3.394377216505105e-06,-1.33825718501538e-06,-1.0746476702860238e-07,-5.933356758307316e-06,3.8636007948937585e-06
E,,0,404,delta_p_db,2158,2158,1877,1,2158,0,0,0,0,dB,-5.170726790994568e-05,-1.3305949313992626e-05,-7.558975571244441e-06,-5.200119276138702e-06,-3.39613339500857e-06,-1.3439958194053651e-06,-1.0837244799367052e-07,-5.933388757777603e-06,3.863623032335329e-06
E,,0,404,actual_total_snr_db,2158,2158,1877,1,2158,0,0,0,0,dB,-1.9949026435001913e-08,-9.229894154083916e-09,-3.701828939539788e-09,1.3071555241679698e-10,3.829919348246287e-09,8.72057783376812e-09,1.8631774798619606e-08,3.1990632760516305e-11,5.499878019619891e-09
