case_id,condition,mode,snr_db,noise_seed,n_records,final_input_sha256,expected_input_sha256,final_hash_verified,clean_array_sha256,noise_file_sha256,old_q_noise_mismatch_max_abs_error,old_q_input_mismatch_max_abs_error,old_total_snr_mismatch_max_abs_error,identity_mismatch_max_abs_error
E__snr_0__noise_8128,E,,0,8128,2158,b7f3d1fc39ef41f0c7e5fde19c9fdb33643f418220b5beae2b4a25b68357b149,b7f3d1fc39ef41f0c7e5fde19c9fdb33643f418220b5beae2b4a25b68357b149,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,1.9721522630525295e-31,4.235164736271502e-22,9.643274724429524e-16,3.854999239478237e-14
I__snr_0__noise_8128,I,,0,8128,2158,25906cf56405bdae430b0cb33fc5c894b641d005d5e0638db02626962cf86f9b,25906cf56405bdae430b0cb33fc5c894b641d005d5e0638db02626962cf86f9b,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,47d294bffcaf6d165841d52ee0d7de1a8f366d5dc3d5ac88dd9cce04bd065b46,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,7.105427357601002e-14
S_00__snr_0__noise_8128,S_00,S_00,0,8128,2158,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,d8002ce68750b6263e1550035c8d1e4ba6bdddad4553ab5abfdabf86d33d5832,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,8.326672684688674e-17,9.643274724429524e-16,9.370282327836321e-14
S_01__snr_0__noise_8128,S_01,S_01,0,8128,2158,c9f7302b910ac1c991a30860748f9e5442d831a3241db514a8c540df070993c3,c9f7302b910ac1c991a30860748f9e5442d831a3241db514a8c540df070993c3,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,8.326672684688674e-17,9.643274724429524e-16,6.59472476627343e-14
S_02__snr_0__noise_8128,S_02,S_02,0,8128,2158,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,52a6eda45b5f7e5522b1c14e8947c74c778cc70bfe9dbe5e13fac08a229dbb73,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,8.326672684688674e-17,9.71445146547012e-17,9.643274724429524e-16,5.573319583618286e-14
S_03__snr_0__noise_8128,S_03,S_03,0,8128,2158,986bf33a5449edbf1ab9173efd61e23024b77dee4fc5bd019f53b33069bf9e88,986bf33a5449edbf1ab9173efd61e23024b77dee4fc5bd019f53b33069bf9e88,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,0.0,5.551115123125783e-17,9.6432746913423e-16,1.1812772982011666e-13
S_04__snr_0__noise_8128,S_04,S_04,0,8128,2158,b8f21b8e699c0484d5d41c0f65f5e04a317c893ba24bc896773f541e7baec595,b8f21b8e699c0484d5d41c0f65f5e04a317c893ba24bc896773f541e7baec595,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7512f1c76051bbc5596482db08c92d2369bef0e8bed037adbbcad96081dca963,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,1.0258460747536446e-13
E__snr_0__noise_101,E,,0,101,2158,e372ac625f7d1fdca9a8dbef6073c43da2445cc0f77fffa03ae2ab075bb8f2b5,e372ac625f7d1fdca9a8dbef6073c43da2445cc0f77fffa03ae2ab075bb8f2b5,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,1.9721522630525295e-31,4.235164736271502e-22,9.643274724429524e-16,3.702622374486867e-14
I__snr_0__noise_101,I,,0,101,2158,645e88fea28f6de2c9c8bec7fe9f5dc382fd647d827b1a0a1dea643a9dcb6653,645e88fea28f6de2c9c8bec7fe9f5dc382fd647d827b1a0a1dea643a9dcb6653,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,eb3c3b3ee1ef1b035a150ab29ded1ec2521673be2722203613588abe6cd4787c,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,7.505107646466058e-14
S_00__snr_0__noise_101,S_00,S_00,0,101,2158,90d43cf6d4d340502be9500dc2ad9e31ae28d1b5f7ab521277522775383393d1,90d43cf6d4d340502be9500dc2ad9e31ae28d1b5f7ab521277522775383393d1,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,9.592326932761353e-14
S_01__snr_0__noise_101,S_01,S_01,0,101,2158,4ad0282d0762b557311cf9f985d2c81a54b7c9fafba60fbe893e56e380fd3455,4ad0282d0762b557311cf9f985d2c81a54b7c9fafba60fbe893e56e380fd3455,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,6.861178292183467e-14
S_02__snr_0__noise_101,S_02,S_02,0,101,2158,43fe10a8d4abf5de6f97fb7e442444f1db4ec8dd1407c90028db84ef687c59ac,43fe10a8d4abf5de6f97fb7e442444f1db4ec8dd1407c90028db84ef687c59ac,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,8.326672684688674e-17,9.71445146547012e-17,9.643274699614106e-16,5.284661597215745e-14
S_03__snr_0__noise_101,S_03,S_03,0,101,2158,cc5bf2a4548b36caac0a0e1aa910f877099e531dd330be45be556718f7849475,cc5bf2a4548b36caac0a0e1aa910f877099e531dd330be45be556718f7849475,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,0.0,5.551115123125783e-17,9.643274724429524e-16,1.1501910535116622e-13
S_04__snr_0__noise_101,S_04,S_04,0,101,2158,a7ff5fef66b4be39830a4586ec7981ab1076a5edb5b5afc3f1aee6a9793ccd33,a7ff5fef66b4be39830a4586ec7981ab1076a5edb5b5afc3f1aee6a9793ccd33,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,d7065fd6d9b574ff1fec470e4734308578ce987948669f991f871ee621951480,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,9.325873406851315e-14
E__snr_0__noise_202,E,,0,202,2158,ebb2e60939c20fbdc7021b503b4154d20dc64e8743aade8ff0162325fc376218,ebb2e60939c20fbdc7021b503b4154d20dc64e8743aade8ff0162325fc376218,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,1.9721522630525295e-31,4.235164736271502e-22,9.6432746913423e-16,4.01239339825355e-14
I__snr_0__noise_202,I,,0,202,2158,9a7b17eb56d13c02a6119fbf3ac49a8f4c072a45c83d59c83a6ebf5003739c85,9a7b17eb56d13c02a6119fbf3ac49a8f4c072a45c83d59c83a6ebf5003739c85,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,7189a8040f2fd3304c697405a4a4a92884c3f4242e1c818593ac2f2362847bd8,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,7.149836278586008e-14
S_00__snr_0__noise_202,S_00,S_00,0,202,2158,81b02d3e282ab4b3f42d5d0c575a4d09e2d59536d14c51a69cc095976009c5cf,81b02d3e282ab4b3f42d5d0c575a4d09e2d59536d14c51a69cc095976009c5cf,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,8.326672684688674e-17,9.643274707885912e-16,9.681144774731365e-14
S_01__snr_0__noise_202,S_01,S_01,0,202,2158,d1627539fea69ee46eed5057e4180b83b2c1e03f2ce562dfa1d490115aa55b1b,d1627539fea69ee46eed5057e4180b83b2c1e03f2ce562dfa1d490115aa55b1b,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,5.551115123125783e-17,8.326672684688674e-17,9.6432746913423e-16,7.283063041541027e-14
S_02__snr_0__noise_202,S_02,S_02,0,202,2158,76117846ba6cc9a42740cd9c8c39cd3963a887d4f40cde7507fed6ea27b99d6a,76117846ba6cc9a42740cd9c8c39cd3963a887d4f40cde7507fed6ea27b99d6a,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,8.326672684688674e-17,9.71445146547012e-17,9.643274707885912e-16,7.061018436615996e-14
S_03__snr_0__noise_202,S_03,S_03,0,202,2158,36d8235f153150a3a4457843d3a947717c5f737165cb76e9f0f89100d22a9a3b,36d8235f153150a3a4457843d3a947717c5f737165cb76e9f0f89100d22a9a3b,True,a8d302b6d0b6e62b539ce05c00e740ac2d1450844afe3f861adb2ac5780bd70c,c0e0a644d5ed6e0ac3f36e139ed21dadf40ce52f326bf6cab35e525ebe8f405e,0.0,5.551115123125783e-17,9.643274707885912e-16,1.1679546219056647e-13
