source_prediction_id,prediction_path,model,train_seed,case_id,prediction_case_id,worker_report,run_fingerprint,source_sha256,n_aligned_records,input_verified,checkpoint_verified,absolute_macro_auroc_error
e4be91965cfcb2a30b9f2971d722bba562597f137f2e74f0c3cb246e6a702530,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr0.npz,resnet,17,E__snr_0__noise_101,standard__n101__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,1.1102230246251565e-16
5a0ae714ffe945896bf40bbfc75a258c7ed6135325040bd27358acdd94b2b527,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr0.npz,resnet,17,E__snr_0__noise_202,standard__n202__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
f01c8de20b42636c3926d928e0e0ac8e282095d4402f46eb6e196a2ec98de86e,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr0.npz,resnet,17,E__snr_0__noise_303,standard__n303__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
13ecd8476d3021aefbeb1b4a5447d520b1339b99b4465bb3bc98f42bce49bad5,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr0.npz,resnet,17,E__snr_0__noise_404,standard__n404__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
f2ac80c0b1611384c7dc48f287ffcccf0a0b26f41a0c265a852e82c1142e71d3,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n505__electrode__snr0.npz,resnet,17,E__snr_0__noise_505,standard__n505__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
4979fdb0a07d7abeda7d5534c4a9959f6b5743c95ec8f6cac7cfeba04fee92e2,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__electrode__snr0.npz,resnet,17,E__snr_0__noise_8128,standard__n8128__electrode__snr0,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
c440664ee314ec752ac7229cee85915998bc97bf2ad37a09b645bbf1ee6b7db3,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr10.npz,resnet,17,E__snr_10__noise_101,standard__n101__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
bad4ff9052b75e87e847cea908c19b7f70b2296a4a20b2611f9cb6bc77abfe03,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n202__electrode__snr10.npz,resnet,17,E__snr_10__noise_202,standard__n202__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,1.1102230246251565e-16
5756f174b7f1e4069d1610e8cfaefccbc7de565a5480cd1810ad0be34ddacbeb,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n303__electrode__snr10.npz,resnet,17,E__snr_10__noise_303,standard__n303__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,1.1102230246251565e-16
6ff063ed929aab6be0f30fc52491c232ac7dbd17744989cd5dfc63430f4ad33d,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n404__electrode__snr10.npz,resnet,17,E__snr_10__noise_404,standard__n404__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,1.1102230246251565e-16
2a88b1b8946740829575540d1c8a4cf5ac26ee9deaef86086599a4f6b49fdf72,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n505__electrode__snr10.npz,resnet,17,E__snr_10__noise_505,standard__n505__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
bafea07e2c7e79562cdebed2f34953d653853610fc40466c77390d3e26ca3b57,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n8128__electrode__snr10.npz,resnet,17,E__snr_10__noise_8128,standard__n8128__electrode__snr10,methodology_supplement/results/logs/full/inference_resnet_0.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,2.220446049250313e-16
117f76ef961995fc0cd6f38b829bfb1fc1d944f44a2574229070e3893ce2fbd4,methodology_supplement/results/predictions/full/resnet/seed_17/standard__n101__electrode__snr5.npz,resnet,17,E__snr_5__noise_101,standard__n101__electrode__snr5,methodology_supplement/results/logs/full/inference_resnet_1.json,8c34291679df86ee9005f5ec8dae8741de853475e1f2870299ee2226b8bb3c51,71d6ecf41388929ce16b6bdc71dda3c8519feac3aa4fb04538d7bf7b1d42fbc2,2158,True,True,0.0
