
COMMAND: E:\Eproject\ECG\phase1_ecg_robustness\.venv\Scripts\python.exe -u -m src.train --config configs/phase1_full.yaml --resume-completed
Device=cuda; train=17084, val=2146, test=2158; training-only scale_mv=0.22549059
full/resnet/seed_17 epoch=1/25 train_loss=0.35369 val_loss=0.32523 macro_auroc=0.89949 elapsed=55.1s
full/resnet/seed_17 epoch=2/25 train_loss=0.28973 val_loss=0.30407 macro_auroc=0.91091 elapsed=107.9s
full/resnet/seed_17 epoch=3/25 train_loss=0.26964 val_loss=0.30127 macro_auroc=0.91299 elapsed=160.7s
full/resnet/seed_17 epoch=4/25 train_loss=0.25426 val_loss=0.31367 macro_auroc=0.91400 elapsed=214.2s
full/resnet/seed_17 epoch=5/25 train_loss=0.24174 val_loss=0.32355 macro_auroc=0.91303 elapsed=267.4s
full/resnet/seed_17 epoch=6/25 train_loss=0.22942 val_loss=0.30412 macro_auroc=0.91286 elapsed=320.6s
full/resnet/seed_17 epoch=7/25 train_loss=0.21709 val_loss=0.34090 macro_auroc=0.90660 elapsed=373.6s
full/resnet/seed_17 epoch=8/25 train_loss=0.20724 val_loss=0.40731 macro_auroc=0.89821 elapsed=426.3s
full/resnet/seed_17 epoch=9/25 train_loss=0.18950 val_loss=0.36158 macro_auroc=0.90817 elapsed=479.1s
full/resnet/seed_17 epoch=10/25 train_loss=0.17053 val_loss=0.41999 macro_auroc=0.89708 elapsed=531.8s
full/resnet/seed_17 epoch=11/25 train_loss=0.15552 val_loss=0.43302 macro_auroc=0.89924 elapsed=585.1s
full/resnet/seed_17 epoch=12/25 train_loss=0.13867 val_loss=0.43126 macro_auroc=0.89785 elapsed=641.9s
full/resnet/seed_17 epoch=13/25 train_loss=0.12654 val_loss=0.44945 macro_auroc=0.89521 elapsed=694.9s
full/resnet/seed_17 epoch=14/25 train_loss=0.10788 val_loss=0.43366 macro_auroc=0.89520 elapsed=747.8s
full/resnet/seed_17 epoch=15/25 train_loss=0.09484 val_loss=0.49148 macro_auroc=0.89377 elapsed=801.8s
full/resnet/seed_17 epoch=16/25 train_loss=0.08726 val_loss=0.52837 macro_auroc=0.89498 elapsed=858.1s
full/resnet/seed_17 epoch=17/25 train_loss=0.06920 val_loss=0.60802 macro_auroc=0.89078 elapsed=910.9s
full/resnet/seed_17 epoch=18/25 train_loss=0.05869 val_loss=0.63024 macro_auroc=0.88643 elapsed=963.7s
full/resnet/seed_17 epoch=19/25 train_loss=0.05709 val_loss=0.59451 macro_auroc=0.88235 elapsed=1016.6s
full/resnet/seed_17 epoch=20/25 train_loss=0.05543 val_loss=0.64727 macro_auroc=0.88414 elapsed=1069.6s
full/resnet/seed_17 epoch=21/25 train_loss=0.04612 val_loss=0.62916 macro_auroc=0.89263 elapsed=1122.4s
full/resnet/seed_17 epoch=22/25 train_loss=0.03980 val_loss=0.64032 macro_auroc=0.88342 elapsed=1175.2s
full/resnet/seed_17 epoch=23/25 train_loss=0.03644 val_loss=0.71075 macro_auroc=0.88996 elapsed=1228.0s
full/resnet/seed_17 epoch=24/25 train_loss=0.03085 val_loss=0.68359 macro_auroc=0.88540 elapsed=1280.9s
full/resnet/seed_17 epoch=25/25 train_loss=0.04440 val_loss=0.73172 macro_auroc=0.89177 elapsed=1333.7s
full/resnet/seed_29 epoch=1/25 train_loss=0.35096 val_loss=0.33161 macro_auroc=0.89737 elapsed=52.8s
full/resnet/seed_29 epoch=2/25 train_loss=0.29408 val_loss=0.31304 macro_auroc=0.90328 elapsed=110.3s
full/resnet/seed_29 epoch=3/25 train_loss=0.27499 val_loss=0.30251 macro_auroc=0.90928 elapsed=163.1s
full/resnet/seed_29 epoch=4/25 train_loss=0.26018 val_loss=0.29742 macro_auroc=0.91432 elapsed=216.1s
full/resnet/seed_29 epoch=5/25 train_loss=0.24759 val_loss=0.30695 macro_auroc=0.91186 elapsed=268.9s
full/resnet/seed_29 epoch=6/25 train_loss=0.23615 val_loss=0.31726 macro_auroc=0.91102 elapsed=321.7s
full/resnet/seed_29 epoch=7/25 train_loss=0.22176 val_loss=0.36405 macro_auroc=0.90060 elapsed=374.6s
full/resnet/seed_29 epoch=8/25 train_loss=0.20829 val_loss=0.33814 macro_auroc=0.90246 elapsed=427.4s
full/resnet/seed_29 epoch=9/25 train_loss=0.19518 val_loss=0.35356 macro_auroc=0.89982 elapsed=480.3s
full/resnet/seed_29 epoch=10/25 train_loss=0.18167 val_loss=0.36784 macro_auroc=0.90552 elapsed=533.1s
full/resnet/seed_29 epoch=11/25 train_loss=0.15680 val_loss=0.41520 macro_auroc=0.90095 elapsed=585.9s
full/resnet/seed_29 epoch=12/25 train_loss=0.14576 val_loss=0.38489 macro_auroc=0.89608 elapsed=638.7s
full/resnet/seed_29 epoch=13/25 train_loss=0.12782 val_loss=0.52344 macro_auroc=0.89343 elapsed=691.5s
full/resnet/seed_29 epoch=14/25 train_loss=0.11020 val_loss=0.47157 macro_auroc=0.89012 elapsed=744.3s
full/resnet/seed_29 epoch=15/25 train_loss=0.09442 val_loss=0.52994 macro_auroc=0.88807 elapsed=797.1s
full/resnet/seed_29 epoch=16/25 train_loss=0.08667 val_loss=0.54771 macro_auroc=0.88789 elapsed=849.9s
full/resnet/seed_29 epoch=17/25 train_loss=0.07107 val_loss=0.70476 macro_auroc=0.88727 elapsed=902.7s
full/resnet/seed_29 epoch=18/25 train_loss=0.06038 val_loss=0.57552 macro_auroc=0.89124 elapsed=955.4s
full/resnet/seed_29 epoch=19/25 train_loss=0.05286 val_loss=0.71142 macro_auroc=0.89104 elapsed=1008.2s
full/resnet/seed_29 epoch=20/25 train_loss=0.05544 val_loss=0.64119 macro_auroc=0.87583 elapsed=1060.9s
full/resnet/seed_29 epoch=21/25 train_loss=0.04956 val_loss=0.64559 macro_auroc=0.88926 elapsed=1113.7s
full/resnet/seed_29 epoch=22/25 train_loss=0.04169 val_loss=0.75993 macro_auroc=0.88079 elapsed=1166.4s
full/resnet/seed_29 epoch=23/25 train_loss=0.04180 val_loss=0.64494 macro_auroc=0.89081 elapsed=1219.1s
full/resnet/seed_29 epoch=24/25 train_loss=0.04129 val_loss=0.63621 macro_auroc=0.89284 elapsed=1271.9s
full/resnet/seed_29 epoch=25/25 train_loss=0.03926 val_loss=0.71118 macro_auroc=0.88621 elapsed=1324.6s
full/resnet/seed_43 epoch=1/25 train_loss=0.36009 val_loss=0.33783 macro_auroc=0.89405 elapsed=52.7s
full/resnet/seed_43 epoch=2/25 train_loss=0.29602 val_loss=0.31999 macro_auroc=0.90168 elapsed=105.5s
full/resnet/seed_43 epoch=3/25 train_loss=0.27434 val_loss=0.31904 macro_auroc=0.90604 elapsed=158.3s
full/resnet/seed_43 epoch=4/25 train_loss=0.26046 val_loss=0.30873 macro_auroc=0.91225 elapsed=211.1s
full/resnet/seed_43 epoch=5/25 train_loss=0.24489 val_loss=0.30741 macro_auroc=0.91512 elapsed=263.9s
full/resnet/seed_43 epoch=6/25 train_loss=0.23311 val_loss=0.30926 macro_auroc=0.91249 elapsed=316.8s
full/resnet/seed_43 epoch=7/25 train_loss=0.22072 val_loss=0.34630 macro_auroc=0.90429 elapsed=369.5s
full/resnet/seed_43 epoch=8/25 train_loss=0.20642 val_loss=0.33112 macro_auroc=0.91139 elapsed=422.3s
