model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,macro_auroc,3,0.8143454893530077,0.015983668054016454,0.7746398567684184,0.8540511219375969
resnet,bandpass,0,covariance,all,macro_ap,3,0.6362627028595188,0.021425686271951253,0.583038347591893,0.6894870581271446
resnet,bandpass,0,covariance,all,macro_f1,3,0.48381766888607475,0.025722374962363757,0.4199197472070763,0.5477155905650732
resnet,bandpass,0,covariance,all,micro_auroc,3,0.7334674896637244,0.03405006630547784,0.6488824358677359,0.818052543459713
resnet,bandpass,0,covariance,all,micro_ap,3,0.5085290134173198,0.06755486232217348,0.34071343231278683,0.6763445945218528
resnet,bandpass,0,covariance,all,micro_f1,3,0.4805738795384822,0.02094869962212513,0.42853442479567616,0.5326133342812882
resnet,bandpass,0,covariance,all,brier,3,0.1777720898389816,0.022637719225834785,0.12153687780276681,0.2340073018751964
resnet,bandpass,0,covariance,all,ece,3,0.1600945895012372,0.01756718851287744,0.11645527402751195,0.20373390497496247
resnet,bandpass,0,covariance,all,mean_loss,3,0.530017997802989,0.052582339138187016,0.39939622617939197,0.660639769426586
resnet,bandpass,0,covariance,all,mean_confidence,3,0.780004064242045,0.03364569767908552,0.696423517800314,0.8635846106837761
resnet,bandpass,0,covariance,all,mean_entropy,3,0.464144053656491,0.04540533488624186,0.35135094895232244,0.5769371583606595
resnet,bandpass,0,covariance,all,clean_agreement,3,0.7236021007105343,0.04896704016765552,0.6019612295987755,0.8452429718222931
resnet,bandpass,0,covariance,all,probability_shift,3,0.22090414166450492,0.004592707996683126,0.20949522253102845,0.2323130607979814
resnet,bandpass,0,covariance,all,auroc_NORM,3,0.8516572021127606,0.021874043850344613,0.7973190648763125,0.9059953393492087
resnet,bandpass,0,covariance,all,auroc_MI,3,0.7348727951153324,0.04708050880864917,0.6179183276968228,0.8518272625338421
resnet,bandpass,0,covariance,all,auroc_STTC,3,0.8128991636543136,0.022336505170240505,0.7574122088129005,0.8683861184957267
resnet,bandpass,0,covariance,all,auroc_CD,3,0.8265841938071762,0.013455240879120365,0.7931595225190828,0.8600088650952695
resnet,bandpass,0,covariance,all,auroc_HYP,3,0.8457140920754554,0.007921942776436269,0.8260348952744259,0.865393288876485
resnet,bandpass,0,covariance,all,ap_NORM,3,0.7954258172947838,0.0322399337033088,0.7153373821590564,0.8755142524305112
resnet,bandpass,0,covariance,all,ap_MI,3,0.5289477644895162,0.05337919429308876,0.39634649492484963,0.6615490340541827
resnet,bandpass,0,covariance,all,ap_STTC,3,0.6088779306042174,0.042485455386010125,0.5033382086802514,0.7144176525281833
resnet,bandpass,0,covariance,all,ap_CD,3,0.698237496542616,0.021679302975164662,0.6443831224582157,0.7520918706270163
resnet,bandpass,0,covariance,all,ap_HYP,3,0.5498245053664603,0.0260920491072848,0.48500826220301585,0.6146407485299048
resnet,bandpass,0,covariance,all,f1_NORM,3,0.33425815158222777,0.12287752724555988,0.02901345222868651,0.639502850935769
resnet,bandpass,0,covariance,all,f1_MI,3,0.4664654082950979,0.009163820128937948,0.4437012171293885,0.48922959946080735
resnet,bandpass,0,covariance,all,f1_STTC,3,0.525113365689681,0.019162284706136713,0.4775116116084601,0.572715119770902
resnet,bandpass,0,covariance,all,f1_CD,3,0.5897149619216951,0.029877610007554962,0.5154948641658785,0.6639350596775118
