kind,condition,low_hz,high_hz,mean_psd,integrated_power
bandpass,independent,0.0,0.5,3.7363519543652696e-05,2.919024964347867e-05
bandpass,independent,0.5,5.0,0.00013241144527510973,0.0005689554289164871
bandpass,independent,5.0,15.0,0.00013260155750389996,0.0013467345683989842
bandpass,independent,15.0,40.0,0.00013301978784553182,0.0033254946961382955
bandpass,independent,40.0,50.0,1.1741532472148942e-06,1.1466340304832951e-05
bandpass,independent_rms,0.0,0.5,3.7211023306626486e-05,2.9071111958301943e-05
bandpass,independent_rms,0.5,5.0,0.00013248135932059066,0.0005692558408306631
bandpass,independent_rms,5.0,15.0,0.00013271922274864378,0.0013479296060409133
bandpass,independent_rms,15.0,40.0,0.00013293682774084874,0.0033234206935212184
bandpass,independent_rms,40.0,50.0,1.1798063620023168e-06,1.1521546503928874e-05
bandpass,electrode,0.0,0.5,3.832400086425019e-05,2.994062567519546e-05
bandpass,electrode,0.5,5.0,0.00013279727431533456,0.0005706132880737031
bandpass,electrode,5.0,15.0,0.00013377582701647664,0.0013586607431360909
bandpass,electrode,15.0,40.0,0.00013218673541976056,0.003304668385494014
bandpass,electrode,40.0,50.0,1.120887479982827e-06,1.0946166796707297e-05
bandpass,covariance,0.0,0.5,3.9489593011392935e-05,3.085124454015073e-05
bandpass,covariance,0.5,5.0,0.00012950459623937638,0.0005564650619660704
bandpass,covariance,5.0,15.0,0.00013232719773384802,0.001343948101984394
bandpass,covariance,15.0,40.0,0.00013286977930985027,0.0033217444827462568
bandpass,covariance,40.0,50.0,1.0938621225375873e-06,1.0682247290406126e-05
bw,independent,0.0,0.5,0.0010048843330954158,0.0007850658852307936
bw,independent,0.5,5.0,3.204425448780521e-05,0.00013769015600228804
bw,independent,5.0,15.0,3.6349271075882714e-07,3.691722843644338e-06
bw,independent,15.0,40.0,2.518514806975194e-07,6.296287017437985e-06
bw,independent,40.0,50.0,1.6127700171002383e-07,1.5749707198244516e-06
bw,independent_rms,0.0,0.5,0.0011813442490212285,0.0009229251945478348
bw,independent_rms,0.5,5.0,4.5877854180782104e-05,0.0001971314046830481
bw,independent_rms,5.0,15.0,8.001136299439876e-07,8.126154054118623e-06
bw,independent_rms,15.0,40.0,4.823946627433601e-07,1.2059866568584001e-05
bw,independent_rms,40.0,50.0,3.092449825378751e-07,3.0199705325964367e-06
bw,electrode,0.0,0.5,0.001047237750831609,0.0008181544928371945
bw,electrode,0.5,5.0,3.2271270097846375e-05,0.00013866561370168363
bw,electrode,5.0,15.0,3.678974014767241e-07,3.736457983747979e-06
bw,electrode,15.0,40.0,2.2410965617335631e-07,5.602741404333908e-06
bw,electrode,40.0,50.0,1.3948606055911558e-07,1.3621685601476132e-06
bw,covariance,0.0,0.5,0.0010855990279736011,0.0008481242406043758
bw,covariance,0.5,5.0,3.259036454360869e-05,0.00014003672264831858
bw,covariance,5.0,15.0,3.513606390134094e-07,3.568506489979939e-06
bw,covariance,15.0,40.0,2.2842600598563269e-07,5.710650149640817e-06
bw,covariance,40.0,50.0,1.447653124637833e-07,1.4137237545291337e-06
ma,independent,0.0,0.5,0.001271626588987651,0.0009934582726466024
ma,independent,0.5,5.0,0.000124186573012816,0.0005336141809144438
ma,independent,5.0,15.0,1.028568994749053e-05,0.0001044640385292007
ma,independent,15.0,40.0,2.369415780289088e-05,0.000592353945072272
ma,independent,40.0,50.0,9.90725986256013e-06,9.675058459531377e-05
ma,independent_rms,0.0,0.5,0.0011370196545249865,0.0008882966050976457
ma,independent_rms,0.5,5.0,0.00011835283429608517,0.000508547334865991
ma,independent_rms,5.0,15.0,1.608204808783307e-05,0.00016333330089205462
ma,independent_rms,15.0,40.0,3.8310306801394915e-05,0.0009577576700348729
ma,independent_rms,40.0,50.0,1.628224383320904e-05,0.000159006287433682
ma,electrode,0.0,0.5,0.0011524907493456295,0.000900383397926273
ma,electrode,0.5,5.0,0.00010807365612561455,0.00046437899116475004
ma,electrode,5.0,15.0,1.1212078987737843e-05,0.00011387267721921245
ma,electrode,15.0,40.0,2.6406320165711215e-05,0.0006601580041427804
ma,electrode,40.0,50.0,1.063866176787687e-05,0.00010389318132692256
ma,covariance,0.0,0.5,0.0013383232861837702,0.0010455650673310704
ma,covariance,0.5,5.0,0.00012189109296042297,0.0005237507900643175
ma,covariance,5.0,15.0,9.918808690370698e-06,0.0001007379007615774
ma,covariance,15.0,40.0,2.2700803187719712e-05,0.0005675200796929928
ma,covariance,40.0,50.0,9.36738639090619e-06,9.147838272369327e-05
em,independent,0.0,0.5,0.0007779533526274836,0.0006077760567402215
em,independent,0.5,5.0,0.0005613903581055175,0.0024122241949846458
em,independent,5.0,15.0,4.102785871146812e-05,0.0004166891900383481
em,independent,15.0,40.0,1.3560422803739696e-06,3.390105700934924e-05
em,independent,40.0,50.0,2.109966974192946e-07,2.0605146232352988e-06
em,independent_rms,0.0,0.5,0.0009707290851496168,0.0007583820977731382
em,independent_rms,0.5,5.0,0.00041132935044487266,0.0017674308026928123
em,independent_rms,5.0,15.0,3.403672071077937e-05,0.000345685444718853
em,independent_rms,15.0,40.0,1.955440635219467e-06,4.8886015880486676e-05
em,independent_rms,40.0,50.0,3.973864307197799e-07,3.880726862497851e-06
em,electrode,0.0,0.5,0.0008187539308853488,0.0006396515085041787
em,electrode,0.5,5.0,0.0005596041441285183,0.0024045490568022267
em,electrode,5.0,15.0,4.065535166788489e-05,0.00041290591537695596
em,electrode,15.0,40.0,1.3758411487469012e-06,3.439602871867253e-05
em,electrode,40.0,50.0,2.1577854785856873e-07,2.1072123814313353e-06
em,covariance,0.0,0.5,0.0007610096057334314,0.0005945387544792433
em,covariance,0.5,5.0,0.0005787717542378117,0.0024869098814905974
em,covariance,5.0,15.0,4.0201053327941154e-05,0.0004082919478619024
em,covariance,15.0,40.0,1.342049309258983e-06,3.355123273147457e-05
em,covariance,40.0,50.0,2.0328000234837953e-07,1.9851562729333937e-06
