kind,condition,lead_i,lead_j,covariance
bandpass,independent,I,I,0.005288577141165392
bandpass,independent,I,II,-1.8100765601919873e-05
bandpass,independent,I,III,-5.37840694466363e-06
bandpass,independent,I,aVR,-2.312136158244839e-05
bandpass,independent,I,aVL,6.3850961394561126e-06
bandpass,independent,I,aVF,-5.696717619045405e-06
bandpass,independent,I,V1,1.1677498393607495e-05
bandpass,independent,I,V2,3.621136381169805e-06
bandpass,independent,I,V3,3.499885522725776e-05
bandpass,independent,I,V4,5.264456482883432e-05
bandpass,independent,I,V5,2.1104257415366454e-05
bandpass,independent,I,V6,4.3810132687434874e-05
bandpass,independent,II,I,-1.8100765601919873e-05
bandpass,independent,II,II,0.0052772124574969855
bandpass,independent,II,III,2.0406036816504714e-05
bandpass,independent,II,aVR,-1.544436469965476e-05
bandpass,independent,II,aVL,-1.6504811705827315e-05
bandpass,independent,II,aVF,-3.5648697721029635e-05
bandpass,independent,II,V1,-1.7559707664855052e-05
bandpass,independent,II,V2,-7.053497948872542e-06
bandpass,independent,II,V3,-1.4647363864574271e-05
bandpass,independent,II,V4,-7.985645835652336e-07
bandpass,independent,II,V5,-9.00797182023842e-06
bandpass,independent,II,V6,-2.7958089497078455e-05
bandpass,independent,III,I,-5.37840694466363e-06
bandpass,independent,III,II,2.0406036816504714e-05
bandpass,independent,III,III,0.005262352428060811
bandpass,independent,III,aVR,-2.2894862245322296e-05
bandpass,independent,III,aVL,-1.0502965570795254e-05
bandpass,independent,III,aVF,-1.6471231851989835e-05
bandpass,independent,III,V1,4.8913500175087e-05
bandpass,independent,III,V2,1.0328622205898129e-05
bandpass,independent,III,V3,-1.6546116601219417e-05
bandpass,independent,III,V4,3.747828707371927e-05
bandpass,independent,III,V5,-8.772061528348448e-06
bandpass,independent,III,V6,-1.9815988263877306e-06
bandpass,independent,aVR,I,-2.312136158244839e-05
bandpass,independent,aVR,II,-1.544436469965476e-05
bandpass,independent,aVR,III,-2.2894862245322296e-05
bandpass,independent,aVR,aVR,0.005252608257026425
bandpass,independent,aVR,aVL,1.3364186139547167e-05
bandpass,independent,aVR,aVF,1.8014027104630607e-06
bandpass,independent,aVR,V1,-2.1421805702881867e-05
bandpass,independent,aVR,V2,-6.633815593311129e-06
bandpass,independent,aVR,V3,-1.2139385513209638e-05
bandpass,independent,aVR,V4,1.0308821132791813e-05
bandpass,independent,aVR,V5,-9.191788579203417e-06
bandpass,independent,aVR,V6,-4.541348197347141e-05
bandpass,independent,aVL,I,6.3850961394561126e-06
bandpass,independent,aVL,II,-1.6504811705827315e-05
bandpass,independent,aVL,III,-1.0502965570795254e-05
bandpass,independent,aVL,aVR,1.3364186139547167e-05
bandpass,independent,aVL,aVL,0.005256436706432875
bandpass,independent,aVL,aVF,-1.911356601601811e-05
bandpass,independent,aVL,V1,3.0409655431226738e-05
bandpass,independent,aVL,V2,-1.4628983792177611e-05
bandpass,independent,aVL,V3,1.411233447369812e-05
bandpass,independent,aVL,V4,6.275576058236722e-06
bandpass,independent,aVL,V5,2.512701040251337e-06
bandpass,independent,aVL,V6,2.8347528104849295e-05
bandpass,independent,aVF,I,-5.696717619045405e-06
bandpass,independent,aVF,II,-3.5648697721029635e-05
bandpass,independent,aVF,III,-1.6471231851989835e-05
bandpass,independent,aVF,aVR,1.8014027104630607e-06
bandpass,independent,aVF,aVL,-1.911356601601811e-05
bandpass,independent,aVF,aVF,0.005256796625004203
bandpass,independent,aVF,V1,1.1917018029904457e-06
bandpass,independent,aVF,V2,-4.3718729700509e-06
bandpass,independent,aVF,V3,-3.131802614741502e-05
bandpass,independent,aVF,V4,-2.9567646807789942e-05
bandpass,independent,aVF,V5,-2.0596988631194492e-05
bandpass,independent,aVF,V6,1.9284031666795685e-05
bandpass,independent,V1,I,1.1677498393607495e-05
bandpass,independent,V1,II,-1.7559707664855052e-05
bandpass,independent,V1,III,4.8913500175087e-05
bandpass,independent,V1,aVR,-2.1421805702881867e-05
bandpass,independent,V1,aVL,3.0409655431226738e-05
bandpass,independent,V1,aVF,1.1917018029904457e-06
bandpass,independent,V1,V1,0.005246654253680952
bandpass,independent,V1,V2,-1.398815945267227e-06
bandpass,independent,V1,V3,4.876876832383782e-05
bandpass,independent,V1,V4,2.3527575755897288e-05
bandpass,independent,V1,V5,-1.5202664826003476e-05
bandpass,independent,V1,V6,2.9685604710955268e-05
bandpass,independent,V2,I,3.621136381169805e-06
bandpass,independent,V2,II,-7.053497948872542e-06
bandpass,independent,V2,III,1.0328622205898129e-05
bandpass,independent,V2,aVR,-6.633815593311129e-06
bandpass,independent,V2,aVL,-1.4628983792177611e-05
bandpass,independent,V2,aVF,-4.3718729700509e-06
bandpass,independent,V2,V1,-1.398815945267227e-06
bandpass,independent,V2,V2,0.005292164490171237
bandpass,independent,V2,V3,6.829154269420374e-06
bandpass,independent,V2,V4,3.475226232108733e-05
bandpass,independent,V2,V5,2.0485296148467892e-05
bandpass,independent,V2,V6,-8.155640572326596e-06
bandpass,independent,V3,I,3.499885522725776e-05
bandpass,independent,V3,II,-1.4647363864574271e-05
bandpass,independent,V3,III,-1.6546116601219417e-05
bandpass,independent,V3,aVR,-1.2139385513209638e-05
bandpass,independent,V3,aVL,1.411233447369812e-05
bandpass,independent,V3,aVF,-3.131802614741502e-05
bandpass,independent,V3,V1,4.876876832383782e-05
bandpass,independent,V3,V2,6.829154269420374e-06
bandpass,independent,V3,V3,0.005306182718112117
bandpass,independent,V3,V4,-1.2583511398782868e-05
bandpass,independent,V3,V5,-1.390477151305719e-05
bandpass,independent,V3,V6,1.5014553239068858e-05
bandpass,independent,V4,I,5.264456482883432e-05
bandpass,independent,V4,II,-7.985645835652336e-07
bandpass,independent,V4,III,3.747828707371927e-05
bandpass,independent,V4,aVR,1.0308821132791813e-05
bandpass,independent,V4,aVL,6.275576058236722e-06
bandpass,independent,V4,aVF,-2.9567646807789942e-05
bandpass,independent,V4,V1,2.3527575755897288e-05
bandpass,independent,V4,V2,3.475226232108733e-05
bandpass,independent,V4,V3,-1.2583511398782868e-05
bandpass,independent,V4,V4,0.005267757976377097
bandpass,independent,V4,V5,2.252869162393471e-05
bandpass,independent,V4,V6,-4.250261826726725e-05
bandpass,independent,V5,I,2.1104257415366454e-05
bandpass,independent,V5,II,-9.00797182023842e-06
bandpass,independent,V5,III,-8.772061528348448e-06
bandpass,independent,V5,aVR,-9.191788579203417e-06
bandpass,independent,V5,aVL,2.512701040251337e-06
bandpass,independent,V5,aVF,-2.0596988631194492e-05
bandpass,independent,V5,V1,-1.5202664826003476e-05
bandpass,independent,V5,V2,2.0485296148467892e-05
bandpass,independent,V5,V3,-1.390477151305719e-05
bandpass,independent,V5,V4,2.252869162393471e-05
bandpass,independent,V5,V5,0.005223890094597361
bandpass,independent,V5,V6,-1.5179057863970946e-05
bandpass,independent,V6,I,4.3810132687434874e-05
bandpass,independent,V6,II,-2.7958089497078455e-05
bandpass,independent,V6,III,-1.9815988263877306e-06
bandpass,independent,V6,aVR,-4.541348197347141e-05
bandpass,independent,V6,aVL,2.8347528104849295e-05
bandpass,independent,V6,aVF,1.9284031666795685e-05
bandpass,independent,V6,V1,2.9685604710955268e-05
bandpass,independent,V6,V2,-8.155640572326596e-06
bandpass,independent,V6,V3,1.5014553239068858e-05
bandpass,independent,V6,V4,-4.250261826726725e-05
bandpass,independent,V6,V5,-1.5179057863970946e-05
bandpass,independent,V6,V6,0.0052868092369821665
bandpass,independent_rms,I,I,0.006845597338797959
bandpass,independent_rms,I,II,-2.326915846962174e-05
bandpass,independent_rms,I,III,-7.339994201156391e-06
bandpass,independent_rms,I,aVR,-2.6379599547204834e-05
bandpass,independent_rms,I,aVL,6.127057135300171e-06
bandpass,independent_rms,I,aVF,-6.502159983912273e-06
bandpass,independent_rms,I,V1,1.119218994413262e-05
bandpass,independent_rms,I,V2,4.2970860262055485e-06
bandpass,independent_rms,I,V3,3.540332416482219e-05
bandpass,independent_rms,I,V4,5.596460931243524e-05
bandpass,independent_rms,I,V5,2.4445832467371452e-05
bandpass,independent_rms,I,V6,4.657552952022789e-05
bandpass,independent_rms,II,I,-2.326915846962174e-05
bandpass,independent_rms,II,II,0.006853265131280618
bandpass,independent_rms,II,III,2.6225399318650822e-05
bandpass,independent_rms,II,aVR,-1.6084554190306896e-05
bandpass,independent_rms,II,aVL,-1.7981177432461277e-05
bandpass,independent_rms,II,aVF,-4.061599225101043e-05
bandpass,independent_rms,II,V1,-1.8872850897207185e-05
bandpass,independent_rms,II,V2,-8.173471183972527e-06
bandpass,independent_rms,II,V3,-1.634100602680314e-05
