kind,ecg_id,rank,jitter,min_eigenvalue,eigenvalue_tolerance,factor_residual
bandpass,8,8,0.0,-8.66816675892208e-18,1.05066698985018e-14,3.26408192328594e-17
bandpass,10,8,0.0,1.6347879601191213e-19,2.6648086709715976e-15,1.6823165673005688e-17
bandpass,26,8,0.0,-4.669054221858678e-18,5.724115714016678e-15,1.6087207997727724e-17
bandpass,28,8,0.0,-3.598352781999387e-18,5.6200169093029096e-15,1.6214081050236178e-17
bandpass,30,8,0.0,-1.190478876210417e-17,1.3492309580015994e-14,4.742370033347782e-17
bandpass,39,8,0.0,-3.2147726260680423e-18,5.270725854468436e-15,1.892806076997684e-17
bandpass,41,8,0.0,-5.861030218854217e-18,8.44408642001773e-15,4.4379778712052644e-17
bandpass,47,8,0.0,-1.348088867669938e-18,5.5747224007882e-15,1.19188719360118e-17
bandpass,48,8,0.0,-3.738385551465193e-18,3.572264961866737e-15,9.60318788859866e-18
bandpass,49,8,0.0,-3.187947461528606e-18,7.198783082693171e-15,2.3103889537908348e-17
bandpass,51,8,0.0,-2.758312378373934e-18,3.80890166334814e-15,2.7289689112521962e-17
bandpass,62,8,0.0,-4.5608541604094704e-18,3.705786867553508e-15,2.4742991936022295e-17
bandpass,69,8,0.0,-1.6174200079878796e-18,3.567073782803622e-15,1.5755544711259375e-17
bandpass,72,8,0.0,-2.0570833080625335e-18,3.631509707498181e-15,2.1761791262032122e-17
bandpass,91,8,0.0,-2.16470410923326e-18,2.3450194868224127e-15,6.426659517131137e-18
bandpass,94,8,0.0,-3.1793157824225824e-18,7.563073951704683e-15,2.587559139259025e-17
bandpass,127,8,0.0,-4.191282531460895e-18,4.398338673790587e-15,2.1028008061194087e-17
bandpass,134,8,0.0,-3.6936933171226423e-19,2.6092197039114598e-15,9.610265945797412e-18
bandpass,151,8,0.0,-2.328523795373504e-18,5.829494649235616e-15,3.053610883840088e-17
bandpass,152,8,0.0,-6.823576437225334e-18,8.567083878911233e-15,3.064414934245056e-17
bandpass,153,8,0.0,-3.1343825526873844e-18,2.5309803560977693e-15,1.0179677865651755e-17
bandpass,155,8,0.0,-5.257728282316651e-19,1.4606532426417512e-15,5.04767909655788e-18
bandpass,165,8,0.0,-2.6298798311352108e-18,3.612473779181435e-15,2.0545999646977255e-17
bandpass,170,8,0.0,-4.987911555271512e-18,6.5950187254988976e-15,2.3727903820107552e-17
bandpass,171,8,0.0,-2.028418162129889e-18,6.971926070236789e-15,4.2994398793284114e-17
bandpass,173,8,0.0,-8.239038405552662e-18,9.651384228400118e-15,4.205929912227097e-17
bandpass,178,8,0.0,-4.9963160265267376e-18,2.9563542232115687e-15,1.5173742874839058e-17
bandpass,184,8,0.0,-2.0889576266818864e-18,3.2640190837866316e-15,1.9961786150138077e-17
