kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bandpass,20,independent,all,I,0.021510899107956446,0.0005288577141165388,16.16847893959511,10.310665288863882,22.182602553263383
bandpass,20,independent,all,II,0.021467069305830335,0.0005277212457496985,17.05438230474911,9.861526620432338,22.041085688899173
bandpass,20,independent,all,III,0.0214511822227109,0.0005262352428060812,15.452753435148491,9.789015857410146,21.3990331306458
bandpass,20,independent,all,aVR,0.021409786079455186,0.0005252608257026424,15.927598579170496,9.089817979281227,20.748516726033134
bandpass,20,independent,all,aVL,0.021426618604150877,0.0005256436706432873,14.101266513963422,7.130790455376088,20.1739751189899
bandpass,20,independent,all,aVF,0.021424629316004473,0.0005256796625004207,14.914553932878317,8.419726701811696,20.142514948419834
bandpass,20,independent,all,V1,0.02143293303428386,0.0005246654253680952,18.70458363356498,13.486760822063175,24.326640039275347
bandpass,20,independent,all,V2,0.021483064914317722,0.0005292164490171239,22.544751246891174,16.541878847148173,26.5365451188899
bandpass,20,independent,all,V3,0.021512901073114224,0.0005306182718112116,22.14723156144114,18.03058963682862,25.74855843070482
bandpass,20,independent,all,V4,0.021441949877539355,0.0005267757976377096,21.391991038662717,17.960700948168114,24.940780778925795
bandpass,20,independent,all,V5,0.02140501054112933,0.0005223890094597358,20.187957970199868,15.961930291939186,23.80012737281835
bandpass,20,independent,all,V6,0.021509381343098405,0.0005286809236982166,19.036562089302777,13.927387192317347,23.128385088429958
bandpass,10,independent,all,I,0.06802343569922659,0.005288577141165388,6.168478939595113,0.31066528886388245,12.182602553263386
bandpass,10,independent,all,II,0.06788483369511358,0.005277212457496985,7.054382304749112,-0.13847337956766104,12.041085688899171
bandpass,10,independent,all,III,0.06783459432707976,0.005262352428060811,5.452753435148491,-0.2109841425898538,11.399033130645801
bandpass,10,independent,all,aVR,0.0677036882280451,0.005252608257026425,5.927598579170498,-0.9101820207187749,10.748516726033136
bandpass,10,independent,all,aVL,0.06775691734485449,0.005256436706432873,4.101266513963422,-2.8692095446239128,10.1739751189899
bandpass,10,independent,all,aVF,0.06775062666338948,0.005256796625004206,4.914553932878318,-1.5802732981883045,10.142514948419835
bandpass,10,independent,all,V1,0.06777688532620074,0.005246654253680953,8.70458363356498,3.486760822063177,14.326640039275345
bandpass,10,independent,all,V2,0.06793541625049404,0.005292164490171239,12.544751246891177,6.5418788471481735,16.536545118889897
bandpass,10,independent,all,V3,0.06802976646892146,0.0053061827181121145,12.147231561441139,8.030589636828617,15.748558430704819
bandpass,10,independent,all,V4,0.06780539908819282,0.005267757976377095,11.391991038662715,7.960700948168114,14.940780778925795
bandpass,10,independent,all,V5,0.06768858664988196,0.005223890094597358,10.187957970199864,5.961930291939186,13.800127372818348
bandpass,10,independent,all,V6,0.0680186361053226,0.0052868092369821665,9.03656208930278,3.9273871923173473,13.128385088429955
bandpass,0,independent,all,I,0.2151089910795645,0.05288577141165389,-3.831521060404887,-9.689334711136118,2.1826025532633855
bandpass,0,independent,all,II,0.21467069305830333,0.05277212457496985,-2.9456176952508883,-10.13847337956766,2.0410856888991717
bandpass,0,independent,all,III,0.21451182222710902,0.052623524280608125,-4.547246564851509,-10.210984142589854,1.399033130645802
bandpass,0,independent,all,aVR,0.2140978607945519,0.05252608257026425,-4.072401420829504,-10.910182020718775,0.7485167260331338
