model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,electrode_minus_independent_rms,all,loss,0.05358125456581854,0.04906007496469546,0.05812498799354032,9.999000099990002e-05,0.007199280071992801,0.5566911020207463,1877,2158,3,patient,2662046700376582324,2000,18323523666533878033,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.045245761999080224,0.7048481619605754,0.050254000154153156,0.04191246551970772
resnet,bandpass,0,all,electrode_minus_independent_rms,all,mean_probability,0.004714841205961402,0.0039309547457204224,0.005444098914795,9.999000099990002e-05,,0.26246278514291055,1877,2158,3,patient,8747934714243075321,2000,8549132040223604947,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.00516828199227651,0.6228023441662227,0.004953285374527883,0.004667461855381513
resnet,bandpass,0,all,electrode_minus_independent_rms,all,probability_shift,0.027952412204544533,0.02617545888257774,0.02955995952912451,9.999000099990002e-05,,0.7268158448938109,1877,2158,3,patient,15526541367543019616,2000,134220581325899820,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.024428931685785454,0.7693127330847096,0.02665182600141351,0.023132913360331846
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,-0.020754141596072695,-0.027512353103183323,-0.013995930088962067,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,-0.02977249434744182,-0.04231103503074599,-0.017233953664137644,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,-0.06159660257606433,-0.07834207438437887,-0.04485113076774978,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent,all,loss,0.05563514280168249,0.051429322825857646,0.05980792554682996,9.999000099990002e-05,0.007199280071992801,0.5720441285059348,1877,2158,3,patient,8270862914532235796,2000,15473724806255252155,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.047698882712010414,0.7091102823654768,0.05230279906051527,0.04356282566557809
resnet,bandpass,0,all,electrode_minus_independent,all,mean_probability,0.005378543833873371,0.004559660463846929,0.006163747500931536,9.999000099990002e-05,,0.2989523234734321,1877,2158,3,patient,9800682188222638348,2000,11907618193930408779,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0057885485390822096,0.6409163558870538,0.005562473527529429,0.0050761061921022225
resnet,bandpass,0,all,electrode_minus_independent,all,probability_shift,0.029357408715901343,0.02751114912194635,0.031072877695419658,9.999000099990002e-05,,0.755894564601858,1877,2158,3,patient,16560102528320767303,2000,6256792656630487780,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.025471204643448195,0.7725093233883857,0.028044032957287985,0.02447326714382773
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,-0.02161636305548953,-0.029339602558499957,-0.013893123552479101,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
