kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
bandpass,0,covariance,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,covariance,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,covariance,all,macro_f1,2,-0.9999999999999999,-1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,electrode,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,electrode,all,macro_f1,2,-0.9999999999999999,-1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent_rms,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent_rms,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,0,independent_rms,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,covariance,LA,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,covariance,LA,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,covariance,LA,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,covariance,LL,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
