model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
resnet,bandpass,0,covariance,all,macro_ap,0.6362627028595188,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,covariance,all,macro_ap,0.7401385728496234,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,covariance,all,macro_auroc,0.8143454893530077,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,covariance,all,macro_auroc,0.8775116388394525,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,covariance,all,macro_f1,0.48381766888607475,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,covariance,all,macro_f1,0.4793151140315293,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,electrode,all,macro_ap,0.6382560543930028,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,electrode,all,macro_ap,0.7388107894030572,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,electrode,all,macro_auroc,0.8152550734909578,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,electrode,all,macro_auroc,0.8784179501912531,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,electrode,all,macro_f1,0.48588955782737747,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,electrode,all,macro_f1,0.4802955664610515,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent,all,macro_ap,0.6700134797567673,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent,all,macro_ap,0.761216815693071,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent,all,macro_auroc,0.8368714365464474,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent,all,macro_auroc,0.8920694340284947,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent,all,macro_f1,0.5487236211852968,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent,all,macro_f1,0.5832495480505773,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent_rms,all,macro_ap,0.6680285487404447,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent_rms,all,macro_ap,0.7594384313796508,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent_rms,all,macro_auroc,0.8360092150870306,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent_rms,all,macro_auroc,0.8911081430900337,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,0,independent_rms,all,macro_f1,0.5474861604034419,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,0,independent_rms,all,macro_f1,0.5770744024005393,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LA,macro_ap,0.7662746294594216,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LA,macro_ap,0.8015407806558507,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LA,macro_auroc,0.8957528332279153,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LA,macro_auroc,0.9139813281839145,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LA,macro_f1,0.6885724588606886,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LA,macro_f1,0.7126912868627681,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LL,macro_ap,0.7616811215527367,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LL,macro_ap,0.8029727345275096,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LL,macro_auroc,0.8923359169530173,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LL,macro_auroc,0.9142957912751917,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,LL,macro_f1,0.6760255197921082,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,LL,macro_f1,0.7201059066854324,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,RA,macro_ap,0.768106315629991,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,RA,macro_ap,0.8039323644472671,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,RA,macro_auroc,0.8959781990085599,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,RA,macro_auroc,0.9151662506266461,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,RA,macro_f1,0.694348003675567,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,RA,macro_f1,0.7251072515201361,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V1,macro_ap,0.7708246045609629,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V1,macro_ap,0.8069422901733564,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V1,macro_auroc,0.8984102758233298,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V1,macro_auroc,0.917321302780191,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V1,macro_f1,0.7010848683933872,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V1,macro_f1,0.7289204294703833,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V2,macro_ap,0.7740254356581194,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V2,macro_ap,0.8076666676198482,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V2,macro_auroc,0.9003878257905015,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
