model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,0,covariance,all,macro_auroc,0.9068922993183458,0.7972965623388999,0.10959573697944591,0.8791524229914607
resnet,17,bandpass,0,covariance,all,macro_ap,0.7807184945903615,0.6124503192116818,0.16826817537867966,0.7844701047235297
resnet,17,bandpass,0,covariance,all,macro_f1,0.7118815125857424,0.468311885378585,0.2435696272071574,0.6578508882424748
resnet,17,bandpass,0,covariance,all,auroc_NORM,0.9340980287369056,0.8672480089677915,0.06685001976911409,0.9284336143387032
resnet,17,bandpass,0,covariance,all,auroc_MI,0.88623473541384,0.6836092265943012,0.20262550881953878,0.771363612005468
resnet,17,bandpass,0,covariance,all,auroc_STTC,0.9193764165289954,0.7874828375017733,0.1318935790272221,0.8565401758661285
resnet,17,bandpass,0,covariance,all,auroc_CD,0.9032148887853731,0.8114264294864328,0.0917884592989403,0.8983758345444526
resnet,17,bandpass,0,covariance,all,auroc_HYP,0.8915374271266145,0.8367163091442007,0.05482111798241385,0.9385094598215149
resnet,17,bandpass,0,covariance,all,ap_NORM,0.9086485024952592,0.8208068549433492,0.08784164755191004,0.9033271421109599
resnet,17,bandpass,0,covariance,all,ap_MI,0.7463392051587087,0.469640646871446,0.27669855828726264,0.6292589798641864
resnet,17,bandpass,0,covariance,all,ap_STTC,0.8025813723497355,0.5623359811333383,0.2402453912163972,0.700659148724414
resnet,17,bandpass,0,covariance,all,ap_CD,0.8134023735586858,0.6850338214098373,0.12836855214884857,0.8421832092915216
resnet,17,bandpass,0,covariance,all,ap_HYP,0.632621019389418,0.5244342917004383,0.10818672768897963,0.8289865110801624
resnet,17,bandpass,0,covariance,all,f1_NORM,0.8484848484848485,0.2562724014336917,0.5922124470511568,0.30203533026078067
resnet,17,bandpass,0,covariance,all,f1_MI,0.6786885245901639,0.4769568397951719,0.20173168479499204,0.7027624934169715
resnet,17,bandpass,0,covariance,all,f1_STTC,0.7306967984934086,0.5461254612546126,0.18457133723879604,0.7474036596025836
resnet,17,bandpass,0,covariance,all,f1_CD,0.7054871220604704,0.5622047244094488,0.14328239765102158,0.796902887137978
resnet,17,bandpass,0,covariance,all,f1_HYP,0.5960502692998204,0.5,0.09605026929982041,0.8388554216853398
resnet,17,bandpass,0,electrode,all,macro_auroc,0.9068922993183458,0.7990826108255347,0.10780968849281114,0.8811218393024993
resnet,17,bandpass,0,electrode,all,macro_ap,0.7807184945903615,0.6166453303931819,0.16407316419717954,0.7898433746160226
resnet,17,bandpass,0,electrode,all,macro_f1,0.7118815125857424,0.4713649167852632,0.24051659580047918,0.6621395674014328
resnet,17,bandpass,0,electrode,all,auroc_NORM,0.9340980287369056,0.8666119214275472,0.06748610730935845,0.9277526498995599
resnet,17,bandpass,0,electrode,all,auroc_MI,0.88623473541384,0.6923852329262777,0.19384950248756228,0.781266187453347
resnet,17,bandpass,0,electrode,all,auroc_STTC,0.9193764165289954,0.7823003786009003,0.13707603792809508,0.8509032476094378
resnet,17,bandpass,0,electrode,all,auroc_CD,0.9032148887853731,0.8163272485540158,0.08688764023135731,0.9038018069552574
resnet,17,bandpass,0,electrode,all,auroc_HYP,0.8915374271266145,0.8377882726189325,0.05374915450768203,0.9397118361235233
resnet,17,bandpass,0,electrode,all,ap_NORM,0.9086485024952592,0.8227582184943621,0.08589028400089704,0.905474687113953
resnet,17,bandpass,0,electrode,all,ap_MI,0.7463392051587087,0.4844865136132318,0.26185269154547686,0.6491505608492815
resnet,17,bandpass,0,electrode,all,ap_STTC,0.8025813723497355,0.5548547470106774,0.2477266253390581,0.6913376837859136
resnet,17,bandpass,0,electrode,all,ap_CD,0.8134023735586858,0.6903805265373313,0.12302184702135455,0.8487564690966231
resnet,17,bandpass,0,electrode,all,ap_HYP,0.632621019389418,0.5307466463103067,0.10187437307911129,0.8389646092090403
resnet,17,bandpass,0,electrode,all,f1_NORM,0.8484848484848485,0.2740213523131672,0.5744634961716812,0.32295373665442356
resnet,17,bandpass,0,electrode,all,f1_MI,0.6786885245901639,0.4652173913043478,0.21347113328581613,0.6854652383942851
resnet,17,bandpass,0,electrode,all,f1_STTC,0.7306967984934086,0.5402504472271914,0.19044635126621723,0.7393633697867167
resnet,17,bandpass,0,electrode,all,f1_CD,0.7054871220604704,0.5678033306899286,0.13768379137054176,0.804838689373631
resnet,17,bandpass,0,electrode,all,f1_HYP,0.5960502692998204,0.5095320623916811,0.08651820690813927,0.8548474661195491
resnet,17,bandpass,0,independent,all,macro_auroc,0.9068922993183458,0.8198729838561926,0.08701931546215325,0.9040466927236407
resnet,17,bandpass,0,independent,all,macro_ap,0.7807184945903615,0.6462208205001773,0.1344976740901842,0.827725774369439
resnet,17,bandpass,0,independent,all,macro_f1,0.7118815125857424,0.5372097858027637,0.1746717267829787,0.7546337084253258
resnet,17,bandpass,0,independent,all,auroc_NORM,0.9340980287369056,0.8812940731761364,0.05280395556076922,0.9434706487571604
resnet,17,bandpass,0,independent,all,auroc_MI,0.88623473541384,0.7334215287200363,0.15281320669380372,0.8275702806624106
resnet,17,bandpass,0,independent,all,auroc_STTC,0.9193764165289954,0.8101332314038249,0.1092431851251705,0.8811768681880189
resnet,17,bandpass,0,independent,all,auroc_CD,0.9032148887853731,0.8355823725787043,0.06763251620666888,0.925120237667312
resnet,17,bandpass,0,independent,all,auroc_HYP,0.8915374271266145,0.8389337134022611,0.05260371372435346,0.9409966288293315
resnet,17,bandpass,0,independent,all,ap_NORM,0.9086485024952592,0.8365921098711231,0.0720563926241361,0.9206993766817629
resnet,17,bandpass,0,independent,all,ap_MI,0.7463392051587087,0.5277764201996867,0.21856278495902193,0.7071535523673156
resnet,17,bandpass,0,independent,all,ap_STTC,0.8025813723497355,0.6190056216995727,0.18357575065016274,0.7712683635885105
resnet,17,bandpass,0,independent,all,ap_CD,0.8134023735586858,0.7161064995580527,0.09729587400063311,0.8803840790679797
resnet,17,bandpass,0,independent,all,ap_HYP,0.632621019389418,0.5316234511724509,0.10099756821696704,0.8403505967675775
resnet,17,bandpass,0,independent,all,f1_NORM,0.8484848484848485,0.4706778370144707,0.3778070114703778,0.554727450766401
resnet,17,bandpass,0,independent,all,f1_MI,0.6786885245901639,0.518888096935139,0.1598004276550249,0.7645452635989576
resnet,17,bandpass,0,independent,all,f1_STTC,0.7306967984934086,0.5733672603901612,0.15732953810324746,0.7846856063576261
resnet,17,bandpass,0,independent,all,f1_CD,0.7054871220604704,0.6010928961748634,0.10439422588560698,0.8520253274339558
resnet,17,bandpass,0,independent,all,f1_HYP,0.5960502692998204,0.5220228384991843,0.07402743080063612,0.8758033766372225
resnet,17,bandpass,0,independent_rms,all,macro_auroc,0.9068922993183458,0.8190409051560843,0.08785139416226151,0.9031291871932345
resnet,17,bandpass,0,independent_rms,all,macro_ap,0.7807184945903615,0.6438434571501791,0.13687503744018237,0.8246806776201394
resnet,17,bandpass,0,independent_rms,all,macro_f1,0.7118815125857424,0.533109027245248,0.1787724853404944,0.7488732574443545
resnet,17,bandpass,0,independent_rms,all,auroc_NORM,0.9340980287369056,0.8806119301172678,0.05348609861963782,0.9427403795157293
resnet,17,bandpass,0,independent_rms,all,auroc_MI,0.88623473541384,0.7331422433288106,0.1530924920850294,0.8272551436224536
resnet,17,bandpass,0,independent_rms,all,auroc_STTC,0.9193764165289954,0.8089302443376947,0.1104461721913007,0.8798683866515111
resnet,17,bandpass,0,independent_rms,all,auroc_CD,0.9032148887853731,0.8344117561430069,0.06880313264236626,0.9238241823761173
resnet,17,bandpass,0,independent_rms,all,auroc_HYP,0.8915374271266145,0.8381083518536412,0.05342907527297336,0.9400708555263766
resnet,17,bandpass,0,independent_rms,all,ap_NORM,0.9086485024952592,0.8359251038129552,0.07272339868230404,0.9199653127875997
resnet,17,bandpass,0,independent_rms,all,ap_MI,0.7463392051587087,0.5262211703661448,0.22011803479256387,0.7050697145857949
resnet,17,bandpass,0,independent_rms,all,ap_STTC,0.8025813723497355,0.614421915013487,0.1881594573362485,0.7655571586640051
resnet,17,bandpass,0,independent_rms,all,ap_CD,0.8134023735586858,0.7150544193407171,0.09834795421796871,0.8790906476107644
resnet,17,bandpass,0,independent_rms,all,ap_HYP,0.632621019389418,0.5275946772175912,0.10502634217182671,0.8339822121717863
resnet,17,bandpass,0,independent_rms,all,f1_NORM,0.8484848484848485,0.4544049459041731,0.39407990258067543,0.5355486862435728
resnet,17,bandpass,0,independent_rms,all,f1_MI,0.6786885245901639,0.5212464589235127,0.1574420656666512,0.7680201447895514
resnet,17,bandpass,0,independent_rms,all,f1_STTC,0.7306967984934086,0.5723849372384937,0.15831186125491492,0.7833412414258356
resnet,17,bandpass,0,independent_rms,all,f1_CD,0.7054871220604704,0.6005459508644222,0.10494117119604818,0.8512500541605854
resnet,17,bandpass,0,independent_rms,all,f1_HYP,0.5960502692998204,0.5169628432956381,0.07908742600418228,0.8673141678168295
resnet,17,bandpass,10,covariance,LA,macro_auroc,0.9068922993183458,0.8912951597312807,0.0155971395870651,0.9828015525109528
resnet,17,bandpass,10,covariance,LA,macro_ap,0.7807184945903615,0.7538305808242379,0.02688791376612354,0.9655600399460281
resnet,17,bandpass,10,covariance,LA,macro_f1,0.7118815125857424,0.6780123842847681,0.03386912830097433,0.9524230820675409
