model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,ap_CD_clean_drop,3,0.10835138609279867,0.026193815289878342,0.043282341717395825,0.1734204304682015
resnet,bandpass,0,covariance,all,ap_CD_normalized_robustness,3,0.8657912899128734,0.03172851491538765,0.7869732894747028,0.9446092903510439
resnet,bandpass,0,covariance,all,ap_HYP_clean_drop,3,0.09177743561486414,0.015162102696657496,0.05411268451713263,0.12944218671259564
resnet,bandpass,0,covariance,all,ap_HYP_normalized_robustness,3,0.8568474800331117,0.02451107152148199,0.7959586029119433,0.9177363571542801
resnet,bandpass,0,covariance,all,ap_MI_clean_drop,3,0.23416228437551226,0.037212677649509876,0.1417208684723017,0.3266037002787228
resnet,bandpass,0,covariance,all,ap_MI_normalized_robustness,3,0.6923717577103656,0.0555913575380867,0.5542751700043198,0.8304683454164115
resnet,bandpass,0,covariance,all,ap_NORM_clean_drop,3,0.11163440440286265,0.027194307085873858,0.044080000626761345,0.17918880817896396
resnet,bandpass,0,covariance,all,ap_NORM_normalized_robustness,3,0.8768162307775698,0.030753825397453537,0.8004194933281171,0.9532129682270224
resnet,bandpass,0,covariance,all,ap_STTC_clean_drop,3,0.20310568130803422,0.03314718101747985,0.12076351890531827,0.28544784371075016
resnet,bandpass,0,covariance,all,ap_STTC_normalized_robustness,3,0.74953153096576,0.043810250291624574,0.6407008360564631,0.8583622258750568
resnet,bandpass,0,covariance,all,auroc_CD_clean_drop,3,0.07166477427118507,0.017783833661525434,0.027487282413642254,0.11584226612872789
resnet,bandpass,0,covariance,all,auroc_CD_normalized_robustness,3,0.9202794999803866,0.01936762071954921,0.8721676629646735,0.9683913369960997
resnet,bandpass,0,covariance,all,auroc_HYP_clean_drop,3,0.04713519019551008,0.006936437260498248,0.029904124811729767,0.06436625557929039
resnet,bandpass,0,covariance,all,auroc_HYP_normalized_robustness,3,0.9472067814593385,0.00779338970374605,0.9278469281941361,0.9665666347245409
resnet,bandpass,0,covariance,all,auroc_MI_clean_drop,3,0.15554179858284337,0.04217007674574173,0.05078552063263887,0.2602980765330479
resnet,bandpass,0,covariance,all,auroc_MI_normalized_robustness,3,0.8251417175567598,0.04831741417997554,0.7051146068595098,0.9451688282540098
resnet,bandpass,0,covariance,all,auroc_NORM_clean_drop,3,0.08191625716358826,0.02026119587880957,0.031584656396500765,0.13224785793067576
resnet,bandpass,0,covariance,all,auroc_NORM_normalized_robustness,3,0.9122301230690306,0.02187721122368305,0.8578841176410255,0.9665761284970358
resnet,bandpass,0,covariance,all,auroc_STTC_clean_drop,3,0.11118797513201399,0.018199586543537396,0.06597769586150917,0.1563982544025188
resnet,bandpass,0,covariance,all,auroc_STTC_normalized_robustness,3,0.8796175164656016,0.0202793790262721,0.8292407462561847,0.9299942866750185
resnet,bandpass,0,covariance,all,f1_CD_clean_drop,3,0.11918814165314473,0.026396428050553068,0.053615779278074205,0.18476050402821526
resnet,bandpass,0,covariance,all,f1_CD_normalized_robustness,3,0.8317451415033191,0.038029349851321934,0.7372749993854743,0.926215283621164
