model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,17,0.7990826108255347,0.8190409051560843,-0.01995829433054963,3,-0.020754141596072695,0.0027205462383293254,-0.027512353103183323,-0.013995930088962067
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,29,0.8165355118588782,0.8403193715672183,-0.02378385970834007,3,-0.020754141596072695,0.0027205462383293254,-0.027512353103183323,-0.013995930088962067
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,43,0.8301470977884609,0.8486673685377892,-0.018520270749328382,3,-0.020754141596072695,0.0027205462383293254,-0.027512353103183323,-0.013995930088962067
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,17,0.6166453303931819,0.6438434571501791,-0.027198126756997176,3,-0.02977249434744182,0.005047441864495051,-0.04231103503074599,-0.017233953664137644
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,29,0.642441005946759,0.6780290549893615,-0.03558804904260249,3,-0.02977249434744182,0.005047441864495051,-0.04231103503074599,-0.017233953664137644
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,43,0.6556818268390676,0.6822131340817934,-0.026531307242725788,3,-0.02977249434744182,0.005047441864495051,-0.04231103503074599,-0.017233953664137644
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,17,0.4713649167852632,0.533109027245248,-0.06174411045998479,3,-0.06159660257606433,0.006740959540734623,-0.07834207438437887,-0.04485113076774978
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,29,0.4665493745944424,0.534811972229656,-0.06826259763521364,3,-0.06159660257606433,0.006740959540734623,-0.07834207438437887,-0.04485113076774978
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,43,0.5197543821024269,0.5745374817354214,-0.05478309963299455,3,-0.06159660257606433,0.006740959540734623,-0.07834207438437887,-0.04485113076774978
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,17,0.7990826108255347,0.8198729838561926,-0.020790373030657894,3,-0.02161636305548953,0.0031090222843017518,-0.029339602558499957,-0.013893123552479101
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,29,0.8165355118588782,0.8415904814225714,-0.02505496956369324,3,-0.02161636305548953,0.0031090222843017518,-0.029339602558499957,-0.013893123552479101
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,43,0.8301470977884609,0.8491508443605783,-0.019003746572117453,3,-0.02161636305548953,0.0031090222843017518,-0.029339602558499957,-0.013893123552479101
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,17,0.6166453303931819,0.6462208205001773,-0.02957549010699534,3,-0.03175742536376447,0.005414939566606403,-0.045208880947853726,-0.01830596977967521
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,29,0.642441005946759,0.6803639372835706,-0.03792293133681157,3,-0.03175742536376447,0.005414939566606403,-0.045208880947853726,-0.01830596977967521
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,43,0.6556818268390676,0.6834556814865541,-0.027773854647486496,3,-0.03175742536376447,0.005414939566606403,-0.045208880947853726,-0.01830596977967521
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,17,0.4713649167852632,0.5372097858027637,-0.06584486901750047,3,-0.06283406335791941,0.005888145850405164,-0.07746102851701583,-0.04820709819882299
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,29,0.4665493745944424,0.5331573862679129,-0.06660801167347047,3,-0.06283406335791941,0.005888145850405164,-0.07746102851701583,-0.04820709819882299
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,43,0.5197543821024269,0.5758036914852142,-0.05604930938278729,3,-0.06283406335791941,0.005888145850405164,-0.07746102851701583,-0.04820709819882299
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,17,0.7972965623388999,0.7990826108255347,-0.0017860484866347726,3,-0.0009095841379503181,0.0010216606072043382,-0.0034475297808849044,0.0016283615049842684
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,29,0.8167480078903882,0.8165355118588782,0.00021249603150996776,3,-0.0009095841379503181,0.0010216606072043382,-0.0034475297808849044,0.0016283615049842684
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_auroc,43,0.8289918978297347,0.8301470977884609,-0.0011551999587261497,3,-0.0009095841379503181,0.0010216606072043382,-0.0034475297808849044,0.0016283615049842684
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,17,0.6124503192116818,0.6166453303931819,-0.004195011181500119,3,-0.0019933515334841223,0.0020707070937300925,-0.007137273114944225,0.00315057004797598
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,29,0.6423561654638492,0.642441005946759,-8.484048290979818e-05,3,-0.0019933515334841223,0.0020707070937300925,-0.007137273114944225,0.00315057004797598
resnet,bandpass,0,all,covariance_minus_electrode,all,macro_ap,43,0.6539816239030252,0.6556818268390676,-0.0017002029360424498,3,-0.0019933515334841223,0.0020707070937300925,-0.007137273114944225,0.00315057004797598
