model,seed,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
resnet,17,101,20,0.0006734866516711069,0.0005300600727878857,0.002953149240044417,0.00028936292313580525
resnet,29,101,20,0.0001070566870428058,-0.0003763181206688504,-0.003717815039996908,-0.000942094184030573
resnet,43,101,20,-0.00028539318796882984,-0.00024945254902686287,0.0001998069744946207,8.169535151869578e-05
tcn,17,101,20,0.00040953049115044493,0.0009582253716458045,0.0016599212057379908,-0.0014922196919834874
tcn,29,101,20,0.0004472605213162728,0.0008384555847751329,0.0009562151043491784,-0.0020441060198269634
tcn,43,101,20,0.00028090452605178395,0.0004950973502244604,0.00028532384980162195,-0.0020952758124833104
resnet,17,101,10,-0.0033554596851625984,-0.005378112299834759,-0.008123989823375255,0.013187735290997982
resnet,29,101,10,-0.0005964878632549464,-0.0024484470462917685,-0.006634178049685802,0.0034313355119903743
resnet,43,101,10,-0.001666542398707449,-0.004312856318879232,-0.006034504765090598,0.006724361648454191
tcn,17,101,10,0.0006650496335858236,0.0015616893631987816,0.0049140344342581965,-0.003122841203894111
tcn,29,101,10,-0.00046238564862743914,-0.0006959142324944878,-0.008020224929762176,0.002439887000931895
tcn,43,101,10,-6.511323773794597e-05,-0.0007782374480034271,-0.0048064913071501625,-0.006510616490878918
resnet,17,101,0,-0.020961113261856568,-0.02715401789513494,-0.06330287743146423,0.06429205617682188
resnet,29,101,0,-0.01753083901400032,-0.031045981789563526,-0.052223411147861554,0.02752223366202705
resnet,43,101,0,-0.015727595582160747,-0.02926417475597931,-0.06299834461853315,0.06491913123532822
tcn,17,101,0,-0.006456620101876642,-0.009483061162613438,-0.07475198592223464,0.05638072676970385
tcn,29,101,0,-0.015278006579070635,-0.021651135847655434,-0.08970352944928311,0.15435274431664847
tcn,43,101,0,-0.010263191045334352,-0.020254550644274727,-0.13291862932721443,0.07410421693289415
resnet,17,202,20,-0.0008434177940991328,-0.0021062509764022685,0.0011396928477910295,0.0026781442450645176
