model,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
resnet,101,0,-0.018073182619339212,-0.029154724813559258,-0.05950821106595298,0.05224447369139238
resnet,101,10,-0.0018728299823749979,-0.004046471888335253,-0.006930890879383885,0.007781144150480849
resnet,101,20,0.00016505005024836095,-3.190353230260919e-05,-0.0001882862751526234,-0.00019034530312535733
resnet,202,0,-0.01949467049903501,-0.03406289537343362,-0.06706545853488872,0.0535996926377198
resnet,202,10,-0.0024491763756990803,-0.00494962885582247,-0.009192501111251547,0.009467300488982608
resnet,202,20,-0.0003781350452330967,-0.001134974366913159,-0.00015170757162474846,0.0009255608938518919
resnet,303,0,-0.018349909342797417,-0.03150507850304862,-0.06291216437847953,0.051630473180553006
resnet,303,10,-0.0037391397581793737,-0.006665873577776593,-0.005789809334938038,0.010650439778196371
resnet,303,20,-0.0009112255715216048,-0.0019953956634849077,-0.0021196185094872386,0.0016420647736201295
resnet,404,0,-0.01919590269512572,-0.02871150013099359,-0.06440158879561335,0.051815648620955425
resnet,404,10,-0.002305262432147237,-0.004063578539466299,-0.007997601387772021,0.007575287077921451
resnet,404,20,-0.0001341775163664257,-0.00011624106585591172,0.00039618051975357876,3.4960247207671546e-05
resnet,505,0,-0.018912172315208513,-0.030879572886223044,-0.06570499502717313,0.05083055101230279
resnet,505,10,-0.000689883823312735,-4.64395529747863e-05,-0.006204993291072269,0.005169185696195826
resnet,505,20,0.00048124611642471243,0.001004402172624282,0.002257199304413556,-0.0011369270669445524
tcn,101,0,-0.010665939242093877,-0.017129582551514533,-0.0991247148995774,0.0949458960064155
tcn,101,10,4.585024907347949e-05,2.9179227566955568e-05,-0.002637560600884714,-0.0023978568979470447
tcn,101,20,0.0003792318461728339,0.0007639261022151326,0.000967153386629597,-0.0018772005080979204
tcn,202,0,-0.012552052769992087,-0.01966931438354654,-0.09560071487180057,0.09523787054568812
tcn,202,10,-0.0011414445412626744,-0.0023530887935795017,-0.00724289011603078,0.001046148640428235
tcn,202,20,-5.1925404873753855e-05,-0.00021696380435439386,0.0002500911417658476,-0.0007914965643622077
tcn,303,0,-0.013236430323902685,-0.020830686194437547,-0.09956109283762486,0.09475990504092803
tcn,303,10,-0.0007524561118446386,-0.0008167500977839989,-0.005169417818198944,0.0001480335229719539
tcn,303,20,6.478192305903185e-05,0.00029034639287521075,0.002058047713639969,-0.0009183098198934184
tcn,404,0,-0.013932437573371962,-0.020709640055319684,-0.10199524889479487,0.09624031558304029
tcn,404,10,-0.0007828357396060618,-0.0013036298163734417,-0.006478620086195856,2.4649641975941588e-05
tcn,404,20,1.3635547965370106e-05,8.046043343978848e-05,0.0007005808160207572,-0.0009695111853392594
tcn,505,0,-0.01182771514992039,-0.01727415986613993,-0.09798055698860132,0.09416811062827275
tcn,505,10,1.8518218222814593e-05,0.00023963368908016167,-0.005448330627540465,-0.0016931219099629764
tcn,505,20,0.000155403039954131,0.0004934881789370552,0.0005845303461550581,-0.0013295571142206881
