kind,condition,low_hz,high_hz,mean_psd,integrated_power
bandpass,independent,0.0,0.5,3.692641769055206e-05,2.8848763820743795e-05
bandpass,independent,0.5,5.0,0.00012709453006694022,0.0005461093088813838
bandpass,independent,5.0,15.0,0.0001265393545003117,0.0012851653191437908
bandpass,independent,15.0,40.0,0.00012714144182188552,0.003178536045547138
bandpass,independent,40.0,50.0,1.1190027663554331e-06,1.0927761390189777e-05
bandpass,independent_rms,0.0,0.5,3.6786217112966965e-05,2.873923211950544e-05
bandpass,independent_rms,0.5,5.0,0.00012720824051346555,0.0005465979084562974
bandpass,independent_rms,5.0,15.0,0.0001265797749104693,0.0012855758389344538
bandpass,independent_rms,15.0,40.0,0.00012708924522551924,0.003177231130637981
bandpass,independent_rms,40.0,50.0,1.1253825805546185e-06,1.0990064263228697e-05
bandpass,electrode,0.0,0.5,3.6733390249592944e-05,2.8697961132494488e-05
bandpass,electrode,0.5,5.0,0.00012795923640146302,0.0005498248439125364
bandpass,electrode,5.0,15.0,0.00012857449905480552,0.0013058347560253685
bandpass,electrode,15.0,40.0,0.00012595282781264984,0.003148820695316246
bandpass,electrode,40.0,50.0,1.140034158695859e-06,1.1133146081014249e-05
bandpass,covariance,0.0,0.5,3.799116457984882e-05,2.9680597328006892e-05
bandpass,covariance,0.5,5.0,0.00012336920489238948,0.0005301020522719861
bandpass,covariance,5.0,15.0,0.00012745711169370662,0.0012944862906392077
bandpass,covariance,15.0,40.0,0.00012672261904153408,0.0031680654760383523
bandpass,covariance,40.0,50.0,1.0761416112671758e-06,1.0509195422531014e-05
bw,independent,0.0,0.5,0.000943484034243124,0.0007370969017524406
bw,independent,0.5,5.0,3.1665802032046946e-05,0.00013606399310645172
bw,independent,5.0,15.0,3.479311965259038e-07,3.5336762147162105e-06
bw,independent,15.0,40.0,2.5054993490547965e-07,6.263748372636991e-06
bw,independent,40.0,50.0,1.599799322691676e-07,1.5623040260660896e-06
bw,independent_rms,0.0,0.5,0.001086905378262591,0.0008491448267676492
bw,independent_rms,0.5,5.0,4.3154333653478944e-05,0.00018542877741729234
bw,independent_rms,5.0,15.0,7.99570919709059e-07,8.12064215329513e-06
bw,independent_rms,15.0,40.0,4.690227639485421e-07,1.1725569098713552e-05
bw,independent_rms,40.0,50.0,2.987974748718529e-07,2.917944090545439e-06
bw,electrode,0.0,0.5,0.0009265370508706519,0.0007238570709926968
bw,electrode,0.5,5.0,2.8398714345875145e-05,0.00012202572570493226
bw,electrode,5.0,15.0,2.8367749307969e-07,2.8810995390906016e-06
bw,electrode,15.0,40.0,1.7842256735893791e-07,4.460564183973448e-06
bw,electrode,40.0,50.0,1.1132122139737856e-07,1.087121302708775e-06
bw,covariance,0.0,0.5,0.001034209906571662,0.0008079764895091109
bw,covariance,0.5,5.0,3.0727260484151026e-05,0.00013203119739283643
bw,covariance,5.0,15.0,3.694759477102328e-07,3.752490093932052e-06
bw,covariance,15.0,40.0,2.4669449594973585e-07,6.1673623987433966e-06
bw,covariance,40.0,50.0,1.5715334540116577e-07,1.5347006386832594e-06
ma,independent,0.0,0.5,0.0011628866039524956,0.0009085051593378872
