kind,ecg_id,rank,jitter,min_eigenvalue,eigenvalue_tolerance,factor_residual
bandpass,10,8,0.0,1.6347879601191213e-19,2.6648086709715976e-15,1.6823165673005688e-17
bandpass,26,8,0.0,-4.669054221858678e-18,5.724115714016678e-15,1.6087207997727724e-17
bandpass,30,8,0.0,-1.190478876210417e-17,1.3492309580015994e-14,4.742370033347782e-17
bandpass,39,8,0.0,-3.2147726260680423e-18,5.270725854468436e-15,1.892806076997684e-17
bandpass,41,8,0.0,-5.861030218854217e-18,8.44408642001773e-15,4.4379778712052644e-17
bandpass,48,8,0.0,-3.738385551465193e-18,3.572264961866737e-15,9.60318788859866e-18
bandpass,49,8,0.0,-3.187947461528606e-18,7.198783082693171e-15,2.3103889537908348e-17
bandpass,51,8,0.0,-2.758312378373934e-18,3.80890166334814e-15,2.7289689112521962e-17
bandpass,62,8,0.0,-4.5608541604094704e-18,3.705786867553508e-15,2.4742991936022295e-17
bandpass,72,8,0.0,-2.0570833080625335e-18,3.631509707498181e-15,2.1761791262032122e-17
bandpass,91,8,0.0,-2.16470410923326e-18,2.3450194868224127e-15,6.426659517131137e-18
bandpass,94,8,0.0,-3.1793157824225824e-18,7.563073951704683e-15,2.587559139259025e-17
bandpass,127,8,0.0,-4.191282531460895e-18,4.398338673790587e-15,2.1028008061194087e-17
bandpass,134,8,0.0,-3.6936933171226423e-19,2.6092197039114598e-15,9.610265945797412e-18
bandpass,151,8,0.0,-2.328523795373504e-18,5.829494649235616e-15,3.053610883840088e-17
bandpass,152,8,0.0,-6.823576437225334e-18,8.567083878911233e-15,3.064414934245056e-17
bandpass,153,8,0.0,-3.1343825526873844e-18,2.5309803560977693e-15,1.0179677865651755e-17
bandpass,155,8,0.0,-5.257728282316651e-19,1.4606532426417512e-15,5.04767909655788e-18
bandpass,165,8,0.0,-2.6298798311352108e-18,3.612473779181435e-15,2.0545999646977255e-17
bandpass,170,8,0.0,-4.987911555271512e-18,6.5950187254988976e-15,2.3727903820107552e-17
bandpass,178,8,0.0,-4.9963160265267376e-18,2.9563542232115687e-15,1.5173742874839058e-17
bandpass,184,8,0.0,-2.0889576266818864e-18,3.2640190837866316e-15,1.9961786150138077e-17
bandpass,189,8,0.0,-1.4108263674508217e-18,4.323654899585669e-15,1.5192604297857085e-17
bandpass,193,8,0.0,-5.095820795896024e-18,6.8071061522981e-15,2.5021988327824475e-17
bandpass,195,8,0.0,-9.789296273830614e-19,4.454192196110151e-15,1.8799689027273224e-17
bandpass,198,8,0.0,-1.1460426772857604e-18,3.469625087363016e-15,1.2354114713148184e-17
bandpass,204,8,0.0,-7.048813375031762e-18,5.965403737022157e-15,2.8900031710822033e-17
bandpass,205,8,0.0,-3.6181031879733365e-18,1.7199144095687893e-15,1.724882974317005e-17
bandpass,216,8,0.0,-1.4169020408809258e-18,4.2339880662751135e-15,1.9292455700655804e-17
bandpass,219,8,0.0,-1.175845771768038e-18,4.865802718197856e-15,2.6011921027764382e-17
bandpass,228,8,0.0,-1.545654168977619e-18,2.194173029157597e-15,1.1746175278657984e-17
bandpass,233,8,0.0,-5.052757578656804e-20,4.852513440073781e-15,2.26123302597108e-17
bandpass,234,8,0.0,-5.559968245144899e-18,6.841592460160134e-15,2.8410826735578876e-17
bandpass,238,8,0.0,-3.4721196800885776e-18,3.4416996795220666e-15,1.2058151588467232e-17
bandpass,262,8,0.0,-1.866314238639787e-18,1.7445242898447043e-15,8.01318990551395e-18
bandpass,266,8,0.0,-2.632073231928452e-18,6.358243713681079e-15,2.1520993070338755e-17
bandpass,293,8,0.0,-2.8646786323384006e-18,5.37945754004668e-15,1.9733349859485775e-17
bandpass,303,8,0.0,-3.0975009780310144e-18,2.7483013510770277e-15,9.469727205846599e-18
bandpass,326,8,0.0,-1.262042466297056e-18,2.835484869524813e-15,5.7477600713792e-18
bandpass,343,8,0.0,-6.7310875875152045e-18,9.664757511400321e-15,3.985396527325917e-17
bandpass,352,8,0.0,-5.7492006479833116e-18,6.706586535935553e-15,2.733226651571251e-17
bandpass,354,8,0.0,2.2593317494127268e-19,3.857702449496043e-15,2.2270511744169218e-17
bandpass,360,8,0.0,-6.245777293906623e-18,6.420411839169872e-15,4.091312244475854e-17
bandpass,365,8,0.0,-4.252385735049565e-18,7.0900806643944815e-15,2.912161308909374e-17
bandpass,368,8,0.0,-4.148182092322243e-18,4.1843160028285216e-15,1.0954125999452215e-17
bandpass,383,8,0.0,-4.091143572534854e-18,5.1272763855911075e-15,3.112776141958209e-17
bandpass,386,8,0.0,-1.4178309977781973e-18,1.4974672767187e-14,5.83199074773464e-17
bandpass,387,8,0.0,-4.156670083083367e-18,4.8273643664424515e-15,2.085723492358965e-17
bandpass,398,8,0.0,-5.163524905262058e-18,4.1220871909055504e-15,1.8884379422265823e-17
bandpass,406,8,0.0,-5.8946709367013336e-18,4.349964930707999e-15,2.0466155975811373e-17
bandpass,414,8,0.0,-5.324784381352606e-18,8.785520483483838e-15,3.367554742012122e-17
bandpass,437,8,0.0,-1.962408051802067e-18,4.717982252179741e-15,1.6775998330557715e-17
bandpass,441,8,0.0,-3.3845116292175423e-18,3.2458431329821006e-15,1.303348531147937e-17
bandpass,445,8,0.0,-3.796975985294585e-18,5.753277333575336e-15,2.656419741819993e-17
bandpass,491,8,0.0,-2.182005837918073e-18,4.483785526378468e-15,1.3798917216670109e-17
bandpass,515,8,0.0,-1.5369165080903619e-18,1.5276407554169475e-15,4.821813523982588e-18
bandpass,520,8,0.0,-3.476237207824837e-18,4.721001797956508e-15,1.7555964531978024e-17
bandpass,524,8,0.0,-9.1312303819957e-18,1.433094939800776e-14,6.059244030362877e-17
bandpass,529,8,0.0,-4.8967149012637485e-18,4.3177188362803186e-15,1.810561727609896e-17
bandpass,544,8,0.0,-1.483033866180076e-17,5.132173035911109e-14,2.303557117133162e-16
bandpass,545,8,0.0,-1.7397329321750345e-17,2.059380941662951e-14,1.1686442788676354e-16
bandpass,553,8,0.0,-3.1228947995227883e-18,3.2227551074997137e-15,1.5408720139775613e-17
bandpass,563,8,0.0,-8.32255723262349e-18,7.57430880169494e-15,3.514187809251661e-17
