kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bandpass,20,independent,all,I,0.020978350939574626,0.0005028483177046573,15.870357371601886,11.0546871061202,22.053984984875623
bandpass,20,independent,all,II,0.020971706822735657,0.0005051265171799759,17.321092893944016,9.17738331488928,21.0221925118279
bandpass,20,independent,all,III,0.02100600361808696,0.0005057451898210114,15.79800277471369,9.780899311747373,21.421154553666423
bandpass,20,independent,all,aVR,0.02090310549935196,0.0005016746013471124,15.943619503131586,9.13144539356042,20.23318955053377
bandpass,20,independent,all,aVL,0.020926818828523222,0.0005034591302362094,13.80514986660088,6.904438864184786,20.697757586518275
bandpass,20,independent,all,aVF,0.020987892339140217,0.0005049857203061529,15.416782615754137,9.300257255911527,20.033896548625272
bandpass,20,independent,all,V1,0.02091575827618792,0.0005008694304516489,18.633680955566092,13.475942313863195,23.538969697613453
bandpass,20,independent,all,V2,0.020962840712348385,0.0005050812614598994,23.041818171639033,18.675417237227894,26.860580462604776
bandpass,20,independent,all,V3,0.021053656979882564,0.0005082505903648003,21.986578585982155,17.69272122566662,25.491113542477148
bandpass,20,independent,all,V4,0.02088468752096577,0.0005000191181438198,21.639674665837454,18.31758624743003,24.870188976170578
bandpass,20,independent,all,V5,0.02089030628256797,0.0004981024220583107,20.034656149883613,16.289991571434005,23.38231628108561
bandpass,20,independent,all,V6,0.021004238221310374,0.0005072280988221382,18.937645919873255,13.910995090485619,22.38236398550142
bandpass,10,independent,all,I,0.06633937052338916,0.005028483177046572,5.870357371601885,1.0546871061201986,12.053984984875624
bandpass,10,independent,all,II,0.06631835998113775,0.005051265171799758,7.321092893944016,-0.8226166851107201,11.0221925118279
bandpass,10,independent,all,III,0.06642681597089253,0.005057451898210114,5.798002774713691,-0.21910068825262713,11.421154553666423
bandpass,10,independent,all,aVR,0.06610142354874349,0.005016746013471124,5.943619503131586,-0.8685546064395816,10.233189550533769
bandpass,10,independent,all,aVL,0.06617641167983,0.005034591302362095,3.805149866600879,-3.0955611358152146,10.697757586518275
bandpass,10,independent,all,aVF,0.06636954307808217,0.005049857203061529,5.416782615754137,-0.6997427440884735,10.033896548625272
bandpass,10,independent,all,V1,0.06614143514227094,0.005008694304516489,8.633680955566088,3.475942313863196,13.538969697613453
bandpass,10,independent,all,V2,0.06629032287832749,0.005050812614598993,13.041818171639035,8.675417237227894,16.860580462604773
bandpass,10,independent,all,V3,0.06657750913233071,0.005082505903648002,11.986578585982155,7.69272122566662,15.491113542477148
bandpass,10,independent,all,V4,0.06604318078714738,0.005000191181438197,11.639674665837454,8.31758624743003,14.870188976170574
bandpass,10,independent,all,V5,0.06606094887143982,0.004981024220583106,10.034656149883617,6.289991571434006,13.38231628108561
bandpass,10,independent,all,V6,0.06642123329610461,0.005072280988221382,8.937645919873257,3.9109950904856188,12.38236398550142
bandpass,0,independent,all,I,0.20978350939574625,0.05028483177046572,-4.129642628398115,-8.945312893879802,2.0539849848756226
bandpass,0,independent,all,II,0.20971706822735658,0.050512651717997584,-2.678907106055984,-10.82261668511072,1.0221925118279003
bandpass,0,independent,all,III,0.21006003618086955,0.05057451898210114,-4.201997225286309,-10.219100688252627,1.4211545536664227
bandpass,0,independent,all,aVR,0.20903105499351962,0.050167460134711246,-4.056380496868414,-10.86855460643958,0.23318955053376836
bandpass,0,independent,all,aVL,0.20926818828523225,0.05034591302362095,-6.194850133399122,-13.095561135815215,0.6977575865182765
bandpass,0,independent,all,aVF,0.20987892339140218,0.050498572030615294,-4.583217384245864,-10.699742744088473,0.033896548625274074
bandpass,0,independent,all,V1,0.20915758276187923,0.050086943045164894,-1.3663190444339106,-6.524057686136804,3.5389696976134553
bandpass,0,independent,all,V2,0.2096284071234839,0.05050812614598994,3.0418181716390347,-1.324582762772105,6.860580462604773
bandpass,0,independent,all,V3,0.21053656979882565,0.05082505903648002,1.9865785859821559,-2.307278774333379,5.491113542477149
bandpass,0,independent,all,V4,0.20884687520965767,0.050001911814381975,1.6396746658374541,-1.6824137525699703,4.870188976170574
bandpass,0,independent,all,V5,0.2089030628256797,0.04981024220583107,0.03465614988361508,-3.710008428565994,3.382316281085609
bandpass,0,independent,all,V6,0.21004238221310373,0.050722809882213823,-1.062354080126744,-6.089004909514381,2.3823639855014194
bandpass,20,independent_rms,all,I,0.023864526860487456,0.0006547864791264326,14.767715629553853,9.724635683356373,20.890493964756505
bandpass,20,independent_rms,all,II,0.023819666705272986,0.0006505591114804347,16.21221156422325,8.257764461837699,19.98782281375716
bandpass,20,independent_rms,all,III,0.023895642383465292,0.0006537906211891618,14.666781384732065,8.38756434371631,20.696260421335623
bandpass,20,independent_rms,all,aVR,0.020631969194179315,0.0004892251400061432,16.066428014860655,9.188083202579579,20.471011870977655
bandpass,20,independent_rms,all,aVL,0.020698237494482727,0.0004916487722876885,13.895656629433173,6.979721705534843,20.97660269043564
bandpass,20,independent_rms,all,aVF,0.020659838109303,0.0004884782465531901,15.549407067246143,9.178913900866673,20.284155415223857
bandpass,20,independent_rms,all,V1,0.019564075168350036,0.00043957801228675466,19.2244556566026,14.067162399866916,24.091299882789215
bandpass,20,independent_rms,all,V2,0.019432612629173843,0.00043333076489074796,23.695745180075797,19.63621118698001,27.452657818714098
bandpass,20,independent_rms,all,V3,0.01949975441568579,0.0004326295482356362,22.639755059906562,18.221474062200183,25.989899585986542
bandpass,20,independent_rms,all,V4,0.01946374973088056,0.0004374037341066954,22.268468515813993,18.87934732151597,25.435552516894173
bandpass,20,independent_rms,all,V5,0.019520916695370285,0.00043776216306072986,20.63345861972439,16.401123623156032,24.140509848411803
bandpass,20,independent_rms,all,V6,0.019526510205519813,0.0004341978046721219,19.548788727820128,15.00279639099809,23.195274596222326
bandpass,10,independent_rms,all,I,0.07546626016140771,0.0065478647912643245,4.767715629553853,-0.27536431664362593,10.890493964756505
bandpass,10,independent_rms,all,II,0.0753243998947413,0.006505591114804346,6.212211564223248,-1.7422355381623005,9.98782281375716
bandpass,10,independent_rms,all,III,0.07556465608460497,0.006537906211891617,4.666781384732067,-1.6124356562836888,10.696260421335621
bandpass,10,independent_rms,all,aVR,0.06524401526803544,0.00489225140006143,6.066428014860653,-0.8119167974204221,10.471011870977657
bandpass,10,independent_rms,all,aVL,0.06545357403366227,0.004916487722876884,3.895656629433171,-3.020278294465158,10.976602690435639
bandpass,10,independent_rms,all,aVF,0.0653321445157442,0.004884782465531901,5.549407067246142,-0.8210860991333262,10.284155415223859
bandpass,10,independent_rms,all,V1,0.06186703784672824,0.004395780122867546,9.224455656602602,4.067162399866916,14.091299882789215
bandpass,10,independent_rms,all,V2,0.06145131679594236,0.00433330764890748,13.695745180075795,9.636211186980008,17.4526578187141
bandpass,10,independent_rms,all,V3,0.06166363776749288,0.004326295482356362,12.639755059906562,8.221474062200182,15.989899585986542
bandpass,10,independent_rms,all,V4,0.06154978095707189,0.004374037341066953,12.268468515813995,8.879347321515967,15.435552516894177
bandpass,10,independent_rms,all,V5,0.0617305587717774,0.004377621630607298,10.63345861972439,6.401123623156032,14.140509848411803
bandpass,10,independent_rms,all,V6,0.06174824700396518,0.004341978046721219,9.548788727820128,5.00279639099809,13.195274596222326
bandpass,0,independent_rms,all,I,0.23864526860487462,0.06547864791264327,-5.232284370446147,-10.275364316643627,0.890493964756505
bandpass,0,independent_rms,all,II,0.23819666705272985,0.06505591114804347,-3.7877884357767515,-11.742235538162301,-0.012177186242839966
bandpass,0,independent_rms,all,III,0.23895642383465293,0.06537906211891618,-5.333218615267933,-11.612435656283688,0.6962604213356218
bandpass,0,independent_rms,all,aVR,0.20631969194179317,0.048922514000614314,-3.9335719851393467,-10.811916797420421,0.47101187097765657
bandpass,0,independent_rms,all,aVL,0.2069823749448273,0.04916487722876885,-6.104343370566829,-13.020278294465157,0.976602690435638
bandpass,0,independent_rms,all,aVF,0.20659838109303,0.04884782465531902,-4.450592932753857,-10.821086099133327,0.284155415223857
bandpass,0,independent_rms,all,V1,0.19564075168350037,0.04395780122867547,-0.7755443433973972,-5.932837600133083,4.0912998827892135
bandpass,0,independent_rms,all,V2,0.19432612629173845,0.04333307648907481,3.6957451800757957,-0.3637888130199902,7.4526578187141
bandpass,0,independent_rms,all,V3,0.19499754415685788,0.04326295482356362,2.6397550599065656,-1.7785259377998162,5.989899585986542
bandpass,0,independent_rms,all,V4,0.19463749730880558,0.04374037341066954,2.2684685158139946,-1.1206526784840314,5.435552516894177
bandpass,0,independent_rms,all,V5,0.19520916695370286,0.043776216306072986,0.6334586197243888,-3.5988763768439678,4.140509848411804
bandpass,0,independent_rms,all,V6,0.19526510205519815,0.04341978046721219,-0.45121127217987156,-4.99720360900191,3.195274596222327
bandpass,20,electrode,all,I,0.023864526860487456,0.0006547864791264326,14.767715629553853,9.724635683356377,20.890493964756505
bandpass,20,electrode,all,II,0.023819666705272986,0.0006505591114804346,16.21221156422325,8.257764461837699,19.987822813757155
bandpass,20,electrode,all,III,0.023895642383465292,0.0006537906211891618,14.666781384732065,8.38756434371631,20.696260421335623
bandpass,20,electrode,all,aVR,0.020631969194179315,0.0004892251400061432,16.066428014860655,9.188083202579579,20.471011870977655
bandpass,20,electrode,all,aVL,0.020698237494482727,0.0004916487722876885,13.895656629433173,6.979721705534843,20.97660269043564
bandpass,20,electrode,all,aVF,0.020659838109302997,0.0004884782465531901,15.549407067246143,9.178913900866673,20.284155415223857
bandpass,20,electrode,all,V1,0.019564075168350036,0.00043957801228675466,19.2244556566026,14.06716239986692,24.091299882789215
bandpass,20,electrode,all,V2,0.01943261262917384,0.00043333076489074796,23.695745180075797,19.63621118698001,27.452657818714098
bandpass,20,electrode,all,V3,0.01949975441568579,0.00043262954823563627,22.639755059906562,18.221474062200183,25.989899585986542
