model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,macro_auroc,3,0.7663007677446448,0.027725818464811074,0.6974260165079176,0.8351755189813721
resnet,bandpass,0,covariance,all,macro_ap,3,0.5520913746922264,0.04134821595481899,0.44937671212653674,0.654806037257916
resnet,bandpass,0,covariance,all,macro_f1,3,0.420705646738176,0.028025490656601603,0.3510864685086682,0.4903248249676838
resnet,bandpass,0,covariance,all,micro_auroc,3,0.5850644827053002,0.04463341637303601,0.4741889298901608,0.6959400355204396
resnet,bandpass,0,covariance,all,micro_ap,3,0.3910327760844157,0.05730644987076104,0.24867566283569253,0.5333898893331389
resnet,bandpass,0,covariance,all,micro_f1,3,0.4188566826950492,0.031228016984800804,0.34128198804088705,0.4964313773492114
resnet,bandpass,0,covariance,all,brier,3,0.2313933968544006,0.031452740489670415,0.15326045806708205,0.30952633564171916
resnet,bandpass,0,covariance,all,ece,3,0.22449571364397802,0.025882765599499324,0.1601993595346644,0.28879206775329164
resnet,bandpass,0,covariance,all,mean_loss,3,0.7275710090323687,0.08570195741131072,0.5146755446587493,0.9404664734059881
resnet,bandpass,0,covariance,all,mean_confidence,3,0.7998718023300171,0.0359506412263752,0.7105654586990791,0.8891781459609551
resnet,bandpass,0,covariance,all,mean_entropy,3,0.42527980182981856,0.04702326908338616,0.3084675257714432,0.5420920778881939
resnet,bandpass,0,covariance,all,clean_agreement,3,0.6629999999999999,0.03807518877169224,0.5684159876913986,0.7575840123086013
resnet,bandpass,0,covariance,all,probability_shift,3,0.25418090820312494,0.018263683844466656,0.20881140241016233,0.29955041399608756
resnet,bandpass,0,covariance,all,auroc_NORM,3,0.7897487146761707,0.03265133333498881,0.7086383062007995,0.8708591231515419
resnet,bandpass,0,covariance,all,auroc_MI,3,0.6943146569974242,0.01106358842895176,0.6668311797541212,0.7217981342407273
resnet,bandpass,0,covariance,all,auroc_STTC,3,0.7614819151704397,0.03948222762148615,0.6634026245932109,0.8595612057476686
resnet,bandpass,0,covariance,all,auroc_CD,3,0.7726358848494145,0.04239921038256661,0.6673104073909498,0.8779613623078791
resnet,bandpass,0,covariance,all,auroc_HYP,3,0.8133226670297748,0.018932358974691595,0.7662920801289315,0.8603532539306182
resnet,bandpass,0,covariance,all,ap_NORM,3,0.7302949780658695,0.0413381939121793,0.6276052116342495,0.8329847444974895
resnet,bandpass,0,covariance,all,ap_MI,3,0.43583328785257897,0.031561002505557,0.35743141130884976,0.5142351643963081
