kind,condition,low_hz,high_hz,mean_psd,integrated_power
bandpass,independent,0.0,0.5,3.789934868564205e-05,2.960886616065785e-05
bandpass,independent,0.5,5.0,0.00013446878402842568,0.0005777955563721416
bandpass,independent,5.0,15.0,0.0001345552836594264,0.0013665770996660492
bandpass,independent,15.0,40.0,0.00013513284829299097,0.003378321207324774
bandpass,independent,40.0,50.0,1.190456712742293e-06,1.1625553835373955e-05
bandpass,independent_rms,0.0,0.5,3.773343587680881e-05,2.947924677875688e-05
bandpass,independent_rms,0.5,5.0,0.00013454538505307584,0.0005781247013999353
bandpass,independent_rms,5.0,15.0,0.00013467536422107326,0.0013677966678702753
bandpass,independent_rms,15.0,40.0,0.00013505950195442874,0.0033764875488607187
bandpass,independent_rms,40.0,50.0,1.194123230437115e-06,1.1661359672237452e-05
bandpass,electrode,0.0,0.5,3.8700534491604776e-05,3.023479257156623e-05
bandpass,electrode,0.5,5.0,0.00013478600062187334,0.0005791585964221121
bandpass,electrode,5.0,15.0,0.00013605547020954388,0.00138181336931568
bandpass,electrode,15.0,40.0,0.0001343587015965188,0.00335896753991297
bandpass,electrode,40.0,50.0,1.145186310757729e-06,1.1183460065993446e-05
bandpass,covariance,0.0,0.5,3.948237217791078e-05,3.08456032639928e-05
bandpass,covariance,0.5,5.0,0.00013144547217674722,0.0005648047632594606
bandpass,covariance,5.0,15.0,0.0001344455353328451,0.0013654624682242081
bandpass,covariance,15.0,40.0,0.00013503115183234935,0.003375778795808734
bandpass,covariance,40.0,50.0,1.1149819619605364e-06,1.0888495722270863e-05
