kind,snr,condition,active,lead,rms_mean,variance_mean,snr_mean,snr_p05,snr_p95
bandpass,20,independent,all,I,0.02168119161625459,0.0005362004298572391,16.19181893407579,10.310665288863882,22.33069161682253
bandpass,20,independent,all,II,0.021687324223596288,0.0005371154709341858,16.95992165362377,9.861526620432338,22.041085688899173
bandpass,20,independent,all,III,0.0216240877580203,0.0005336700061441527,15.329732767238333,9.789015857410146,21.3990331306458
bandpass,20,independent,all,aVR,0.021615879375528856,0.0005341610798837418,15.90298492032305,9.089817979281227,20.697629364391393
bandpass,20,independent,all,aVL,0.02162259489358653,0.0005339159118243214,14.052177681984237,7.130790455376088,20.1739751189899
bandpass,20,independent,all,aVF,0.021611618135430888,0.0005336109320884287,14.760953018494835,8.072668807670091,20.142514948419834
bandpass,20,independent,all,V1,0.02161851156410977,0.0005323031024971128,18.67345028728242,13.608633971541915,24.326640039275347
bandpass,20,independent,all,V2,0.021680419008782884,0.0005377341196627619,22.445983754922594,16.541878847148173,26.548474236483234
bandpass,20,independent,all,V3,0.021718757389819654,0.0005393579387702892,22.104074125697753,18.03058963682862,25.74855843070482
bandpass,20,independent,all,V4,0.021654252305010432,0.0005356319877960108,21.503168407228475,17.960700948168114,24.95572715246565
bandpass,20,independent,all,V5,0.02160158664962184,0.0005306247161812748,20.271121112886632,15.638561560847583,23.864651815900924
bandpass,20,independent,all,V6,0.02169184961273972,0.0005364831443292919,19.222926114326377,13.927387192317347,23.31110718215991
bandpass,10,independent,all,I,0.06856194789391185,0.005362004298572393,6.1918189340757905,0.31066528886388245,12.330691616822532
bandpass,10,independent,all,II,0.0685813409011071,0.005371154709341857,6.959921653623769,-0.13847337956766104,12.041085688899171
bandpass,10,independent,all,III,0.06838136963870814,0.005336700061441526,5.329732767238333,-0.2109841425898538,11.399033130645801
bandpass,10,independent,all,aVR,0.06835541245412932,0.0053416107988374165,5.90298492032305,-0.9101820207187749,10.697629364391391
bandpass,10,independent,all,aVL,0.06837664878685956,0.005339159118243213,4.052177681984239,-2.8692095446239128,10.1739751189899
bandpass,10,independent,all,aVF,0.0683419372297629,0.0053361093208842865,4.760953018494835,-1.9273311923299083,10.142514948419835
bandpass,10,independent,all,V1,0.06836373616527608,0.005323031024971127,8.673450287282424,3.6086339715419156,14.326640039275345
bandpass,10,independent,all,V2,0.06855950469456398,0.005377341196627619,12.445983754922597,6.5418788471481735,16.54847423648323
bandpass,10,independent,all,V3,0.06868074130044359,0.005393579387702891,12.104074125697755,8.030589636828617,15.748558430704819
bandpass,10,independent,all,V4,0.06847675831178412,0.005356319877960107,11.503168407228477,7.960700948168114,14.955727152465647
bandpass,10,independent,all,V5,0.06831021488629065,0.005306247161812747,10.271121112886632,5.638561560847583,13.864651815900924
bandpass,10,independent,all,V6,0.06859565143809893,0.0053648314432929185,9.222926114326377,3.9273871923173473,13.311107182159907
bandpass,0,independent,all,I,0.21681191616254591,0.05362004298572393,-3.8081810659242086,-9.689334711136118,2.3306916168225307
bandpass,0,independent,all,II,0.21687324223596288,0.05371154709341858,-3.040078346376232,-10.13847337956766,2.0410856888991717
bandpass,0,independent,all,III,0.21624087758020302,0.053367000614415266,-4.670267232761667,-10.210984142589854,1.399033130645802
bandpass,0,independent,all,aVR,0.2161587937552886,0.05341610798837417,-4.097015079676949,-10.910182020718775,0.6976293643913899
bandpass,0,independent,all,aVL,0.21622594893586528,0.05339159118243214,-5.947822318015761,-12.869209544623912,0.17397511898989976
bandpass,0,independent,all,aVF,0.21611618135430888,0.05336109320884287,-5.239046981505165,-11.927331192329909,0.14251494841983453
bandpass,0,independent,all,V1,0.21618511564109766,0.05323031024971128,-1.326549712717576,-6.391366028458084,4.326640039275347
bandpass,0,independent,all,V2,0.21680419008782886,0.05377341196627619,2.445983754922597,-3.4581211528518265,6.548474236483232
bandpass,0,independent,all,V3,0.21718757389819654,0.05393579387702892,2.1040741256977546,-1.969410363171383,5.7485584307048185
bandpass,0,independent,all,V4,0.21654252305010432,0.053563198779601084,1.5031684072284777,-2.0392990518318856,4.955727152465646
bandpass,0,independent,all,V5,0.2160158664962184,0.053062471618127466,0.2711211128866307,-4.361438439152418,3.8646518159009218
bandpass,0,independent,all,V6,0.21691849612739722,0.053648314432929195,-0.7770738856736232,-6.072612807682652,3.311107182159908
bandpass,20,independent_rms,all,I,0.024649379171992825,0.0006949919101211946,15.083917997440908,9.18350944905296,21.066111787889678
bandpass,20,independent_rms,all,II,0.024709218483711208,0.0006968275405249753,15.823626745901795,8.736516404094948,20.792844407917688
bandpass,20,independent_rms,all,III,0.024670546990346248,0.0006933738838857022,14.175030610017295,8.528483251601656,20.43927471568954
bandpass,20,independent_rms,all,aVR,0.021375575714484455,0.0005225662543516592,16.005611111955456,8.993767299076875,20.981670076866862
bandpass,20,independent_rms,all,aVL,0.021341591056688584,0.0005199760118722046,14.161482072695948,7.444558497520031,20.318574715407163
bandpass,20,independent_rms,all,aVF,0.02139396751615607,0.0005213527346750401,14.840124693767565,8.42598522105017,20.356373628167017
bandpass,20,independent_rms,all,V1,0.0201735193335367,0.00046582530313974465,19.29197997970553,14.12403906208633,24.425396864634855
bandpass,20,independent_rms,all,V2,0.02008241066229763,0.0004602951094014666,23.107757096962548,17.341735642454115,27.281828628744098
bandpass,20,independent_rms,all,V3,0.02006973348679504,0.00045805569256018234,22.780701075107622,18.5499546647842,26.37713014613478
bandpass,20,independent_rms,all,V4,0.020064552755232126,0.0004607263894957708,22.168543543105226,18.44419963783224,25.703540159895592
bandpass,20,independent_rms,all,V5,0.020165581755953364,0.00046498257415559423,20.880740762705123,15.989706728176955,24.583739260594882
bandpass,20,independent_rms,all,V6,0.02015079502178071,0.0004618354357852761,19.858915045558852,15.014898801567886,24.036243980194918
bandpass,10,independent_rms,all,I,0.07794818109261265,0.006949919101211944,5.083917997440908,-0.8164905509470417,11.066111787889678
bandpass,10,independent_rms,all,II,0.07813740961125955,0.006968275405249752,5.823626745901791,-1.2634835959050523,10.792844407917688
bandpass,10,independent_rms,all,III,0.0780151196117062,0.006933738838857023,4.175030610017295,-1.471516748398345,10.439274715689539
bandpass,10,independent_rms,all,aVR,0.06759550555515192,0.005225662543516592,6.0056111119554565,-1.006232700923123,10.981670076866862
bandpass,10,independent_rms,all,aVL,0.06748803663101557,0.0051997601187220455,4.1614820726959465,-2.55544150247997,10.318574715407163
bandpass,10,independent_rms,all,aVF,0.06765366553870833,0.005213527346750402,4.840124693767566,-1.5740147789498296,10.356373628167015
bandpass,10,independent_rms,all,V1,0.063794269515418,0.0046582530313974465,9.291979979705534,4.1240390620863305,14.425396864634855
bandpass,10,independent_rms,all,V2,0.06350615859971107,0.004602951094014666,13.107757096962548,7.341735642454116,17.2818286287441
bandpass,10,independent_rms,all,V3,0.06346606985082519,0.004580556925601822,12.780701075107626,8.549954664784199,16.37713014613478
bandpass,10,independent_rms,all,V4,0.06344968693914046,0.004607263894957707,12.168543543105226,8.444199637832241,15.703540159895592
bandpass,10,independent_rms,all,V5,0.06376916869115037,0.0046498257415559414,10.880740762705123,5.989706728176953,14.58373926059488
bandpass,10,independent_rms,all,V6,0.06372240893200934,0.004618354357852761,9.858915045558856,5.014898801567887,14.036243980194921
bandpass,0,independent_rms,all,I,0.24649379171992825,0.06949919101211946,-4.916082002559092,-10.81649055094704,1.0661117878896778
bandpass,0,independent_rms,all,II,0.24709218483711207,0.06968275405249752,-4.176373254098209,-11.263483595905052,0.7928444079176886
bandpass,0,independent_rms,all,III,0.2467054699034625,0.06933738838857023,-5.824969389982705,-11.471516748398345,0.4392747156895388
bandpass,0,independent_rms,all,aVR,0.21375575714484457,0.05225662543516593,-3.994388888044543,-11.006232700923123,0.9816700768668617
bandpass,0,independent_rms,all,aVL,0.21341591056688589,0.05199760118722046,-5.838517927304053,-12.55544150247997,0.3185747154071636
bandpass,0,independent_rms,all,aVF,0.2139396751615607,0.052135273467504024,-5.1598753062324345,-11.574014778949829,0.3563736281670151
bandpass,0,independent_rms,all,V1,0.20173519333536702,0.04658253031397447,-0.7080200202944659,-5.875960937913669,4.425396864634856
bandpass,0,independent_rms,all,V2,0.20082410662297628,0.046029510940146665,3.107757096962547,-2.658264357545884,7.281828628744099
bandpass,0,independent_rms,all,V3,0.20069733486795038,0.04580556925601824,2.7807010751076238,-1.4500453352158003,6.377130146134778
