kind,condition,frequency,power
bandpass,independent,0.0,1.1860740523594407e-05
bandpass,independent,0.390625,6.39379568476897e-05
bandpass,independent,0.78125,0.00012598231237405245
bandpass,independent,1.171875,0.00013640259945329707
bandpass,independent,1.5625,0.00013541157877535885
bandpass,independent,1.953125,0.00013821547490920483
bandpass,independent,2.34375,0.00013352345652346698
bandpass,independent,2.734375,0.00013290530897288282
bandpass,independent,3.125,0.0001382984994593033
bandpass,independent,3.515625,0.00013573106913687775
bandpass,independent,3.90625,0.00013374484193456667
bandpass,independent,4.296875,0.00013487525846047805
bandpass,independent,4.6875,0.00013406622431319352
bandpass,independent,5.078125,0.00013605140818044142
bandpass,independent,5.46875,0.00013794720809060247
bandpass,independent,5.859375,0.00013452629452935695
bandpass,independent,6.25,0.00013174896568156976
bandpass,independent,6.640625,0.000133007827791223
bandpass,independent,7.03125,0.00013331794741690321
bandpass,independent,7.421875,0.0001341829764542426
bandpass,independent,7.8125,0.0001354489858049793
bandpass,independent,8.203125,0.00013430089623452012
bandpass,independent,8.59375,0.0001346773728970408
bandpass,independent,8.984375,0.0001337054996698693
bandpass,independent,9.375,0.00013098558396733255
bandpass,independent,9.765625,0.00013395148887000832
bandpass,independent,10.15625,0.00013418545257371772
bandpass,independent,10.546875,0.00013824883884847128
bandpass,independent,10.9375,0.00013687199730684252
bandpass,independent,11.328125,0.00013366045435094908
bandpass,independent,11.71875,0.00013445135840503295
bandpass,independent,12.109375,0.00013604706763388057
bandpass,independent,12.5,0.0001372328298959719
bandpass,independent,12.890625,0.00013408692064752987
bandpass,independent,13.28125,0.00013422214325598992
bandpass,independent,13.671875,0.0001342129552537413
bandpass,independent,14.0625,0.0001332229924769335
bandpass,independent,14.453125,0.00013324319601088456
bandpass,independent,14.84375,0.0001348987128970514
bandpass,independent,15.234375,0.0001354982211081456
bandpass,independent,15.625,0.00013611522685668008
bandpass,independent,16.015625,0.00013783568849752041
bandpass,independent,16.40625,0.00013657646676685194
bandpass,independent,16.796875,0.0001360422102296233
bandpass,independent,17.1875,0.0001366669381432005
bandpass,independent,17.578125,0.00013715098790057035
bandpass,independent,17.96875,0.00013349962459444689
bandpass,independent,18.359375,0.00013550824430710455
bandpass,independent,18.75,0.00013241045962564325
bandpass,independent,19.140625,0.0001358034565155577
bandpass,independent,19.53125,0.00013588547405018128
bandpass,independent,19.921875,0.00013420514676477804
bandpass,independent,20.3125,0.00013438491645980356
bandpass,independent,20.703125,0.00013555647277796145
bandpass,independent,21.09375,0.00013642387905157897
bandpass,independent,21.484375,0.00013481500627678
bandpass,independent,21.875,0.0001361177011410672
bandpass,independent,22.265625,0.00013819303993191533
bandpass,independent,22.65625,0.00013669726731447207
bandpass,independent,23.046875,0.00013585773314483049
bandpass,independent,23.4375,0.00013390889570976834
bandpass,independent,23.828125,0.00013500457214738192
bandpass,independent,24.21875,0.0001352510873091489
bandpass,independent,24.609375,0.00013508220282917876
bandpass,independent,25.0,0.00013527387857984987
bandpass,independent,25.390625,0.00013359483038600042
bandpass,independent,25.78125,0.00013725576952039613
bandpass,independent,26.171875,0.00013618225816431864
bandpass,independent,26.5625,0.00013441603878449503
bandpass,independent,26.953125,0.00013374825656636613
bandpass,independent,27.34375,0.00013388403725320277
bandpass,independent,27.734375,0.0001351451330559106
bandpass,independent,28.125,0.00013560361403883422
bandpass,independent,28.515625,0.00013942442131553332
bandpass,independent,28.90625,0.0001377052811175686
bandpass,independent,29.296875,0.00013513380898170325
bandpass,independent,29.6875,0.0001350517521064315
bandpass,independent,30.078125,0.0001378339438985321
bandpass,independent,30.46875,0.0001374259106729152
bandpass,independent,30.859375,0.0001356863383461674
bandpass,independent,31.25,0.00013499354639302398
bandpass,independent,31.640625,0.0001350903514138773
bandpass,independent,32.03125,0.0001380638413091266
bandpass,independent,32.421875,0.00013738296989243554
bandpass,independent,32.8125,0.00013498199650357446
bandpass,independent,33.203125,0.00013246443119936956
bandpass,independent,33.59375,0.00013419144736699344
bandpass,independent,33.984375,0.0001346396392258155
bandpass,independent,34.375,0.0001350523263138901
bandpass,independent,34.765625,0.00013516830779559372
bandpass,independent,35.15625,0.00013515624155944884
bandpass,independent,35.546875,0.00013853265439472834
bandpass,independent,35.9375,0.00013367360659809294
bandpass,independent,36.328125,0.0001305887182826428
bandpass,independent,36.71875,0.0001324867544866939
bandpass,independent,37.109375,0.00013138560686849082
bandpass,independent,37.5,0.00013350292497578905
bandpass,independent,37.890625,0.0001388270413762456
bandpass,independent,38.28125,0.00013780716072720644
bandpass,independent,38.671875,0.00013650077790083547
bandpass,independent,39.0625,0.00013463133989041168
bandpass,independent,39.453125,0.0001359769378404111
bandpass,independent,39.84375,0.00011354747619430857
bandpass,independent,40.234375,2.9345908794222633e-05
bandpass,independent,40.625,3.976773565142628e-07
bandpass,independent,41.015625,1.4617597728163122e-08
bandpass,independent,41.40625,2.236484479859157e-09
bandpass,independent,41.796875,5.857788158159279e-10
bandpass,independent,42.1875,2.0549491002476766e-10
bandpass,independent,42.578125,8.678012129649408e-11
bandpass,independent,42.96875,4.168362571363679e-11
bandpass,independent,43.359375,2.2014634068107053e-11
bandpass,independent,43.75,1.2506406671041595e-11
bandpass,independent,44.140625,7.528590764784664e-12
bandpass,independent,44.53125,4.751340149758658e-12
bandpass,independent,44.921875,3.1192039410430433e-12
bandpass,independent,45.3125,2.117734515928861e-12
bandpass,independent,45.703125,1.4805467154943657e-12
bandpass,independent,46.09375,1.0625142826404007e-12
bandpass,independent,46.484375,7.8107957523224e-13
bandpass,independent,46.875,5.875042056664778e-13
bandpass,independent,47.265625,4.520844851918593e-13
bandpass,independent,47.65625,3.5622179624690274e-13
bandpass,independent,48.046875,2.88011697756525e-13
bandpass,independent,48.4375,2.397125269999951e-13
bandpass,independent,48.828125,2.0625510459618482e-13
bandpass,independent,49.21875,1.8434976311323834e-13
bandpass,independent,49.609375,1.7194929606414554e-13
bandpass,independent,50.0,8.396723581509615e-14
bandpass,independent_rms,0.0,1.182716749664759e-05
bandpass,independent_rms,0.390625,6.363970425697002e-05
bandpass,independent_rms,0.78125,0.00012609244283370358
bandpass,independent_rms,1.171875,0.00013706481970976702
bandpass,independent_rms,1.5625,0.00013596612021378135
bandpass,independent_rms,1.953125,0.00013790520058533197
bandpass,independent_rms,2.34375,0.00013315829907317007
bandpass,independent_rms,2.734375,0.00013278864295381744
bandpass,independent_rms,3.125,0.0001385551285144771
bandpass,independent_rms,3.515625,0.00013615508966649675
bandpass,independent_rms,3.90625,0.00013351114421444746
bandpass,independent_rms,4.296875,0.00013461672406607988
bandpass,independent_rms,4.6875,0.00013418562375276164
bandpass,independent_rms,5.078125,0.0001365311886027792
bandpass,independent_rms,5.46875,0.00013810098795406987
bandpass,independent_rms,5.859375,0.00013441668565409965
bandpass,independent_rms,6.25,0.00013183023731857757
