kind,snr,condition,active,n_records,actual_snr_mean,actual_snr_max_error,offdiag_abs_corr_mean,covariance_relative_error_mean,correlation_mae_mean,rms_relative_error_max,psd_band_relative_error
bandpass,20,independent,all,128,20.0,3.552713678800501e-15,0.028563785683735216,0.7719721603231261,0.18687483735278573,0.20239071632962669,0.022705318917144376
bandpass,10,independent,all,128,10.0,3.552713678800501e-15,0.028563785683735216,0.7719721603231261,0.18687483735278573,0.20239071632962669,0.022705318917144376
bandpass,0,independent,all,128,0.0,3.552713678800501e-15,0.028563785683735216,0.7719721603231261,0.18687483735278573,0.20239071632962669,0.022705318917144376
bandpass,20,independent_rms,all,128,20.0,3.552713678800501e-15,0.028563785683735216,0.7624026963609857,0.18687483735278573,2.547786190300837e-16,0.02308901678609373
bandpass,10,independent_rms,all,128,10.0,3.552713678800501e-15,0.028563785683735216,0.7624026963609857,0.18687483735278573,2.547786190300837e-16,0.02308901678609373
bandpass,0,independent_rms,all,128,0.0,3.552713678800501e-15,0.028563785683735216,0.7624026963609857,0.18687483735278573,2.547786190300837e-16,0.02308901678609373
bandpass,20,electrode,all,128,20.0,1.7763568394002505e-15,0.1973576888430065,0.0,0.0,0.0,0.0
bandpass,10,electrode,all,128,10.0,1.7763568394002505e-15,0.1973576888430065,0.0,0.0,0.0,0.0
bandpass,0,electrode,all,128,0.0,1.7763568394002505e-15,0.1973576888430065,0.0,0.0,0.0,0.0
bandpass,20,covariance,all,128,20.0,7.105427357601002e-15,0.19735768884300647,1.3485313432785891e-15,3.19492075627942e-16,2.3893923473583402e-15,0.028020770122766086
bandpass,10,covariance,all,128,10.0,7.105427357601002e-15,0.19735768884300647,1.3485313432785891e-15,3.19492075627942e-16,2.3893923473583402e-15,0.028020770122766086
bandpass,0,covariance,all,128,0.0,7.105427357601002e-15,0.19735768884300647,1.3485313432785891e-15,3.19492075627942e-16,2.3893923473583402e-15,0.028020770122766086
