model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,electrode_minus_independent_rms,all,loss,0.030433355462899544,0.019773129631222897,0.040888235543020894,9.999000099990002e-05,0.0008999100089991002,0.18238060965768085,896,1000,3,patient,2662046700376582324,2000,18323523666533878033,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.02342076721257367,0.5725446428571429,0.02771123269108547,0.02331845039041103
resnet,bandpass,0,all,electrode_minus_independent_rms,all,mean_probability,0.003135666583313768,0.0011377265779467776,0.004982112365277049,0.0007999200079992001,,0.1064344412062205,896,1000,3,patient,8747934714243075321,2000,8549132040223604947,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.0032711495645344254,0.5446428571428571,0.0032242750771489617,0.00271376969360109
resnet,bandpass,0,all,electrode_minus_independent_rms,all,probability_shift,0.011012197212187,0.008059489552055989,0.013953674750002993,9.999000099990002e-05,,0.24505300786370698,896,1000,3,patient,15526541367543019616,2000,134220581325899820,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.009232551399812413,0.5970982142857143,0.01023760106120054,0.007825841930533784
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,-0.007959705689232247,-0.023735903332890745,0.00781649195442625,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,-0.014477552013210252,-0.031024040854476048,0.002068936828055543,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,-0.015221290402826104,-0.05678224362723016,0.02633966282157795,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent,all,loss,0.03237635159427004,0.021551640607884812,0.04314852651158217,9.999000099990002e-05,0.0008999100089991002,0.19412433617429853,896,1000,3,patient,8270862914532235796,2000,15473724806255252155,10000,monte_carlo_sign_flip_plus_one,all_active_primary_loss_noise_contrasts_all_models_kinds_snrs,ok,0.023107671341800366,0.578125,0.03071374213856332,0.022604159977821597
resnet,bandpass,0,all,electrode_minus_independent,all,mean_probability,0.004082628310449722,0.002213625126607191,0.006028374939353622,0.00019998000199980003,,0.13937700748688076,896,1000,3,patient,9800682188222638348,2000,11907618193930408779,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.003639255556239126,0.5591517857142857,0.0038105974817943078,0.003454619754835719
resnet,bandpass,0,all,electrode_minus_independent,all,probability_shift,0.01149882957263387,0.008517928950595787,0.014289138808179312,9.999000099990002e-05,,0.25743547785073834,896,1000,3,patient,16560102528320767303,2000,6256792656630487780,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.00996586267525951,0.6049107142857143,0.010739443931834777,0.008606323670550784
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,-0.008091668798254107,-0.02435328781083069,0.008169950214322477,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent,all,macro_ap,-0.01317840116774797,-0.027718809570925186,0.0013620072354292474,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,electrode_minus_independent,all,macro_f1,-0.013473898477141902,-0.05661907291800632,0.029671275963722522,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
