kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
bandpass,0,covariance,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,0,covariance,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,0,covariance,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,0,electrode,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,0,electrode,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,0,electrode,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,0,independent,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,0,independent,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,0,independent,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,0,independent_rms,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,0,independent_rms,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,0,independent_rms,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,10,covariance,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,10,covariance,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,10,covariance,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,10,electrode,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,10,electrode,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,10,electrode,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,10,independent,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,10,independent,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,10,independent,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,10,independent_rms,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,10,independent_rms,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,10,independent_rms,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,20,covariance,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,20,covariance,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,20,covariance,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,20,electrode,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,20,electrode,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,20,electrode,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,20,independent,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,20,independent,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,20,independent,all,macro_f1,1,,,,,descriptive_single_architecture
bandpass,20,independent_rms,all,macro_ap,1,,,,,descriptive_single_architecture
bandpass,20,independent_rms,all,macro_auroc,1,,,,,descriptive_single_architecture
bandpass,20,independent_rms,all,macro_f1,1,,,,,descriptive_single_architecture
clean,100,clean,all,macro_ap,1,,,,,descriptive_single_architecture
clean,100,clean,all,macro_auroc,1,,,,,descriptive_single_architecture
clean,100,clean,all,macro_f1,1,,,,,descriptive_single_architecture
