model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
resnet,bandpass,0,covariance,all,macro_ap,0.5520913746922264,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,covariance,all,macro_auroc,0.7663007677446448,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,covariance,all,macro_f1,0.420705646738176,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_ap,0.5444511228735179,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_auroc,0.7649951527580433,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,electrode,all,macro_f1,0.4221064084742621,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_ap,0.557629524041266,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_auroc,0.7730868215562974,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent,all,macro_f1,0.4355803069514041,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_ap,0.5589286748867283,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_auroc,0.7729548584472755,3,1.0,1,descriptive_single_architecture
resnet,bandpass,0,independent_rms,all,macro_f1,0.4373276988770883,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_ap,0.7025019980309669,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_auroc,0.864768132491962,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,covariance,all,macro_f1,0.6495029635302713,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_ap,0.7013352314052738,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_auroc,0.8638776334801829,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,electrode,all,macro_f1,0.6521703771936246,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_ap,0.7028645895153552,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_auroc,0.8670283225539603,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent,all,macro_f1,0.6509165668321742,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_ap,0.7028701680023377,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_auroc,0.8672889963434264,3,1.0,1,descriptive_single_architecture
resnet,bandpass,10,independent_rms,all,macro_f1,0.6500322558271369,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_ap,0.7171512356576434,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_auroc,0.8732153715543814,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,covariance,all,macro_f1,0.6569524421362077,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_ap,0.7169023891349733,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_auroc,0.872373480500206,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,electrode,all,macro_f1,0.6559876878961838,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_ap,0.7164487886553289,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_auroc,0.8731145707582167,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent,all,macro_f1,0.6570865192173352,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_ap,0.7166591608309035,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_auroc,0.8732852472804676,3,1.0,1,descriptive_single_architecture
resnet,bandpass,20,independent_rms,all,macro_f1,0.6574425010810993,3,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_ap,0.7164795665046967,3,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_auroc,0.8726226409307558,3,1.0,1,descriptive_single_architecture
resnet,clean,100,clean,all,macro_f1,0.658749653833344,3,1.0,1,descriptive_single_architecture
