model,seed,kind,snr,condition,active,metric,clean,noisy,clean_drop,normalized_robustness
resnet,17,bandpass,0,covariance,all,macro_auroc,0.86728516533319,0.7410293073008161,0.12625585803237394,0.854424054417299
resnet,17,bandpass,0,covariance,all,macro_ap,0.6994987306907255,0.50860947578922,0.19088925490150555,0.7271056450470789
resnet,17,bandpass,0,covariance,all,macro_f1,0.6439755981335089,0.4519184250425463,0.1920571730909626,0.7017632754279501
resnet,17,bandpass,0,covariance,all,auroc_NORM,0.8942763456266882,0.7695728430440001,0.12470350258268814,0.8605537279461872
resnet,17,bandpass,0,covariance,all,auroc_MI,0.8235754933943629,0.6854418586432844,0.13813363475107843,0.8322756858844919
resnet,17,bandpass,0,covariance,all,auroc_STTC,0.9093264810477926,0.7271012230028622,0.1822252580449304,0.7996041445578966
resnet,17,bandpass,0,covariance,all,auroc_CD,0.8635741678171499,0.7251173492867005,0.13845681853044944,0.8396700321858105
resnet,17,bandpass,0,covariance,all,auroc_HYP,0.8456733387799564,0.7979132625272332,0.04776007625272327,0.9435242024744807
resnet,17,bandpass,0,covariance,all,ap_NORM,0.8523628189114492,0.7063929189349181,0.1459698999765311,0.8287467534496897
resnet,17,bandpass,0,covariance,all,ap_MI,0.6026323895714301,0.4099059452293789,0.19272644434205116,0.680192356604345
resnet,17,bandpass,0,covariance,all,ap_STTC,0.760235683067164,0.491115159387708,0.26912052367945605,0.6460038252948905
resnet,17,bandpass,0,covariance,all,ap_CD,0.7146642813118566,0.472732494135765,0.24193178717609154,0.6614749141615743
resnet,17,bandpass,0,covariance,all,ap_HYP,0.5675984805917279,0.4629008612583297,0.10469761933339822,0.8155428125440624
resnet,17,bandpass,0,covariance,all,f1_NORM,0.8247011952191236,0.4329268292682927,0.39177436595083087,0.524949923411641
resnet,17,bandpass,0,covariance,all,f1_MI,0.5760649087221096,0.4426666666666666,0.13339824205544298,0.768431924881295
resnet,17,bandpass,0,covariance,all,f1_STTC,0.7223300970873786,0.4714119019836639,0.2509181951037147,0.6526266922614269
resnet,17,bandpass,0,covariance,all,f1_CD,0.6275510204081632,0.4639175257731959,0.16363349463496735,0.739250691474809
resnet,17,bandpass,0,covariance,all,f1_HYP,0.4692307692307692,0.4486692015209125,0.020561567709856676,0.9561802655343333
resnet,17,bandpass,0,electrode,all,macro_auroc,0.86728516533319,0.736449903234921,0.130835262098269,0.849143894847026
resnet,17,bandpass,0,electrode,all,macro_ap,0.6994987306907255,0.5004471767556802,0.19905155393504537,0.7154368618521927
resnet,17,bandpass,0,electrode,all,macro_f1,0.6439755981335089,0.4454446970339149,0.19853090109959398,0.6917105218338936
resnet,17,bandpass,0,electrode,all,auroc_NORM,0.8942763456266882,0.7372641566228795,0.15701218900380876,0.8244254253481315
resnet,17,bandpass,0,electrode,all,auroc_MI,0.8235754933943629,0.7138396629194621,0.10973583047490076,0.866756804499498
resnet,17,bandpass,0,electrode,all,auroc_STTC,0.9093264810477926,0.7304623124295255,0.17886416861826704,0.8033003851235367
