model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,covariance,all,ap_CD_clean_drop,3,0.14678363544757697,0.0825977453231121,-0.05840053861257255,0.3519678095077265
resnet,bandpass,0,covariance,all,ap_CD_normalized_robustness,3,0.7931841887466939,0.11416996740100539,0.5095702671800653,1.0767981103133226
resnet,bandpass,0,covariance,all,ap_HYP_clean_drop,3,0.10319417103459762,0.008656892730791703,0.08168925733572716,0.12469908473346808
resnet,bandpass,0,covariance,all,ap_HYP_normalized_robustness,3,0.8304458192010266,0.01571098273381661,0.791417574503778,0.8694740638982751
resnet,bandpass,0,covariance,all,ap_MI_clean_drop,3,0.18661157958739652,0.035072005307820585,0.09948788857661134,0.2737352705981817
resnet,bandpass,0,covariance,all,ap_MI_normalized_robustness,3,0.7005291695435507,0.05217500890322662,0.5709192623177424,0.830139076769359
resnet,bandpass,0,covariance,all,ap_NORM_clean_drop,3,0.13648483473699727,0.03433452751819664,0.05119314011497249,0.22177652935902203
resnet,bandpass,0,covariance,all,ap_NORM_normalized_robustness,3,0.8423523887465635,0.040325798007292274,0.7421775531614638,0.9425272243316631
resnet,bandpass,0,covariance,all,ap_STTC_clean_drop,3,0.24886673825578423,0.01770257424886513,0.20489110596966306,0.29284237054190543
resnet,bandpass,0,covariance,all,ap_STTC_normalized_robustness,3,0.6790574290724561,0.028640868352113404,0.6079095679025764,0.7502052902423358
resnet,bandpass,0,covariance,all,auroc_CD_clean_drop,3,0.08097356445262567,0.04999111612584713,-0.043211252366542316,0.20515838127179364
resnet,bandpass,0,covariance,all,auroc_CD_normalized_robustness,3,0.9054985180705325,0.05730263915524973,0.7631508711639196,1.0478461649771453
resnet,bandpass,0,covariance,all,auroc_HYP_clean_drop,3,0.046596995279593344,0.010202688228156613,0.021252112691112428,0.07194187786807427
resnet,bandpass,0,covariance,all,auroc_HYP_normalized_robustness,3,0.9457635810900843,0.012067321796458865,0.9157866919360456,0.975740470244123
resnet,bandpass,0,covariance,all,auroc_MI_clean_drop,3,0.14306338166089383,0.013477285582984598,0.10958394829258764,0.17654281502920002
resnet,bandpass,0,covariance,all,auroc_MI_normalized_robustness,3,0.8292326147573656,0.014399880800413736,0.7934613278167917,0.8650039016979396
resnet,bandpass,0,covariance,all,auroc_NORM_clean_drop,3,0.11007696557887392,0.030966319511473293,0.03315236348726634,0.18700156767048148
resnet,bandpass,0,covariance,all,auroc_NORM_normalized_robustness,3,0.8776315026225312,0.03454712468079395,0.7918116873714939,0.9634513178735685
resnet,bandpass,0,covariance,all,auroc_STTC_clean_drop,3,0.15089845895856838,0.03382025188867496,0.06688429582205671,0.23491262209508004
resnet,bandpass,0,covariance,all,auroc_STTC_normalized_robustness,3,0.8344553197671387,0.037962185700325425,0.7401520226496598,0.9287586168846176
