model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,17,0.736449903234921,0.7515274857953181,-0.015077582560397151,3,-0.007959705689232247,0.006350774181813797,-0.023735903332890745,0.00781649195442625
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,29,0.7964448700493912,0.7993178269929585,-0.002872956943567262,3,-0.007959705689232247,0.006350774181813797,-0.023735903332890745,0.00781649195442625
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_auroc,43,0.7620906849898176,0.7680192625535499,-0.005928577563732329,3,-0.007959705689232247,0.006350774181813797,-0.023735903332890745,0.00781649195442625
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,17,0.5004471767556802,0.5210730508583101,-0.02062587410262995,3,-0.014477552013210252,0.0066608581171661956,-0.031024040854476048,0.002068936828055543
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,29,0.5901160469240573,0.5975174843107949,-0.007401437386737597,3,-0.014477552013210252,0.0066608581171661956,-0.031024040854476048,0.002068936828055543
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_ap,43,0.5427901449408165,0.5581954894910797,-0.015405344550263211,3,-0.014477552013210252,0.0066608581171661956,-0.031024040854476048,0.002068936828055543
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,17,0.4454446970339149,0.471768946288893,-0.02632424925497806,3,-0.015221290402826104,0.016730535118214172,-0.05678224362723016,0.02633966282157795
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,29,0.4134217118092668,0.4367829081756465,-0.023361196366379733,3,-0.015221290402826104,0.016730535118214172,-0.05678224362723016,0.02633966282157795
resnet,bandpass,0,all,electrode_minus_independent_rms,all,macro_f1,43,0.4074528165796048,0.4034312421667253,0.004021574412879481,3,-0.015221290402826104,0.016730535118214172,-0.05678224362723016,0.02633966282157795
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,17,0.736449903234921,0.751987604351199,-0.015537701116278058,3,-0.008091668798254107,0.006546182579113186,-0.02435328781083069,0.008169950214322477
resnet,bandpass,0,all,electrode_minus_independent,all,macro_auroc,29,0.7964448700493912,0.7996865983795992,-0.0032417283302079714,3,-0.008091668798254107,0.006546182579113186,-0.02435328781083069,0.008169950214322477
