model,seed,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
resnet,17,101,20,9.53022150009808e-05,0.00028864881133550124,-0.00564869149259728,-0.0010747445712909753
resnet,29,101,20,-0.0011184119147047422,0.0004993944288258501,-0.0018745462093870957,0.0003158532191300245
resnet,43,101,20,0.0005952750018121122,0.00036161066278805887,-0.00046928162314807675,-0.00012013986482412031
resnet,17,101,10,-0.0078107546980498155,-0.015476893333750352,-0.009548415534954446,0.01734934816752992
resnet,29,101,10,-0.0024547910718879518,-0.00043945329495909125,-0.003906361573364658,0.001618748961194627
resnet,43,101,10,0.002417575051604892,0.006532242333648242,0.012274798870134718,-0.00548879249994505
resnet,17,101,0,-0.016569577828437043,-0.021109202209459443,-0.012327535535919032,0.02223417358142199
resnet,29,101,0,-0.006751012799609435,-0.004265415223684399,-0.0194237153408916,0.02371407101217715
resnet,43,101,0,0.005664710060583,0.0012035562820793544,0.007300639213502824,0.025967115189250767
resnet,17,202,20,0.0013845392682138025,0.0003800393557857884,0.006145786355519878,-0.002189230759699068
resnet,29,202,20,0.00012661354161414007,-0.0002432762550598211,0.002748260835462202,-0.000419463171332235
resnet,43,202,20,0.00028587924489786865,-0.0026567623664948137,0.0015552154198451573,-0.00019412151354653018
resnet,17,202,10,0.0007969394139576425,0.0023169525190782636,-0.00747541847383304,0.007018278403617351
resnet,29,202,10,0.0015417403045713263,-2.6969839622248415e-05,-0.003345978041347064,0.0007104647521147256
resnet,43,202,10,2.470450031089033e-05,-0.0060822106572723245,-0.0022879752208643245,-0.0001496793617231651
resnet,17,202,0,-0.011749469122231515,-0.02758754336018132,-0.025921873179136523,0.04192127607404195
resnet,29,202,0,-0.0033955288415874474,-0.014346433139681425,-0.008836506987785986,0.025449348897558566
resnet,43,202,0,-0.003470616426512141,-0.0021462421406545085,-0.001265190117712811,0.029922356409489148
resnet,17,303,20,-0.00225651740033761,-0.0028723025533727853,-0.009301260547519452,0.0044755474108383875
resnet,29,303,20,0.0007164816350759828,0.0008694069198003085,0.0031705753722576224,-0.0013144779003864127
resnet,43,303,20,-8.409725822422498e-05,-0.0020154456935399523,-0.0015084666597094953,0.0010385843580723586
resnet,17,303,10,-0.007583379127489409,-0.01246579308640905,-0.015269875872627625,0.024295398340254182
resnet,29,303,10,-2.1208067946254516e-05,0.0017220719861658074,0.0017772647093301508,0.0006229565765674683
resnet,43,303,10,0.001902400439506513,0.0003121578926686963,0.0025872404214482003,-0.0003796701678804859
resnet,17,303,0,-0.00864403086069332,-0.0021116498603208633,-0.011376770321687268,0.041569685929566
resnet,29,303,0,-0.004690074775260733,-0.008855473734590724,-0.021697230088442876,0.025652267734672995
resnet,43,303,0,-0.00871430558770836,-0.009114681631262944,-0.00516174696930094,0.03095008926807119
resnet,17,404,20,-0.0008086390904180618,-0.0004294887445449591,-0.0007526985384362916,0.0019989366790629237
resnet,29,404,20,-0.0006788199348669588,-0.00035832371330135615,-0.00015130297786924984,0.000228710137601007
resnet,43,404,20,0.0012910824165319745,0.004222933454092304,0.001062692290402678,-0.0016605239573841968
resnet,17,404,10,-0.0012351352468751298,0.004228567586739951,-0.0073188821485665745,0.0036225076065430906
resnet,29,404,10,-0.000743656139091109,0.001708163347378,-0.0010248947771673844,5.878403309711455e-05
resnet,43,404,10,0.004742522625270418,0.012993841316446209,1.4484834897299237e-05,-0.004989421618705081
resnet,17,404,0,-0.007466563464940568,0.0058068147833202355,-0.0015515961170467496,0.04164343367490153
resnet,29,404,0,-0.002898834404596373,0.0014381323644663269,-0.017594519147446974,0.02029845965406929
resnet,43,404,0,0.009489205180284288,0.02673518547376974,0.0001321254166080088,0.016576255730755718
resnet,17,505,20,-0.0006803870426063119,0.0023972039401520817,0.004225370340101953,0.0006234764768725531
resnet,29,505,20,0.0004671704149413758,0.00033234901504108905,-5.414928300251365e-05,-0.0010967418365547266
resnet,43,505,20,-0.0004951113073745628,-0.0013657564169697878,0.0035415588664612363,0.00014407937588495345
resnet,17,505,10,-0.005853230919917962,-0.004831428524577741,-0.006640553727467968,0.019877732370936207
resnet,29,505,10,0.001472951416775281,0.0020886098074304194,0.00442900555218928,-0.0020360802338019734
resnet,43,505,10,4.287874732966657e-05,0.00211076985443881,0.003794603063914437,-0.0031072797873572533
resnet,17,505,0,-0.00918755674491123,-0.023021956038635993,-0.04278642025987667,0.05332468890740594
resnet,29,505,0,-0.002339801869562952,-0.003494381370241606,-0.01135421754566307,0.01882492971615901
resnet,43,505,0,0.005901628542000048,0.0025853422735663267,0.003834720336566455,0.02232794370123725
