model,noise_seed,snr,macro_auroc,macro_ap,macro_f1,mean_loss
resnet,101,0,-0.005885293522487826,-0.008057020383688163,-0.00815020388776927,0.0239717865942833
resnet,101,10,-0.0026159902394442915,-0.003128034765020401,-0.0003933260793947957,0.004493101542926499
resnet,101,20,-0.00014261156596388305,0.00038321796764980337,-0.0026641731083774842,-0.0002930104056616904
resnet,202,0,-0.006205204796777035,-0.014693406213505752,-0.012007856761545107,0.03243099379369655
resnet,202,10,0.0007877947396132864,-0.0012640759926054364,-0.004369790578681476,0.0025263545980029702
resnet,202,20,0.0005990106849086038,-0.0008399997552562821,0.003483087536942412,-0.0009342718148592777
resnet,303,0,-0.007349470407887471,-0.0066939350753915106,-0.012745249126477029,0.032724014310770065
resnet,303,10,-0.0019007289186430503,-0.0034771877358581818,-0.003635123580616425,0.008179561582980388
resnet,303,20,-0.000541377674495284,-0.0013394471090374764,-0.0025463839449904415,0.0013998846228414445
resnet,404,0,-0.00029206422975088425,0.0113267108738521,-0.006337996615961905,0.02617271635324218
resnet,404,10,0.0009212437464347264,0.006310190750188053,-0.0027764306969455532,-0.00043604332635495863
resnet,404,20,-6.54588695843487e-05,0.0011450403320819962,5.2896924699045535e-05,0.00018904095309324465
resnet,505,0,-0.0018752433574913778,-0.007976998378437091,-0.016768639156324427,0.031492520774934064
resnet,505,10,-0.0014458002519376716,-0.00021068295423617064,0.0005276849628785829,0.00491145744992566
resnet,505,20,-0.00023610931167983296,0.000454598846074461,0.0025709266411868916,-0.00010972866126573999
