model,kind,snr,condition,active,seed,noise_seed,metric,outcome,value
resnet,bandpass,0,covariance,all,17,8128,macro_auroc,absolute,0.7972965623388999
resnet,bandpass,0,covariance,all,17,8128,macro_auroc,clean_drop,0.10959573697944591
resnet,bandpass,0,covariance,all,17,8128,macro_auroc,normalized_robustness,0.8791524229914607
resnet,bandpass,0,covariance,all,17,8128,macro_ap,absolute,0.6124503192116818
resnet,bandpass,0,covariance,all,17,8128,macro_ap,clean_drop,0.16826817537867966
resnet,bandpass,0,covariance,all,17,8128,macro_ap,normalized_robustness,0.7844701047235297
resnet,bandpass,0,covariance,all,17,8128,macro_f1,absolute,0.468311885378585
resnet,bandpass,0,covariance,all,17,8128,macro_f1,clean_drop,0.2435696272071574
resnet,bandpass,0,covariance,all,17,8128,macro_f1,normalized_robustness,0.6578508882424748
resnet,bandpass,0,covariance,all,17,8128,micro_auroc,absolute,0.7008737544343105
resnet,bandpass,0,covariance,all,17,8128,micro_ap,absolute,0.4326902425476452
resnet,bandpass,0,covariance,all,17,8128,micro_f1,absolute,0.4678103670909426
resnet,bandpass,0,covariance,all,17,8128,brier,absolute,0.2020302414894104
resnet,bandpass,0,covariance,all,17,8128,ece,absolute,0.1694627397294061
resnet,bandpass,0,covariance,all,17,8128,mean_loss,absolute,0.5855670247863147
resnet,bandpass,0,covariance,all,17,8128,mean_confidence,absolute,0.8140987157821655
resnet,bandpass,0,covariance,all,17,8128,mean_entropy,absolute,0.420835089937172
resnet,bandpass,0,covariance,all,17,8128,clean_agreement,absolute,0.7595922150139017
resnet,bandpass,0,covariance,all,17,8128,probability_shift,absolute,0.2165667414665222
resnet,bandpass,0,covariance,all,17,8128,auroc_NORM,absolute,0.8672480089677915
resnet,bandpass,0,covariance,all,17,8128,auroc_NORM,clean_drop,0.06685001976911409
resnet,bandpass,0,covariance,all,17,8128,auroc_NORM,normalized_robustness,0.9284336143387032
resnet,bandpass,0,covariance,all,17,8128,auroc_MI,absolute,0.6836092265943012
resnet,bandpass,0,covariance,all,17,8128,auroc_MI,clean_drop,0.20262550881953878
resnet,bandpass,0,covariance,all,17,8128,auroc_MI,normalized_robustness,0.771363612005468
resnet,bandpass,0,covariance,all,17,8128,auroc_STTC,absolute,0.7874828375017733
resnet,bandpass,0,covariance,all,17,8128,auroc_STTC,clean_drop,0.1318935790272221
